"ElectricFieldX","Phi","x"
2.50972e-01,2.02280e-02,0.00000e+00
-7.37740e+00,2.38660e-01,6.28310e-02
-1.42494e+01,9.72338e-01,1.25662e-01
-2.10682e+01,2.15185e+00,1.88493e-01
-2.78781e+01,3.82540e+00,2.51324e-01
-3.25541e+01,5.77579e+00,3.14155e-01
-4.01719e+01,8.27704e+00,3.76986e-01
-4.52276e+01,1.11165e+01,4.39817e-01
-4.93051e+01,1.41891e+01,5.02648e-01
-5.32337e+01,1.75759e+01,5.65479e-01
-5.49475e+01,2.10935e+01,6.28310e-01
-5.78157e+01,2.47909e+01,6.91141e-01
-5.88563e+01,2.86316e+01,7.53972e-01
-5.83973e+01,3.24115e+01,8.16803e-01
-5.77199e+01,3.62157e+01,8.79634e-01
-5.34543e+01,4.00363e+01,9.42465e-01
-5.28891e+01,4.34065e+01,1.00530e+00
-4.93006e+01,4.67836e+01,1.06813e+00
-4.44696e+01,4.98285e+01,1.13096e+00
-3.93127e+01,5.26395e+01,1.19379e+00
-3.25761e+01,5.50870e+01,1.25662e+00
-2.77500e+01,5.70412e+01,1.31945e+00
-2.10873e+01,5.86857e+01,1.38228e+00
-1.39078e+01,5.98519e+01,1.44511e+00
-7.25843e+00,6.05747e+01,1.50794e+00
2.53898e-01,6.07877e+01,1.57078e+00
7.25845e+00,6.05747e+01,1.63361e+00
1.39078e+01,5.98519e+01,1.69644e+00
2.10873e+01,5.86857e+01,1.75927e+00
2.77500e+01,5.70412e+01,1.82210e+00
3.23577e+01,5.49542e+01,1.88493e+00
3.93127e+01,5.26395e+01,1.94776e+00
4.44696e+01,4.98285e+01,2.01059e+00
4.93006e+01,4.67836e+01,2.07342e+00
5.28891e+01,4.34065e+01,2.13625e+00
5.48680e+01,3.98838e+01,2.19908e+00
5.77199e+01,3.62157e+01,2.26192e+00
5.83973e+01,3.24115e+01,2.32475e+00
5.88563e+01,2.86316e+01,2.38758e+00
5.78157e+01,2.47909e+01,2.45041e+00
5.35719e+01,2.12730e+01,2.51324e+00
5.32337e+01,1.75759e+01,2.57607e+00
4.93051e+01,1.41891e+01,2.63890e+00
4.52277e+01,1.11165e+01,2.70173e+00
4.01719e+01,8.27704e+00,2.76456e+00
3.23761e+01,5.94907e+00,2.82739e+00
2.78781e+01,3.82539e+00,2.89023e+00
2.10682e+01,2.15185e+00,2.95306e+00
1.42494e+01,9.72338e-01,3.01589e+00
7.37738e+00,2.38659e-01,3.07872e+00
-2.50960e-01,2.02275e-02,3.14155e+00
-7.37741e+00,2.38660e-01,3.20438e+00
-1.42495e+01,9.72341e-01,3.26721e+00
-2.10682e+01,2.15185e+00,3.33004e+00
-2.78781e+01,3.82540e+00,3.39287e+00
-3.23762e+01,5.94907e+00,3.45571e+00
-4.01719e+01,8.27704e+00,3.51854e+00
-4.52277e+01,1.11165e+01,3.58137e+00
-4.93052e+01,1.41891e+01,3.64420e+00
-5.32337e+01,1.75759e+01,3.70703e+00
-5.49475e+01,2.10935e+01,3.76986e+00
-5.78157e+01,2.47909e+01,3.83269e+00
-5.88563e+01,2.86316e+01,3.89552e+00
-5.83973e+01,3.24115e+01,3.95835e+00
-5.77199e+01,3.62157e+01,4.02118e+00
-5.48680e+01,3.98838e+01,4.08401e+00
-5.28891e+01,4.34065e+01,4.14685e+00
-4.93006e+01,4.67836e+01,4.20968e+00
-4.44696e+01,4.98285e+01,4.27251e+00
-3.93127e+01,5.26395e+01,4.33534e+00
-3.25761e+01,5.50870e+01,4.39817e+00
-2.77500e+01,5.70412e+01,4.46100e+00
-2.10873e+01,5.86857e+01,4.52383e+00
-1.39077e+01,5.98519e+01,4.58666e+00
-7.25843e+00,6.05747e+01,4.64949e+00
2.53899e-01,6.07877e+01,4.71233e+00
7.25843e+00,6.05747e+01,4.77516e+00
1.39078e+01,5.98519e+01,4.83799e+00
2.10873e+01,5.86857e+01,4.90082e+00
2.77501e+01,5.70412e+01,4.96365e+00
3.23577e+01,5.49542e+01,5.02648e+00
3.93127e+01,5.26395e+01,5.08931e+00
4.44696e+01,4.98285e+01,5.15214e+00
4.93006e+01,4.67836e+01,5.21497e+00
5.28891e+01,4.34065e+01,5.27780e+00
5.48681e+01,3.98838e+01,5.34064e+00
5.77199e+01,3.62157e+01,5.40347e+00
5.83973e+01,3.24115e+01,5.46630e+00
5.88563e+01,2.86316e+01,5.52913e+00
5.78157e+01,2.47909e+01,5.59196e+00
5.49475e+01,2.10935e+01,5.65479e+00
5.32337e+01,1.75759e+01,5.71762e+00
4.93051e+01,1.41891e+01,5.78045e+00
4.52276e+01,1.11165e+01,5.84328e+00
4.01719e+01,8.27704e+00,5.90611e+00
3.23761e+01,5.94907e+00,5.96895e+00
2.78781e+01,3.82540e+00,6.03178e+00
2.10682e+01,2.15185e+00,6.09461e+00
1.42494e+01,9.72332e-01,6.15744e+00
7.37740e+00,2.38660e-01,6.22027e+00
-2.50972e-01,2.02280e-02,6.28310e+00
