Points:0,Points:1,Points:2,Spec001_ImpactAngle,Spec001_ImpactEnergyElec,Spec001_ImpactEnergyRot,Spec001_ImpactEnergyTrans,Spec001_ImpactEnergyVib,Spec001_ImpactFlux,Spec001_ImpactNumber,Spec001_ImpactVector:0,Spec001_ImpactVector:1,Spec001_ImpactVector:2,Spec001_SimPartPerIter,Total_ForcePerArea:0,Total_ForcePerArea:1,Total_ForcePerArea:2,Total_HeatFlux,Total_SimPartPerIter,arc_length,S,HeatFlux
0,7.654E-19,0,32.281,0,6.7902E-21,1.6811E-20,2.345E-20,8.7537E+023,331180000000000,0.78849,-0.020623,-4.328E-36,15.262,37.081,-0.13769,0,9831.1,15.262,0,0,9.8311
2.0845E-05,0.00069389,0,32.405,0,6.8103E-21,1.6901E-20,2.3456E-20,8.766E+023,681670000000000,0.78702,-0.035206,-2.164E-36,22.376,37.084,-1.1689,0,9933.9,22.376,0.0006942,0.6942,9.9339
8.2171E-05,0.0014046,0,32.486,0,6.7964E-21,1.6812E-20,2.3466E-20,8.7526E+023,1420900000000000,0.78462,-0.06699,0,32.799,36.8,-3.0572,0,9817.6,32.799,0.0014076,1.4076,9.8176
0.00018872,0.0021415,0,32.586,0,6.7686E-21,1.6448E-20,2.3465E-20,8.6489E+023,2.2198E+015,0.78025,-0.10231,0,38.026,35.914,-4.7903,0,9343.5,38.026,0.0021521,2.1521,9.3435
0.00034455,0.0029005,0,32.704,0,6.7508E-21,1.6261E-20,2.3458E-20,8.562E+023,3078800000000000,0.77327,-0.1414,0,41.493,35.108,-6.6859,0,9077,41.493,0.002927,2.927,9.077
0.00055188,0.0036721,0,32.73,0,6.6809E-21,1.6043E-20,2.3459E-20,8.5399E+023,3963000000000000,0.7647,-0.18252,0,43.908,34.43,-8.6519,0,8830.1,43.908,0.003726,3.726,8.8301
0.00081327,0.0044385,0,32.819,0,6.6133E-21,1.566E-20,2.3463E-20,8.5132E+023,4798500000000000,0.75818,-0.20697,0,45.128,33.723,-9.7595,0,8409.2,45.128,0.0045357,4.5357,8.4092
0.0010897,0.0051979,0,32.927,0,6.5453E-21,1.5347E-20,2.3463E-20,8.5388E+023,5598500000000000,0.75539,-0.21298,0,45.78,33.511,-9.9924,0,8102,45.78,0.0053438,5.3438,8.102
0.0013629,0.0059485,0,32.94,0,6.4504E-21,1.5052E-20,2.3461E-20,8.5749E+023,6360600000000000,0.75511,-0.21385,0,46.076,33.405,-10.011,0,7816.5,46.076,0.0061426,6.1426,7.8165
0.0016331,0.0066909,0,32.874,0,6.3819E-21,1.4763E-20,2.3458E-20,8.5629E+023,7062900000000000,0.75712,-0.21075,0,45.961,33.206,-9.9282,0,7500.7,45.961,0.0069327,6.9327,7.5007
0.0019001,0.0074245,0,32.928,0,6.3606E-21,1.4592E-20,2.3456E-20,8.5284E+023,7722100000000000,0.75769,-0.20765,0,45.656,33.035,-9.8232,0,7289.1,45.656,0.0077133,7.7133,7.2891
0.0021645,0.008151,0,33.059,0,6.3514E-21,1.4423E-20,2.3456E-20,8.5062E+023,8377599999999999,0.75692,-0.20594,0,45.414,32.794,-9.6687,0,7121.4,45.414,0.0084864,8.4864,7.1214
0.0024265,0.0088708,0,33.123,0,6.3205E-21,1.4261E-20,2.3456E-20,8.5168E+023,9.071E+015,0.75626,-0.20568,0,45.432,32.669,-9.6255,0,6977.7,45.432,0.0092524,9.2524,6.9777
0.0026874,0.0095877,0,32.974,0,6.2582E-21,1.425E-20,2.3453E-20,8.4989E+023,9.7406E+015,0.75801,-0.20504,0,45.358,32.677,-9.6006,0,6882.8,45.358,0.010015,10.015,6.8828
0.0029472,0.010301,0,32.856,0,6.2335E-21,1.4173E-20,2.3456E-20,8.4665E+023,1.0385E+016,0.7594,-0.20431,0,45.192,32.569,-9.4963,0,6759.2,45.192,0.010775,10.775,6.7592
0.003206,0.011013,0,33.07,0,6.2313E-21,1.4036E-20,2.3457E-20,8.4238E+023,1.1003E+016,0.75918,-0.19893,0,44.963,32.299,-9.2958,0,6621.9,44.963,0.011532,11.532,6.6219
