001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,022-TempTotal004,DISS
0,9989,9989,9989,9964.71711646489,5.64814014494542E-17
1E-08,9934,10044,10044,9964.57733279259,5.94316770142125E-17
2E-08,9875,10103,10103,9966.65295126678,5.833047677985E-17
3E-08,9818,10160,10160,9934.7328585289,5.46156136244746E-17
4E-08,9761,10217,10217,9924.423149652,5.598242891204E-17
5E-08,9716,10262,10262,9902.34890999334,5.70630167482292E-17
6E-08,9652,10326,10326,9884.29188138046,4.87975833555358E-17
7E-08,9600,10378,10378,9871.21015907229,5.54560803992939E-17
8E-08,9541,10437,10437,9834.81583605379,5.01472489315507E-17
9E-08,9485,10493,10493,9821.44822001373,5.64345505249922E-17
1E-07,9442,10536,10536,9799.49442985263,5.23286598877812E-17
1.1E-07,9386,10592,10592,9780.15109995254,5.09527531516157E-17
1.2E-07,9337,10641,10641,9738.34823526336,5.13110759121881E-17
1.3E-07,9280,10698,10698,9724.06547664408,4.68694142459535E-17
1.4E-07,9225,10753,10753,9725.36732641555,4.8331643091179E-17
1.5E-07,9175,10803,10803,9703.08213553745,4.46146751516485E-17
1.6E-07,9129,10849,10849,9697.35043570274,4.89183622796256E-17
1.7E-07,9086,10892,10892,9665.08971598465,4.85500955726749E-17
1.8E-07,9048,10930,10930,9637.69002242944,4.92698225012739E-17
1.9E-07,8998,10980,10980,9627.80060474607,4.37118691357557E-17
2E-07,8946,11032,11032,9614.51993611434,4.73198422398671E-17
2.1E-07,8908,11070,11070,9598.7030043406,4.87765609373378E-17
2.2E-07,8862,11116,11116,9587.049863084,4.27363003802794E-17
2.3E-07,8818,11160,11160,9554.44463619315,3.98108563750189E-17
2.4E-07,8786,11192,11192,9533.06473513669,4.00363911084856E-17
2.5E-07,8743,11235,11235,9514.23967068367,4.10314340666094E-17
2.6E-07,8707,11271,11271,9495.2373877621,3.87199501442229E-17
2.7E-07,8677,11301,11301,9491.74364962538,4.19672622337748E-17
