001-TIME,002-TempTra-001,003-TempTra-002,004-TempTra-003,005-TempVib001,006-TempVib002,007-XiVibMean001,008-XiVibMean002,009-TempRot001,010-TempRot002,011-TempTotal001,012-TempTotal002,013-TempTotal003
0.00000000000000E+000,9.00181390394745E+003,1.00457038274587E+003,5.00319214334666E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,9.00181390394745E+003,1.00457038274587E+003,5.00319214334666E+003
1.00000000000000E-009,8.60185857422395E+003,1.40443363166059E+003,5.00314610294227E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,8.60185857422395E+003,1.40443363166059E+003,5.00314610294227E+003
2.00000000000000E-009,8.28743428938658E+003,1.71910119897282E+003,5.00326774417970E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,8.28743428938658E+003,1.71910119897282E+003,5.00326774417970E+003
3.00000000000000E-009,8.01362840747684E+003,1.99251224783473E+003,5.00307032765578E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,8.01362840747684E+003,1.99251224783473E+003,5.00307032765578E+003
4.00000000000000E-009,7.78199172494344E+003,2.22431508922143E+003,5.00315340708244E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,7.78199172494344E+003,2.22431508922143E+003,5.00315340708244E+003
5.00000000000000E-009,7.55447902202570E+003,2.45200706943704E+003,5.00324304573137E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,7.55447902202570E+003,2.45200706943704E+003,5.00324304573137E+003
6.00000000000000E-009,7.36280043254632E+003,2.64303202986923E+003,5.00291623120778E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,7.36280043254632E+003,2.64303202986923E+003,5.00291623120778E+003
7.00000000000000E-009,7.19218521797463E+003,2.81435869024969E+003,5.00327195411216E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,7.19218521797463E+003,2.81435869024969E+003,5.00327195411216E+003
8.00000000000000E-009,7.02502316705146E+003,2.98138260392908E+003,5.00320288549027E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,7.02502316705146E+003,2.98138260392908E+003,5.00320288549027E+003
9.00000000000000E-009,6.88170343428089E+003,3.12476821638269E+003,5.00323582533179E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.88170343428089E+003,3.12476821638269E+003,5.00323582533179E+003
1.00000000000000E-008,6.75070332186458E+003,3.25554880708466E+003,5.00312606447462E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.75070332186458E+003,3.25554880708466E+003,5.00312606447462E+003
1.10000000000000E-008,6.63111230992512E+003,3.37526123722400E+003,5.00318677357456E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.63111230992512E+003,3.37526123722400E+003,5.00318677357456E+003
1.20000000000000E-008,6.51579235855919E+003,3.49049978981627E+003,5.00314607418773E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.51579235855919E+003,3.49049978981627E+003,5.00314607418773E+003
1.30000000000000E-008,6.40196984758812E+003,3.60442451419819E+003,5.00319718089315E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.40196984758812E+003,3.60442451419819E+003,5.00319718089315E+003
1.40000000000000E-008,6.30852236761232E+003,3.69790878174938E+003,5.00321557468085E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.30852236761232E+003,3.69790878174938E+003,5.00321557468085E+003
1.50000000000000E-008,6.21948039071259E+003,3.78684674440144E+003,5.00316356755701E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.21948039071259E+003,3.78684674440144E+003,5.00316356755701E+003
1.60000000000000E-008,6.12725797249223E+003,3.87907829264097E+003,5.00316813256660E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.12725797249223E+003,3.87907829264097E+003,5.00316813256660E+003
1.70000000000000E-008,6.04440939992926E+003,3.96210037622987E+003,5.00325488807956E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.04440939992926E+003,3.96210037622987E+003,5.00325488807956E+003
1.80000000000000E-008,5.97474447279100E+003,4.03166859588869E+003,5.00320653433985E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.97474447279100E+003,4.03166859588869E+003,5.00320653433985E+003
1.90000000000000E-008,5.91422041539253E+003,4.09232329897940E+003,5.00327185718596E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.91422041539253E+003,4.09232329897940E+003,5.00327185718596E+003
2.00000000000000E-008,5.85840776812771E+003,4.14800997383393E+003,5.00320887098082E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.85840776812771E+003,4.14800997383393E+003,5.00320887098082E+003
2.10000000000000E-008,5.79677367973125E+003,4.20967748549536E+003,5.00322558261331E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.79677367973125E+003,4.20967748549536E+003,5.00322558261331E+003
2.20000000000000E-008,5.74017541532779E+003,4.26620116896994E+003,5.00318829214887E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.74017541532779E+003,4.26620116896994E+003,5.00318829214887E+003
2.30000000000000E-008,5.69295567842429E+003,4.31295702077458E+003,5.00295634959944E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.69295567842429E+003,4.31295702077458E+003,5.00295634959944E+003
2.40000000000000E-008,5.63490530406130E+003,4.37133262789344E+003,5.00311896597737E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.63490530406130E+003,4.37133262789344E+003,5.00311896597737E+003
