001-TIME,002-TempTra-001
0.00000000000000E+000,2.00009047336115E+002,
4.00000000000000E-007,2.00829393776895E+002,
8.00000000000000E-007,2.01672496228257E+002,
1.20000000000000E-006,2.02494832835084E+002,
1.60000000000000E-006,2.03179863986369E+002,
2.00000000000000E-006,2.03885229048629E+002,
2.40000000000000E-006,2.04756825962984E+002,
2.80000000000000E-006,2.05361705715559E+002,
3.20000000000000E-006,2.06103354755230E+002,
3.60000000000000E-006,2.06970380027004E+002,
4.00000000000000E-006,2.07798624129740E+002,
4.40000000000000E-006,2.08549021284954E+002,
4.80000000000000E-006,2.09361086541063E+002,
5.20000000000000E-006,2.10061986770644E+002,
5.60000000000000E-006,2.10767993729328E+002,
6.00000000000000E-006,2.11557579652674E+002,
6.40000000000000E-006,2.12062441837367E+002,
6.80000000000000E-006,2.12823547653927E+002,
7.20000000000000E-006,2.13486599268951E+002,
7.60000000000000E-006,2.14172133239919E+002,
8.00000000000000E-006,2.14903572964283E+002,
8.40000000000000E-006,2.15635044407248E+002,
8.80000000000000E-006,2.16223544066416E+002,
9.19999999999999E-006,2.16892925753362E+002,
9.59999999999999E-006,2.17567149884146E+002,
9.99999999999999E-006,2.18289707024330E+002,
1.04000000000000E-005,2.18939173063995E+002,
1.08000000000000E-005,2.19618226045362E+002,
1.12000000000000E-005,2.20285329407337E+002,
1.16000000000000E-005,2.20882638053124E+002,
1.20000000000000E-005,2.21371969389026E+002,
1.24000000000000E-005,2.21865146765620E+002,
1.28000000000000E-005,2.22506237828933E+002,
1.32000000000000E-005,2.23420773918588E+002,
1.36000000000000E-005,2.23926101512735E+002,
1.40000000000000E-005,2.24757947903238E+002,
1.44000000000000E-005,2.25423044206232E+002,
1.48000000000000E-005,2.25979956190021E+002,
1.52000000000000E-005,2.26569316459693E+002,
1.56000000000000E-005,2.26899569393703E+002,
1.60000000000000E-005,2.27518312114525E+002,
1.64000000000000E-005,2.28206354201088E+002,
1.68000000000000E-005,2.28759483019903E+002,
1.72000000000000E-005,2.29489098836157E+002,
1.76000000000000E-005,2.30069764322430E+002,
1.80000000000000E-005,2.30839431883158E+002,
1.84000000000000E-005,2.31478326102292E+002,
1.88000000000000E-005,2.31893365486862E+002,
1.92000000000000E-005,2.32530675063353E+002,
1.96000000000000E-005,2.33108105598955E+002,
2.00000000000000E-005,2.33604449035929E+002,
2.04000000000000E-005,2.34147390132991E+002,
2.08000000000000E-005,2.34710602556242E+002,
2.12000000000000E-005,2.35302130541941E+002,
2.16000000000000E-005,2.35720294695589E+002,
2.20000000000000E-005,2.36193895990678E+002,
2.24000000000000E-005,2.36853997781644E+002,
2.28000000000000E-005,2.37299002196983E+002,
2.32000000000000E-005,2.37875925789785E+002,
2.36000000000000E-005,2.38516476950291E+002,
2.40000000000000E-005,2.39038836186478E+002,
2.44000000000000E-005,2.39492265484824E+002,
2.48000000000000E-005,2.40067530332413E+002,
2.52000000000000E-005,2.40602352040585E+002,
2.56000000000000E-005,2.41253629380400E+002,
2.60000000000000E-005,2.41855989942057E+002,
2.64000000000000E-005,2.42351382088636E+002,
2.68000000000000E-005,2.42876733478661E+002,
2.72000000000000E-005,2.43415230292944E+002,
2.76000000000000E-005,2.44023664849193E+002,
2.80000000000000E-005,2.44586391831300E+002,
2.84000000000000E-005,2.45045954779567E+002,
2.88000000000000E-005,2.45503317953638E+002,
2.92000000000000E-005,2.45899079423504E+002,
2.96000000000000E-005,2.46462528516265E+002,
3.00000000000000E-005,2.47098883171176E+002,
3.04000000000000E-005,2.47776459684089E+002,
3.08000000000000E-005,2.48217740728726E+002,
3.12000000000000E-005,2.49026211290268E+002,
3.16000000000000E-005,2.49658426066784E+002,
3.20000000000000E-005,2.50139064471343E+002,
3.24000000000000E-005,2.50690080914259E+002,
3.28000000000000E-005,2.51018517566085E+002,
3.32000000000000E-005,2.51538098530704E+002,
3.36000000000000E-005,2.51984508128896E+002,
3.40000000000000E-005,2.52362367777163E+002,
3.44000000000000E-005,2.52838291712875E+002,
3.48000000000000E-005,2.53300516813113E+002,
3.52000000000000E-005,2.53811473891702E+002,
3.56000000000000E-005,2.54418174691774E+002,
3.60000000000000E-005,2.54962796921434E+002,
3.64000000000000E-005,2.55549557778668E+002,
3.68000000000000E-005,2.56071462582246E+002,
3.72000000000000E-005,2.56573022354965E+002,
3.76000000000000E-005,2.57187953756870E+002,
3.80000000000000E-005,2.57566882053723E+002,
3.84000000000000E-005,2.58127014713392E+002,
3.88000000000000E-005,2.58792713026229E+002,
3.92000000000000E-005,2.59128977375532E+002,
3.96000000000000E-005,2.59771224059381E+002,
4.00000000000000E-005,2.60171278900620E+002,
4.04000000000000E-005,2.60530332602008E+002,
4.08000000000000E-005,2.60988686700777E+002,
4.12000000000001E-005,2.61606950340293E+002,
4.16000000000001E-005,2.62007415577890E+002,
4.20000000000001E-005,2.62403335394438E+002,
4.24000000000001E-005,2.62968299634319E+002,
4.28000000000001E-005,2.63411959987345E+002,
4.32000000000001E-005,2.63926721218612E+002,
4.36000000000001E-005,2.64410612458894E+002,
4.40000000000001E-005,2.64888780283581E+002,
4.44000000000001E-005,2.65287951360222E+002,
4.48000000000001E-005,2.65744372793287E+002,
4.52000000000001E-005,2.66234151725907E+002,
4.56000000000001E-005,2.66536538198215E+002,
4.60000000000001E-005,2.66994959277121E+002,
4.64000000000001E-005,2.67471192053625E+002,
4.68000000000001E-005,2.67989582789025E+002,
4.72000000000001E-005,2.68665080057567E+002,
4.76000000000001E-005,2.68978635032256E+002,
4.80000000000001E-005,2.69543698212329E+002,
4.84000000000001E-005,2.69941972462621E+002,
4.88000000000001E-005,2.70325948594358E+002,
4.92000000000001E-005,2.70662085132822E+002,
4.96000000000001E-005,2.71044659182114E+002,
5.00000000000001E-005,2.71530807254911E+002,
5.04000000000001E-005,2.71905618797203E+002,
5.08000000000001E-005,2.72213775976869E+002,
5.12000000000001E-005,2.72608548320404E+002,
5.16000000000001E-005,2.73177527929735E+002,
5.20000000000001E-005,2.73656775798995E+002,
5.24000000000001E-005,2.74041266885314E+002,
5.28000000000001E-005,2.74525083561907E+002,
5.32000000000001E-005,2.75094659595841E+002,
5.36000000000001E-005,2.75391836141173E+002,
5.40000000000001E-005,2.75797712811276E+002,
5.44000000000002E-005,2.76089193627506E+002,
5.48000000000002E-005,2.76531450649723E+002,
5.52000000000002E-005,2.76826389243757E+002,
5.56000000000002E-005,2.77271169532665E+002,
5.60000000000002E-005,2.77706089664691E+002,
5.64000000000002E-005,2.78084405650476E+002,
5.68000000000002E-005,2.78550590504370E+002,
5.72000000000002E-005,2.78985152313944E+002,
5.76000000000002E-005,2.79357913083564E+002,
5.80000000000002E-005,2.79897862960964E+002,
5.84000000000002E-005,2.80332190422082E+002,
5.88000000000002E-005,2.80600741533269E+002,
5.92000000000002E-005,2.81127465980028E+002,
5.96000000000002E-005,2.81381596657294E+002,
6.00000000000002E-005,2.81691101244214E+002,
6.04000000000002E-005,2.82171289024326E+002,
6.08000000000002E-005,2.82531106534728E+002,
6.12000000000002E-005,2.82833414983434E+002,
6.16000000000002E-005,2.83243786534073E+002,
6.20000000000002E-005,2.83693898184389E+002,
6.24000000000002E-005,2.84039810588309E+002,
6.28000000000002E-005,2.84342104082261E+002,
6.32000000000002E-005,2.84800654060622E+002,
6.36000000000002E-005,2.85267633623818E+002,
6.40000000000002E-005,2.85730994131338E+002,
6.44000000000002E-005,2.86038824390530E+002,
6.48000000000002E-005,2.86419388579488E+002,
