001-TIME,002-TempTra-001,003-TempVib001,004-XiVibMean001,005-TempRot001,006-TempElec001,007-XiElecMean001,008-TempTotal001
0.00000000000000E+000,1.99971530245898E+004,4.00239903180104E+004,1.94376666703912E+000,3.00565584780250E+004,4.99938691291495E+004,2.08399673087287E+000,3.34622121566198E+004
1.00000000000000E-010,3.31666055445550E+004,4.56186521410597E+004,1.95060532261973E+000,3.79716930585426E+004,5.27294570431932E+004,2.06097792118545E+000,4.14024289734479E+004
2.00000000000000E-010,4.24196315615011E+004,5.03035658348178E+004,1.95517067116021E+000,4.50764598437501E+004,5.54650449572370E+004,2.03318646300307E+000,4.76766380248885E+004
3.00000000000000E-010,4.88838007610124E+004,5.40893708832354E+004,1.95828621805921E+000,5.04245563768519E+004,5.77902946841742E+004,2.00681833530016E+000,5.23582970797126E+004
4.00000000000000E-010,5.31859650655006E+004,5.67908986334527E+004,1.96025720733494E+000,5.40312317874318E+004,5.94316474326004E+004,1.98707505192127E+000,5.55517842228695E+004
5.00000000000000E-010,5.59184721190369E+004,5.86447552744889E+004,1.96150537545126E+000,5.64496632872272E+004,6.06626619939201E+004,1.97179014185602E+000,5.76831678236229E+004
6.00000000000000E-010,5.77155208936164E+004,5.97369445474458E+004,1.96220469433342E+000,5.83366916846781E+004,6.13465589724310E+004,1.96315187861068E+000,5.90977701841415E+004
7.00000000000000E-010,5.90151404238063E+004,6.05879043947725E+004,1.96273219225049E+000,5.96943540131710E+004,6.21672353466442E+004,1.95266746294308E+000,6.02041319734016E+004
8.00000000000000E-010,6.01419079109778E+004,6.12896348751891E+004,1.96315623399679E+000,6.06375086035683E+004,6.27143529294529E+004,1.94561435301426E+000,6.10678891784954E+004
9.00000000000000E-010,6.10846518839448E+004,6.17684467007918E+004,1.96344007485788E+000,6.13581185718996E+004,6.27143529294529E+004,1.94561435301426E+000,6.16526463112455E+004
1.00000000000000E-009,6.17138947427030E+004,6.22568382637225E+004,1.96372512441731E+000,6.19230622172482E+004,6.31246911165595E+004,1.94029475483234E+000,6.21880499719186E+004
1.10000000000000E-009,6.21247936252144E+004,6.26161731980687E+004,1.96393202814137E+000,6.23801847720904E+004,6.35350293036660E+004,1.93495187893151E+000,6.25972749604602E+004
1.20000000000000E-009,6.26182351940023E+004,6.30505795521149E+004,1.96417902798198E+000,6.28588427025652E+004,6.38085880950704E+004,1.93137798524081E+000,6.30262409119795E+004
1.30000000000000E-009,6.29628905998715E+004,6.32637239356597E+004,1.96429898713075E+000,6.32162038599576E+004,6.40821468864748E+004,1.92779515789986E+000,6.33289742168042E+004
1.40000000000000E-009,6.32412913492098E+004,6.34376825064966E+004,1.96439629841295E+000,6.33532755349274E+004,6.42189262821770E+004,1.92600056306474E+000,6.35216707185513E+004
1.50000000000000E-009,6.33715729678639E+004,6.35337241734469E+004,1.96444979655167E+000,6.35633862035444E+004,6.43557056778792E+004,1.92420393580801E+000,6.36636122897128E+004
1.60000000000000E-009,6.36242959119303E+004,6.38536265088963E+004,1.96462683811040E+000,6.37229760588763E+004,6.43557056778792E+004,1.92420393580801E+000,6.38555176487474E+004
1.70000000000000E-009,6.37651680893117E+004,6.39048650255266E+004,1.96465503102439E+000,6.38073386447155E+004,6.46292644692835E+004,1.92060484393103E+000,6.39923291539022E+004
1.80000000000000E-009,6.38741392209798E+004,6.39631753013521E+004,1.96468706040424E+000,6.40958565873645E+004,6.47660438649857E+004,1.91880250714575E+000,6.41363955806146E+004
1.90000000000000E-009,6.39882938027235E+004,6.40225308785142E+004,1.96471960439712E+000,6.41502327966704E+004,6.49028232606879E+004,1.91699839362883E+000,6.42297218399813E+004
2.00000000000000E-009,6.41696659425707E+004,6.41872084584691E+004,1.96480958199353E+000,6.41201733694058E+004,6.46292644692835E+004,1.92060484393103E+000,6.42617482782331E+004
2.10000000000000E-009,6.41817649128758E+004,6.40835134954528E+004,1.96475297806558E+000,6.41487887408548E+004,6.49028232606879E+004,1.91699839362883E+000,6.43082349679851E+004
2.20000000000000E-009,6.40499912648886E+004,6.39797457798782E+004,1.96469615184983E+000,6.42405479519068E+004,6.47660438649857E+004,1.91880250714575E+000,6.42320215579454E+004
2.30000000000000E-009,6.42098600094818E+004,6.41100371578096E+004,1.96476747385055E+000,6.45188096068332E+004,6.46292644692835E+004,1.92060484393103E+000,6.43479837364072E+004
2.40000000000000E-009,6.42897626208224E+004,6.41847269787856E+004,1.96480822955248E+000,6.45646687174329E+004,6.47660438649857E+004,1.91880250714575E+000,6.44312959434796E+004
2.50000000000000E-009,6.44532720832973E+004,6.42006520788262E+004,1.96481690714757E+000,6.44693268731557E+004,6.46292644692835E+004,1.92060484393103E+000,6.44390655942113E+004
2.60000000000000E-009,6.44412919726123E+004,6.42294935963798E+004,1.96483261201689E+000,6.44742659690469E+004,6.47660438649857E+004,1.91880250714575E+000,6.44720152494805E+004
2.70000000000000E-009,6.44503442445379E+004,6.40886491602081E+004,1.96475578575430E+000,6.44353527674230E+004,6.47660438649857E+004,1.91880250714575E+000,6.44351633636140E+004
2.80000000000000E-009,6.46096849673148E+004,6.42425554488555E+004,1.96483971988426E+000,6.45470439355722E+004,6.51763820520923E+004,1.91338508297604E+000,6.46364557497810E+004
2.90000000000000E-009,6.46101991112291E+004,6.44230398340348E+004,1.96493764074977E+000,6.46573260335072E+004,6.50396026563901E+004,1.91519256522694E+000,6.46720099181007E+004
3.00000000000000E-009,6.46560977949237E+004,6.44990203110771E+004,1.96497870062397E+000,6.45868199835617E+004,6.50396026563901E+004,1.91519256522694E+000,6.46884480861488E+004
