001-TIME,002-NumDens-Spe001,003-NumDens-Spe002,004-NumDens-Spe003
0.00000000000000E+000,5.00103028381078E+020,4.99975704426604E+020,1.00007873280768E+021
1.00000000000000E-008,5.00103028381078E+020,4.99975704426604E+020,1.00007873280768E+021
2.00000000000000E-008,4.87294238561042E+020,4.87396097724621E+020,9.74690336285663E+020
3.00000000000000E-008,4.75402181213215E+020,4.74918350186216E+020,9.50320531399432E+020
4.00000000000000E-008,4.63561053447178E+020,4.62338743484233E+020,9.25899796931411E+020
5.00000000000000E-008,4.52687587735140E+020,4.51974573590088E+020,9.04662161325229E+020
6.00000000000000E-008,4.41279361414313E+020,4.41101107878050E+020,8.82380469292363E+020
7.00000000000000E-008,4.30915191520169E+020,4.28827078666803E+020,8.59742270186972E+020
8.00000000000000E-008,4.20372768089762E+020,4.17800824209397E+020,8.38173592299158E+020
9.00000000000000E-008,4.09499302377723E+020,4.07487583897042E+020,8.16986886274765E+020
1.00000000000000E-007,3.98371188756738E+020,3.98447583129422E+020,7.96818771886160E+020
1.10000000000000E-007,3.88847356962119E+020,3.88847356962119E+020,7.77694713924238E+020
1.20000000000000E-007,3.78839694140501E+020,3.78508651858869E+020,7.57348345999370E+020
1.30000000000000E-007,3.69137608809619E+020,3.68806566527988E+020,7.37944175337606E+020
1.40000000000000E-007,3.60123072832894E+020,3.61192594050471E+020,7.21315666883365E+020
1.50000000000000E-007,3.50420987502012E+020,3.51363184765116E+020,7.01784172267127E+020
1.60000000000000E-007,3.41202733198129E+020,3.42323183997496E+020,6.83525917195625E+020
1.70000000000000E-007,3.33130394484508E+020,3.33868873420455E+020,6.66999267904963E+020
1.80000000000000E-007,3.24676083907467E+020,3.26025717824886E+020,6.50701801732353E+020
1.90000000000000E-007,3.17087576220845E+020,3.17673266411423E+020,6.34760842632268E+020
2.00000000000000E-007,3.09295350207066E+020,3.09753716443171E+020,6.19049066650237E+020
2.10000000000000E-007,3.01885096056707E+020,3.01452194611497E+020,6.03337290668205E+020
2.20000000000000E-007,2.94551236279033E+020,2.94041940461139E+020,5.88593176740171E+020
2.30000000000000E-007,2.87446559619411E+020,2.87191911710464E+020,5.74638471329874E+020
2.40000000000000E-007,2.80672925241419E+020,2.80010840678157E+020,5.60683765919577E+020
2.50000000000000E-007,2.73008023182114E+020,2.73008023182114E+020,5.46016046364228E+020
2.60000000000000E-007,2.65546839449966E+020,2.66539966294859E+020,5.32086805744825E+020
2.70000000000000E-007,2.59511684007921E+020,2.59944585453131E+020,5.19456269461052E+020
2.80000000000000E-007,2.53807570847508E+020,2.54062218756455E+020,5.07869789603962E+020
2.90000000000000E-007,2.48077992896199E+020,2.47186725214885E+020,4.95264718111084E+020
3.00000000000000E-007,2.41406217681787E+020,2.40591344373157E+020,4.81997562054944E+020
3.10000000000000E-007,2.35854893266742E+020,2.34658048094691E+020,4.70512941361432E+020
3.20000000000000E-007,2.30278104060802E+020,2.28877540561593E+020,4.59155644622395E+020
3.30000000000000E-007,2.25159681090966E+020,2.23097033028495E+020,4.48256714119462E+020
3.40000000000000E-007,2.19175455230711E+020,2.17341990286292E+020,4.36517445517004E+020
3.50000000000000E-007,2.13573201233876E+020,2.11943454616615E+020,4.25516655850492E+020
3.60000000000000E-007,2.08276524727778E+020,2.06468524574254E+020,4.14745049302032E+020
3.70000000000000E-007,2.03132636967048E+020,2.01171848068156E+020,4.04304485035204E+020
3.80000000000000E-007,1.98141537951686E+020,1.95849706771163E+020,3.93991244722849E+020
3.90000000000000E-007,1.93201368518114E+020,1.90502100683275E+020,3.83703469201389E+020
4.00000000000000E-007,1.88541311784383E+020,1.85358212922545E+020,3.73899524706928E+020
4.10000000000000E-007,1.83830325468863E+020,1.81029198470446E+020,3.64859523939309E+020
4.20000000000000E-007,1.79475846225869E+020,1.75987169873294E+020,3.55463016099163E+020
4.30000000000000E-007,1.75707057173453E+020,1.72091056866405E+020,3.47798114039857E+020
4.40000000000000E-007,1.70792352530775E+020,1.67507394505358E+020,3.38299747036133E+020
4.50000000000000E-007,1.66234154960623E+020,1.63458492753100E+020,3.29692647713723E+020
4.60000000000000E-007,1.61650492599576E+020,1.59664238909790E+020,3.21314731509366E+020
4.70000000000000E-007,1.57958097919844E+020,1.56277421720794E+020,3.14235519640638E+020
4.80000000000000E-007,1.54011055331165E+020,1.51566435405274E+020,3.05577490736439E+020
4.90000000000000E-007,1.50573308560380E+020,1.48357871752541E+020,2.98931180312922E+020
5.00000000000000E-007,1.46422547644544E+020,1.44130716464021E+020,2.90553264108564E+020
