001-TIME,002-nPart-Spec-001
0.0000000000000000E+000,0.8963880000000000E+006
0.1000000000000000E-006,0.8963880000000000E+006
0.2000000000000000E-006,0.8963880000000000E+006
0.3000000000000000E-006,0.8963880000000000E+006
0.4000000000000000E-006,0.8963880000000000E+006
0.5000000000000000E-006,0.8963880000000000E+006
0.6000000000000000E-006,0.8963880000000000E+006
0.7000000000000000E-006,0.8963880000000000E+006
0.8000000000000000E-006,0.8963880000000000E+006
0.9000000000000000E-006,0.8963880000000000E+006
0.1000000000000000E-005,0.8963880000000000E+006
