001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-Current-Spec-001-SF-001
0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+022,0.0000000000000000E+000,0.1000000000000000E+022,0.0000000000000000E+000
0.2500000000000000E-009,0.1266400000000001E+023,0.1000000000000000E+022,0.1340000000000001E+021,0.1379800000000001E+023,0.1999996962399000E+001
0.4999999999999999E-009,0.1272000000000001E+023,0.1000000000000000E+022,0.2600000000000002E+021,0.1398000000000001E+023,0.2000157180052000E+001
0.7500000000000001E-009,0.1276400000000001E+023,0.1000000000000000E+022,0.3990000000000003E+021,0.1416300000000001E+023,0.1999836744746000E+001
0.1000000000000000E-008,0.1282200000000001E+023,0.1000000000000000E+022,0.5500000000000003E+021,0.1437200000000001E+023,0.1999996962399000E+001
0.1250000000000000E-008,0.1284700000000001E+023,0.1000000000000000E+022,0.6870000000000004E+021,0.1453400000000001E+023,0.1999996962399000E+001
0.1500000000000001E-008,0.1285100000000001E+023,0.1000000000000000E+022,0.8030000000000005E+021,0.1465400000000001E+023,0.1999996962399000E+001
0.1750000000000001E-008,0.1288700000000001E+023,0.1000000000000000E+022,0.9410000000000007E+021,0.1482800000000001E+023,0.1999836744746000E+001
0.2000000000000001E-008,0.1288300000000001E+023,0.1000000000000000E+022,0.1074000000000001E+022,0.1495700000000001E+023,0.1999836744746000E+001
0.2250000000000001E-008,0.1290600000000001E+023,0.1000000000000000E+022,0.1221000000000001E+022,0.1512700000000001E+023,0.1999996962399000E+001
0.2500000000000001E-008,0.1291400000000001E+023,0.1000000000000000E+022,0.1339000000000001E+022,0.1525300000000001E+023,0.1999996962399000E+001
0.2750000000000001E-008,0.1292700000000001E+023,0.1000000000000000E+022,0.1470000000000001E+022,0.1539700000000001E+023,0.2000157180052000E+001
0.3000000000000002E-008,0.1293700000000001E+023,0.1000000000000000E+022,0.1608000000000001E+022,0.1554500000000001E+023,0.1999996962399000E+001
0.3250000000000002E-008,0.1294200000000001E+023,0.1000000000000000E+022,0.1733000000000001E+022,0.1567500000000001E+023,0.1999836744746000E+001
0.3500000000000002E-008,0.1294000000000001E+023,0.1000000000000000E+022,0.1867000000000001E+022,0.1580700000000001E+023,0.1999996962399000E+001
0.3750000000000002E-008,0.1292000000000001E+023,0.1000000000000000E+022,0.1999000000000001E+022,0.1591900000000001E+023,0.1999996962399000E+001
0.4000000000000000E-008,0.1296500000000001E+023,0.1000000000000000E+022,0.2127000000000001E+022,0.1609200000000001E+023,0.1999996962399000E+001
0.4249999999999998E-008,0.1296200000000001E+023,0.1000000000000000E+022,0.2261000000000001E+022,0.1622300000000001E+023,0.1999996962399000E+001
0.4499999999999996E-008,0.1298000000000001E+023,0.1000000000000000E+022,0.2402000000000002E+022,0.1638200000000001E+023,0.2000157180052000E+001
0.4749999999999995E-008,0.1296100000000001E+023,0.1000000000000000E+022,0.2521000000000002E+022,0.1648200000000001E+023,0.2000157180052000E+001
0.4999999999999993E-008,0.1294800000000001E+023,0.1000000000000000E+022,0.2654000000000002E+022,0.1660200000000001E+023,0.1999996962399000E+001
0.5249999999999991E-008,0.1297800000000001E+023,0.1000000000000000E+022,0.2798000000000002E+022,0.1677600000000001E+023,0.1999996962399000E+001
0.5499999999999989E-008,0.1298900000000001E+023,0.1000000000000000E+022,0.2933000000000002E+022,0.1692200000000001E+023,0.1999996962399000E+001
