001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-Current-Spec-001-SF-001
0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+022,0.0000000000000000E+000,0.1000000000000000E+022,0.0000000000000000E+000
0.5000000000000000E-010,0.1266600000000001E+023,0.1000000000000000E+022,0.1310000000000001E+021,0.1379700000000001E+023,0.1999996962399000E+001
0.1000000000000000E-009,0.1273400000000001E+023,0.1000000000000000E+022,0.2590000000000002E+021,0.1399300000000001E+023,0.1999996962399000E+001
0.1500000000000000E-009,0.1278600000000001E+023,0.1000000000000000E+022,0.3810000000000003E+021,0.1416700000000001E+023,0.1999996962399000E+001
0.2000000000000000E-009,0.1283900000000001E+023,0.1000000000000000E+022,0.5210000000000003E+021,0.1436000000000001E+023,0.1999996962399000E+001
0.2500000000000000E-009,0.1286000000000001E+023,0.1000000000000000E+022,0.6430000000000004E+021,0.1450300000000001E+023,0.1999996962399000E+001
0.3000000000000000E-009,0.1283600000000001E+023,0.1000000000000000E+022,0.7580000000000005E+021,0.1459400000000001E+023,0.1999996962399000E+001
0.3500000000000001E-009,0.1285800000000001E+023,0.1000000000000000E+022,0.8780000000000005E+021,0.1473600000000001E+023,0.2000157180052000E+001
0.4000000000000002E-009,0.1287800000000001E+023,0.1000000000000000E+022,0.1009000000000001E+022,0.1488700000000001E+023,0.2000157180052000E+001
0.4500000000000003E-009,0.1292500000000001E+023,0.1000000000000000E+022,0.1169000000000001E+022,0.1509400000000001E+023,0.2000157180052000E+001
0.5000000000000002E-009,0.1292600000000001E+023,0.1000000000000000E+022,0.1309000000000001E+022,0.1523500000000001E+023,0.1999996962399000E+001
0.5500000000000001E-009,0.1293400000000001E+023,0.1000000000000000E+022,0.1438000000000001E+022,0.1537200000000001E+023,0.1999996962399000E+001
0.5999999999999999E-009,0.1292500000000001E+023,0.1000000000000000E+022,0.1572000000000001E+022,0.1549700000000001E+023,0.1999996962399000E+001
0.6499999999999997E-009,0.1294500000000001E+023,0.1000000000000000E+022,0.1713000000000001E+022,0.1565800000000001E+023,0.1999836744746000E+001
0.6999999999999995E-009,0.1292400000000001E+023,0.1000000000000000E+022,0.1838000000000001E+022,0.1576200000000001E+023,0.2000157180052000E+001
0.7499999999999994E-009,0.1294300000000001E+023,0.1000000000000000E+022,0.1974000000000001E+022,0.1591700000000001E+023,0.2000157180052000E+001
0.7999999999999992E-009,0.1294400000000001E+023,0.1000000000000000E+022,0.2100000000000001E+022,0.1604400000000001E+023,0.1999996962399000E+001
0.8499999999999990E-009,0.1293700000000001E+023,0.1000000000000000E+022,0.2236000000000001E+022,0.1617300000000001E+023,0.1999996962399000E+001
0.8999999999999989E-009,0.1293900000000001E+023,0.1000000000000000E+022,0.2373000000000001E+022,0.1631200000000001E+023,0.1999996962399000E+001
0.9499999999999988E-009,0.1292900000000001E+023,0.1000000000000000E+022,0.2508000000000002E+022,0.1643700000000001E+023,0.1999996962399000E+001
0.1000000000000000E-008,0.1296900000000001E+023,0.1000000000000000E+022,0.2647000000000002E+022,0.1661600000000001E+023,0.1999996962398717E+001
0.1050000000000000E-008,0.1296400000000001E+023,0.1000000000000000E+022,0.2776000000000002E+022,0.1674000000000001E+023,0.1999996962399000E+001
0.1100000000000000E-008,0.1296100000000001E+023,0.1000000000000000E+022,0.2909000000000002E+022,0.1687000000000001E+023,0.1999996962399000E+001
0.1150000000000000E-008,0.1299200000000001E+023,0.1000000000000000E+022,0.3039000000000002E+022,0.1703100000000001E+023,0.1999996962399000E+001
0.1199999999999999E-008,0.1301100000000001E+023,0.1000000000000000E+022,0.3168000000000002E+022,0.1717900000000001E+023,0.1999996962399000E+001
0.1249999999999999E-008,0.1299300000000001E+023,0.1000000000000000E+022,0.3309000000000002E+022,0.1730200000000001E+023,0.1999996962399000E+001
0.1299999999999999E-008,0.1296900000000001E+023,0.1000000000000000E+022,0.3442000000000002E+022,0.1741100000000001E+023,0.1999996962399000E+001
0.1349999999999999E-008,0.1298800000000001E+023,0.1000000000000000E+022,0.3585000000000002E+022,0.1757300000000001E+023,0.1999996962399000E+001
0.1399999999999999E-008,0.1299300000000001E+023,0.1000000000000000E+022,0.3702000000000002E+022,0.1769500000000001E+023,0.1999836744746000E+001
0.1449999999999999E-008,0.1299200000000001E+023,0.1000000000000000E+022,0.3823000000000002E+022,0.1781500000000001E+023,0.1999996962399000E+001
0.1499999999999998E-008,0.1299100000000001E+023,0.1000000000000000E+022,0.3944000000000003E+022,0.1793500000000001E+023,0.1999996962399000E+001
0.1549999999999998E-008,0.1300800000000001E+023,0.1000000000000000E+022,0.4079000000000002E+022,0.1808700000000001E+023,0.1999996962399000E+001
0.1599999999999998E-008,0.1298600000000001E+023,0.1000000000000000E+022,0.4195000000000003E+022,0.1818100000000001E+023,0.1999996962399000E+001
0.1649999999999998E-008,0.1296100000000001E+023,0.1000000000000000E+022,0.4325000000000003E+022,0.1828600000000001E+023,0.1999996962399000E+001
