"001-time","PartNum","PartPosX","PartPosY","PartPosZ","PartVelX","PartVelY","PartVelZ","Element"
0.0000000000000000E+000,0.1000000000000000E+001,0.2500000000000000E+000,0.1000000000000000E-003,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.2000000000000000E+001
0.1000000000000000E-002,0.1000000000000000E+001,0.2499235564389141E+000,-.6183216889913670E-002,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.2000000000000000E-002,0.1000000000000000E+001,0.2496892225566168E+000,-.1246252813190574E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.3000000000000000E-002,0.1000000000000000E+001,0.2492971463788268E+000,-.1873396674290107E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.4000000000000000E-002,0.1000000000000000E+001,0.2487475755856715E+000,-.2499357071299834E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.5000000000000000E-002,0.1000000000000000E+001,0.2480408573552237E+000,-.3123738550848783E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.6000000000000000E-002,0.1000000000000000E+001,0.2471774381441803E+000,-.3746146657014633E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.7000000000000000E-002,0.1000000000000000E+001,0.2461578634058211E+000,-.4366188180523093E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.8000000000000000E-002,0.1000000000000000E+001,0.2449827772454263E+000,-.4983471407159724E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.9000000000000001E-002,0.1000000000000000E+001,0.2436529220133699E+000,-.5597606365237279E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.1000000000000000E-001,0.1000000000000000E+001,0.2421691378361464E+000,-.6208205071962217E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.1100000000000000E-001,0.1000000000000000E+001,0.2405323620856269E+000,-.6814881778544751E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.1200000000000000E-001,0.1000000000000000E+001,0.2387436287868800E+000,-.7417253213897575E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.1300000000000000E-001,0.1000000000000000E+001,0.2368040679649313E+000,-.8014938826769315E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.1400000000000001E-001,0.1000000000000000E+001,0.2347149049308750E+000,-.8607561026159748E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.1500000000000001E-001,0.1000000000000000E+001,0.2324774595077876E+000,-.9194745419864873E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.1600000000000001E-001,0.1000000000000000E+001,0.2300931451969332E+000,-.9776121051001171E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.1700000000000001E-001,0.1000000000000000E+001,0.2275634682847869E+000,-.1035132063235960E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.1800000000000001E-001,0.1000000000000000E+001,0.2248900268914415E+000,-.1091998077844127E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.1900000000000001E-001,0.1000000000000000E+001,0.2220745099609967E+000,-.1148174223502826E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.2000000000000001E-001,0.1000000000000000E+001,0.2191186961945704E+000,-.1203625010614444E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.2100000000000001E-001,0.1000000000000000E+001,0.2160244529266054E+000,-.1258315407826302E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.2200000000000001E-001,0.1000000000000000E+001,0.2127937349451816E+000,-.1312210864161915E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
0.2300000000000001E-001,0.1000000000000000E+001,0.2094285832570781E+000,-.1365277330848769E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.3000000000000000E+001
