"001-time","PartNum","PartPosX","PartPosY","PartPosZ","PartVelX","PartVelY","PartVelZ","gamma","Element"
0.0000000000000000E+000,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4990000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.1000000000000000E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4890000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.2000000000000000E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4790000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.2999999999999999E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4690000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.3999999999999997E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4590000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.5000000000000000E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4490000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.6000000000000003E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4389999999999999E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.7000000000000005E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4289999999999999E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.8000000000000007E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4189999999999999E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.9000000000000001E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4089999999999999E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.9999999999999995E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.3989999999999999E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.1099999999999999E-001,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.3889999999999999E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.1199999999999998E-001,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.3789999999999999E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.1299999999999998E-001,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.3689999999999999E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.1399999999999997E-001,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.3589999999999999E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.1499999999999996E-001,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.3489999999999999E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.1599999999999996E-001,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.3389999999999999E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.1699999999999995E-001,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.3289999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.1799999999999995E-001,0.1000000000000000E+001,0.2924235147666124E+000,0.1987175650356498E+000,0.3189999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2100000000000000E+002
0.1899999999999994E-001,0.1000000000000000E+001,0.3395239021608609E+000,0.9861037931073403E-001,0.3089999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2200000000000000E+002
0.1999999999999993E-001,0.1000000000000000E+001,0.3533785571891500E+000,-.1115288169884651E-001,0.2989999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2200000000000000E+002
0.2099999999999993E-001,0.1000000000000000E+001,0.3326307646762302E+000,-.1198243307840720E+000,0.2889999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2200000000000000E+002
0.2199999999999992E-001,0.1000000000000000E+001,0.2793120438244414E+000,-.2167629637137520E+000,0.2789999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2300000000000000E+002
0.2299999999999992E-001,0.1000000000000000E+001,0.1986432320996269E+000,-.2924766161790081E+000,0.2689999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2300000000000000E+002
0.2399999999999991E-001,0.1000000000000000E+001,0.9852327372038487E-001,-.3395514299981986E+000,0.2589999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2400000000000000E+002
0.2499999999999990E-001,0.1000000000000000E+001,-.1124423068076236E-001,-.3533778158903539E+000,0.2489999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2400000000000000E+002
0.2599999999999990E-001,0.1000000000000000E+001,-.1199109783652892E+000,-.3326018267597084E+000,0.2389999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2400000000000000E+002
0.2699999999999989E-001,0.1000000000000000E+001,-.2168364254367621E+000,-.2792577427938958E+000,0.2289999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2700000000000000E+002
0.2799999999999989E-001,0.1000000000000000E+001,-.2925296987119271E+000,-.1985688849968768E+000,0.2189999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2700000000000000E+002
0.2899999999999988E-001,0.1000000000000000E+001,-.3395789355019055E+000,-.9843616049190110E-001,0.2089999999999997E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2600000000000000E+002
0.2999999999999987E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.1989999999999997E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2600000000000000E+002
0.3099999999999987E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.1889999999999997E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2600000000000000E+002
0.3199999999999989E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.1789999999999997E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2600000000000000E+002
0.3299999999999992E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.1689999999999997E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.2600000000000000E+002
0.3399999999999995E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.1589999999999997E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.3000000000000000E+001
0.3499999999999998E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.1489999999999997E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.3000000000000000E+001
0.3600000000000000E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.1389999999999997E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.3000000000000000E+001
0.3700000000000003E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.1289999999999997E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.3000000000000000E+001
0.3800000000000006E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.1189999999999997E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.3000000000000000E+001
0.3900000000000009E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.1089999999999997E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.3000000000000000E+001
0.4000000000000012E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.9899999999999964E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.3000000000000000E+001
0.4100000000000015E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.8899999999999963E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.3000000000000000E+001
0.4200000000000018E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.7899999999999963E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.3000000000000000E+001
0.4300000000000020E-001,0.1000000000000000E+001,-.3535586980554731E+000,0.2283186107654211E-003,0.6899999999999962E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.3000000000000000E+001
0.4400000000000023E-001,0.1000000000000000E+001,-.3519677146820161E+000,0.3350558528683132E-001,0.5899999999999961E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.3000000000000000E+001
0.4500000000000026E-001,0.1000000000000000E+001,-.3243805226637195E+000,0.1406466400364335E+000,0.4899999999999960E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.3000000000000000E+001
0.4600000000000029E-001,0.1000000000000000E+001,-.2650302412466635E+000,0.2340159748304256E+000,0.3899999999999959E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.1700000000000000E+002
0.4700000000000032E-001,0.1000000000000000E+001,-.1797283143511523E+000,0.3044709225629056E+000,0.2899999999999958E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.1700000000000000E+002
0.4800000000000035E-001,0.1000000000000000E+001,-.7682735968883043E-001,0.3451125481412002E+000,0.1899999999999957E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.1800000000000000E+002
0.4900000000000038E-001,0.1000000000000000E+001,0.3359670517251442E-001,0.3519611908989645E+000,0.8999999999999564E-002,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.1800000000000000E+002
0.5000000000000041E-001,0.1000000000000000E+001,0.1407312825653873E+000,0.3243461561694630E+000,-.1000000000000437E-002,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.1800000000000000E+002
0.5100000000000043E-001,0.1000000000000000E+001,0.2340858518735651E+000,0.2649713971067661E+000,-.1100000000000044E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.1400000000000000E+002
0.5200000000000046E-001,0.1000000000000000E+001,0.3045191917928327E+000,0.1796507544663955E+000,-.2100000000000045E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.1400000000000000E+002
0.5300000000000049E-001,0.1000000000000000E+001,0.3451344830297039E+000,0.7673867860138407E-001,-.3100000000000046E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.1200000000000000E+002
0.5400000000000052E-001,0.1000000000000000E+001,0.3519546435391737E+000,-.3368782392474063E-001,-.4100000000000047E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.1200000000000000E+002
0.5500000000000055E-001,0.1000000000000000E+001,0.3243117676030578E+000,-.1408159167295958E+000,-.5100000000000048E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.1200000000000000E+002
0.5600000000000058E-001,0.1000000000000000E+001,0.2649125345605974E+000,-.2341557141397212E+000,-.6100000000000048E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.9000000000000000E+001
0.5700000000000061E-001,0.1000000000000000E+001,0.2496845055595302E+000,-.2503302978056425E+000,-.7100000000000049E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.9000000000000000E+001
0.5800000000000063E-001,0.1000000000000000E+001,0.2496845055595302E+000,-.2503302978056425E+000,-.8100000000000050E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.9000000000000000E+001
0.5900000000000066E-001,0.1000000000000000E+001,0.2496845055595302E+000,-.2503302978056425E+000,-.9100000000000051E-001,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.9000000000000000E+001
0.6000000000000069E-001,0.1000000000000000E+001,0.2496845055595302E+000,-.2503302978056425E+000,-.1010000000000005E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.9000000000000000E+001
0.6100000000000072E-001,0.1000000000000000E+001,0.2496845055595302E+000,-.2503302978056425E+000,-.1110000000000005E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.9000000000000000E+001
0.6200000000000075E-001,0.1000000000000000E+001,0.2496845055595302E+000,-.2503302978056425E+000,-.1210000000000005E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.9000000000000000E+001
0.6300000000000078E-001,0.1000000000000000E+001,0.2496845055595302E+000,-.2503302978056425E+000,-.1310000000000005E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.9000000000000000E+001
0.6400000000000081E-001,0.1000000000000000E+001,0.2496845055595302E+000,-.2503302978056425E+000,-.1410000000000005E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.1000000000000001E+001,0.9000000000000000E+001
