"001-time","PartNum","PartPosX","PartPosY","PartPosZ","PartVelX","PartVelY","PartVelZ","gamma","Element"
0.0000000000000000E+000,0.1000000000000000E+001,0.2500000000000000E+000,-.2500000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.1000000000000000E-002,0.1000000000000000E+001,0.2484242688710045E+000,-.2515658615245944E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.2000000000000000E-002,0.1000000000000000E+001,0.2468387302475705E+000,-.2531217915296434E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.3000000000000000E-002,0.1000000000000000E+001,0.2452434467248676E+000,-.2546677285888824E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.4000000000000000E-002,0.1000000000000000E+001,0.2436384812827829E+000,-.2562036116705563E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.5000000000000000E-002,0.1000000000000000E+001,0.2420238972834338E+000,-.2577293801398292E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.6000000000000000E-002,0.1000000000000000E+001,0.2403997584686671E+000,-.2592449737611778E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.7000000000000000E-002,0.1000000000000000E+001,0.2387661289575423E+000,-.2607503327007696E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.8000000000000000E-002,0.1000000000000000E+001,0.2371230732438003E+000,-.2622453975288254E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.9000000000000001E-002,0.1000000000000000E+001,0.2354706561933171E+000,-.2637301092219649E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.1000000000000000E-001,0.1000000000000000E+001,0.2338089430415434E+000,-.2652044091655373E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.1100000000000000E-001,0.1000000000000000E+001,0.2321379993909287E+000,-.2666682391559353E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.1200000000000000E-001,0.1000000000000000E+001,0.2304578912083318E+000,-.2681215414028929E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.1300000000000000E-001,0.1000000000000000E+001,0.2287686848224162E+000,-.2695642585317666E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.1400000000000001E-001,0.1000000000000000E+001,0.2270704469210315E+000,-.2709963335858008E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.1500000000000001E-001,0.1000000000000000E+001,0.2253632445485811E+000,-.2724177100283765E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.1600000000000001E-001,0.1000000000000000E+001,0.2236471451033748E+000,-.2738283317452428E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.1700000000000001E-001,0.1000000000000000E+001,0.2219222163349684E+000,-.2752281430467327E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.1800000000000001E-001,0.1000000000000000E+001,0.2201885263414887E+000,-.2766170886699615E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.1900000000000001E-001,0.1000000000000000E+001,0.2184461435669456E+000,-.2779951137810083E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.2000000000000001E-001,0.1000000000000000E+001,0.2166951367985291E+000,-.2793621639770813E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.2100000000000001E-001,0.1000000000000000E+001,0.2149355751638947E+000,-.2807181852886649E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.2200000000000001E-001,0.1000000000000000E+001,0.2131675281284337E+000,-.2820631241816509E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.2300000000000001E-001,0.1000000000000000E+001,0.2113910654925308E+000,-.2833969275594517E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.2400000000000001E-001,0.1000000000000000E+001,0.2096062573888088E+000,-.2847195427650964E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.2500000000000002E-001,0.1000000000000000E+001,0.2078131742793594E+000,-.2860309175833100E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.2600000000000002E-001,0.1000000000000000E+001,0.2060118869529619E+000,-.2873310002425743E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.2700000000000002E-001,0.1000000000000000E+001,0.2042024665222882E+000,-.2886197394171723E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.2800000000000002E-001,0.1000000000000000E+001,0.2023849844210956E+000,-.2898970842292142E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.2900000000000002E-001,0.1000000000000000E+001,0.2005595124014065E+000,-.2911629842506459E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.3000000000000002E-001,0.1000000000000000E+001,0.1987261225306757E+000,-.2924173895052399E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.3100000000000002E-001,0.1000000000000000E+001,0.1968848871889455E+000,-.2936602504705686E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.3200000000000002E-001,0.1000000000000000E+001,0.1950358790659879E+000,-.2948915180799589E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
0.3300000000000002E-001,0.1000000000000000E+001,0.1931791711584352E+000,-.2961111437244299E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.2000000000000000E+001
