001-TIME,002-nPartIn-Spec-001,003-nPartOut-Spec-001,004-EkinIn-001,005-EkinOut-001
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-009,0.6241000000000000E+004,0.1000000000000000E+001,0.1737974899678936E-009,0.1211007896213359E-012
0.2000000000000000E-009,0.6242000000000000E+004,0.4130000000000000E+003,0.1699569957299168E-009,0.2456334467252119E-010
0.3000000000000000E-009,0.6241000000000000E+004,0.2186000000000000E+004,0.1746484860433263E-009,0.9207233839633528E-010
0.4000000000000000E-009,0.6242000000000000E+004,0.3698000000000000E+004,0.1712083839692454E-009,0.1277702851850911E-009
0.5000000000000000E-009,0.6241000000000000E+004,0.4454000000000000E+004,0.1694702627117081E-009,0.1457651983226624E-009
0.6000000000000000E-009,0.6242000000000000E+004,0.4939000000000000E+004,0.1713340515373185E-009,0.1507057514753751E-009
0.7000000000000000E-009,0.6242000000000000E+004,0.5196000000000000E+004,0.1744126559887663E-009,0.1544104119033893E-009
0.7999999999999999E-009,0.6241000000000000E+004,0.5603000000000000E+004,0.1728015023855841E-009,0.1630553886206445E-009
0.8999999999999999E-009,0.6242000000000000E+004,0.5811000000000000E+004,0.1735646910917781E-009,0.1670419429881505E-009
0.1000000000000000E-008,0.6241000000000000E+004,0.5876000000000000E+004,0.1707932880305040E-009,0.1672053662031944E-009
