001-TIME,002-Massflow-Spec-001-SF-001
0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-009,0.1137292400000000E-010
0.2000000000000000E-009,0.1137110200000000E-010
0.3000000000000000E-009,0.1137292400000000E-010
0.4000000000000000E-009,0.1137110200000000E-010
0.5000000000000000E-009,0.1137292400000000E-010
0.6000000000000000E-009,0.1137110200000000E-010
0.7000000000000000E-009,0.1137292400000000E-010
0.7999999999999999E-009,0.1137110200000000E-010
0.8999999999999999E-009,0.1137292400000000E-010
0.1000000000000000E-008,0.1137110199999998E-010
