001-TIME,002-Current-Spec-001-SF-001
0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-009,0.1467593701480000E+001
0.2000000000000000E-009,0.1467273266174000E+001
0.3000000000000000E-009,0.1467593701480000E+001
0.4000000000000000E-009,0.1467593701480000E+001
0.5000000000000000E-009,0.1467593701480000E+001
0.6000000000000000E-009,0.1467273266174000E+001
0.7000000000000000E-009,0.1467593701480000E+001
0.7999999999999999E-009,0.1467593701480000E+001
0.8999999999999999E-009,0.1467273266174000E+001
0.1000000000000000E-008,0.1467593701479998E+001
