001-TIME,002-NumDens-Spec-001,003-Current-Spec-001-SF-001
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.9999999999999999E-010,0.2496600000000000E+016,0.1999996962399000E-003
0.2000000000000000E-009,0.4993200000000000E+016,0.1999996962399000E-003
0.3000000000000000E-009,0.7489800000000000E+016,0.1999996962399000E-003
0.3999999999999999E-009,0.9986400000000000E+016,0.1999996962399000E-003
0.4999999999999999E-009,0.1248300000000000E+017,0.1999996962399000E-003
0.6000000000000001E-009,0.1497960000000000E+017,0.1999996962399000E-003
0.7000000000000003E-009,0.1747620000000000E+017,0.1999996962399000E-003
0.8000000000000004E-009,0.1997300000000000E+017,0.2000157180052000E-003
0.9000000000000006E-009,0.2246940000000000E+017,0.1999836744746000E-003
0.1000000000000000E-008,0.2494860000000000E+017,0.1999996962399048E-003
0.1100000000000000E-008,0.2496600000000000E+017,0.1999996962399000E-003
0.1199999999999999E-008,0.2496560000000000E+017,0.1999996962399000E-003
0.1299999999999999E-008,0.2496720000000000E+017,0.1999996962399000E-003
0.1399999999999999E-008,0.2496760000000000E+017,0.1999996962399000E-003
0.1499999999999998E-008,0.2496460000000000E+017,0.1999996962399000E-003
0.1599999999999998E-008,0.2496700000000000E+017,0.1999996962399000E-003
0.1699999999999998E-008,0.2496600000000000E+017,0.1999996962399000E-003
0.1799999999999997E-008,0.2496340000000000E+017,0.1999996962399000E-003
0.1899999999999997E-008,0.2496860000000000E+017,0.1999996962399000E-003
0.2000000000000000E-008,0.2496760000000000E+017,0.1999996962398676E-003
