001-TIME,002-Flux-Spec-001-BC_Xplus,003-TotalElectricCurrent-BC_Xplus
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.9999999999999999E-010,0.0000000000000000E+000,0.0000000000000000E+000
0.2000000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.3000000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.3999999999999999E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.4999999999999999E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.6000000000000001E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.7000000000000003E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.8000000000000004E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.9000000000000006E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-008,0.8700000000000048E+013,-.1393893581100008E-005
0.1100000000000000E-008,0.1239600000000004E+016,-.1986058026588007E-003
0.1199999999999999E-008,0.1248500000000004E+016,-.2000317397705007E-003
0.1299999999999999E-008,0.1247500000000004E+016,-.1998715221175007E-003
0.1399999999999999E-008,0.1248100000000004E+016,-.1999676527093007E-003
0.1499999999999998E-008,0.1249800000000004E+016,-.2002400227194007E-003
0.1599999999999998E-008,0.1247100000000004E+016,-.1998074350563007E-003
0.1699999999999998E-008,0.1248800000000004E+016,-.2000798050664007E-003
0.1799999999999997E-008,0.1249600000000004E+016,-.2002079791888007E-003
0.1899999999999997E-008,0.1245700000000002E+016,-.1995831303421003E-003
0.2000000000000000E-008,0.1248799999999963E+016,-.2000798050663941E-003
