001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-NumDens-Spec-001,006-NumDens-Spec-002,007-NumDens-Spec-003,008-EnergyScalingRatioVMPF-Spec-001,009-EnergyScalingRatioVMPF-Spec-002
0.0000000000000000E+000,0.5400000000000000E+005,0.0000000000000000E+000,0.5400000000000000E+005,0.9999999999999996E+012,0.1000000000000000E+001,0.1000000000001000E+013,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-005,0.2483500000000000E+005,0.0000000000000000E+000,0.2483500000000000E+005,0.1002850873345508E+013,0.1000000000000000E+001,0.1002850873346508E+013,0.9994865292970260E+000,0.0000000000000000E+000
0.1999999999999999E-005,0.2361900000000000E+005,0.0000000000000000E+000,0.2361900000000000E+005,0.9983204570706125E+012,0.1000000000000000E+001,0.9983204570716125E+012,0.1006593296796825E+001,0.0000000000000000E+000
0.2999999999999998E-005,0.2374600000000000E+005,0.0000000000000000E+000,0.2374600000000000E+005,0.9921834831398558E+012,0.1000000000000000E+001,0.9921834831408558E+012,0.1002993526473409E+001,0.0000000000000000E+000
0.3999999999999997E-005,0.2375000000000000E+005,0.0000000000000000E+000,0.2375000000000000E+005,0.9900337947234883E+012,0.1000000000000000E+001,0.9900337947244883E+012,0.1004156466758745E+001,0.0000000000000000E+000
0.4999999999999996E-005,0.2369700000000000E+005,0.0000000000000000E+000,0.2369700000000000E+005,0.1003599960014469E+013,0.1000000000000000E+001,0.1003599960015469E+013,0.1008491780449025E+001,0.0000000000000000E+000
0.5999999999999995E-005,0.2377800000000000E+005,0.0000000000000000E+000,0.2377800000000000E+005,0.1004383873285872E+013,0.1000000000000000E+001,0.1004383873286872E+013,0.9834548839803606E+000,0.0000000000000000E+000
0.6999999999999994E-005,0.2371600000000000E+005,0.0000000000000000E+000,0.2371600000000000E+005,0.9935938424016526E+012,0.1000000000000000E+001,0.9935938424026526E+012,0.9936677721561067E+000,0.0000000000000000E+000
0.7999999999999996E-005,0.2368200000000000E+005,0.0000000000000000E+000,0.2368200000000000E+005,0.1019823072925824E+013,0.1000000000000000E+001,0.1019823072926824E+013,0.1006893542635492E+001,0.0000000000000000E+000
0.9000000000000004E-005,0.2379400000000000E+005,0.0000000000000000E+000,0.2379400000000000E+005,0.1007231140278785E+013,0.1000000000000000E+001,0.1007231140279785E+013,0.9941916291952395E+000,0.0000000000000000E+000
0.1000000000000000E-004,0.2364800000000000E+005,0.0000000000000000E+000,0.2364800000000000E+005,0.1005265835110793E+013,0.1000000000000000E+001,0.1005265835111793E+013,0.9990339236680352E+000,0.0000000000000000E+000
