"001-time","002-E-El","003-HDG-#iterations","004-HDG-RunTime","005-HDG-RunTimePerIteration","006-HDG-Norm"
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.2000000000000000E-001,0.3153714110501622E-001,0.2360000000000000E+003,0.2829816000000007E-001,0.1199074576271190E-003,0.8753867944935858E-012
0.4000000000000000E-001,0.3147741091943197E-001,0.1310000000000000E+003,0.1163767999999998E-001,0.8883725190839681E-004,0.6224007479763409E-012
0.6000000000000000E-001,0.3138643741615341E-001,0.1310000000000000E+003,0.6622981000000028E-002,0.5055710687022922E-004,0.9914688526891657E-012
0.8000000000000000E-001,0.3126444035698174E-001,0.1320000000000000E+003,0.6770338000000042E-002,0.5129043939393972E-004,0.7311740120534395E-012
0.1000000000000000E+000,0.3111170711527180E-001,0.1320000000000000E+003,0.6657083000000008E-002,0.5043244696969703E-004,0.9347896177106087E-012
0.1200000000000000E+000,0.3092859184246777E-001,0.1330000000000000E+003,0.6961402999999922E-002,0.5234137593984903E-004,0.7340987728441983E-012
0.1400000000000000E+000,0.3071551446070984E-001,0.1330000000000000E+003,0.6825572000000002E-002,0.5132009022556392E-004,0.9039014567010202E-012
0.1600000000000000E+000,0.3047295948473454E-001,0.1340000000000000E+003,0.7146639999999982E-002,0.5333313432835807E-004,0.6137001530403350E-012
0.1800000000000000E+000,0.3020147467655761E-001,0.1340000000000000E+003,0.7038373999999958E-002,0.5252517910447730E-004,0.6835991195974242E-012
0.2000000000000000E+000,0.2990166953713890E-001,0.1340000000000000E+003,0.7054529000000032E-002,0.5264573880597038E-004,0.7505964334196273E-012
0.2200000000000000E+000,0.2957421363953021E-001,0.1340000000000000E+003,0.7027051000000006E-002,0.5244067910447766E-004,0.8150156597779314E-012
0.2400000000000000E+000,0.2921983480848771E-001,0.1340000000000000E+003,0.7061796000000009E-002,0.5269997014925380E-004,0.8772327147969112E-012
0.2600000000000000E+000,0.2883931715201556E-001,0.1340000000000000E+003,0.7304685000000033E-002,0.5451257462686592E-004,0.9396661625981227E-012
0.2800000000000000E+000,0.2843349895064994E-001,0.1340000000000000E+003,0.7970723000000013E-002,0.5948300746268666E-004,0.9981106889804967E-012
0.3000000000000000E+000,0.2800327041070858E-001,0.1350000000000000E+003,0.7446076999999995E-002,0.5515612592592589E-004,0.4332272102007654E-012
0.3200000000000000E+000,0.2754957128812523E-001,0.1350000000000000E+003,0.7138789000000090E-002,0.5287991851851919E-004,0.4482639456548100E-012
0.3400000000000000E+000,0.2707338838980661E-001,0.1350000000000000E+003,0.7162331999999938E-002,0.5305431111111065E-004,0.4646170272493804E-012
0.3600000000000000E+000,0.2657575295981840E-001,0.1350000000000000E+003,0.7235144999999998E-002,0.5359366666666665E-004,0.4817262355830414E-012
0.3800000000000001E+000,0.2605773795795753E-001,0.1350000000000000E+003,0.7173727999999935E-002,0.5313872592592544E-004,0.4966259424217018E-012
0.4000000000000001E+000,0.2552045523860880E-001,0.1350000000000000E+003,0.7247492999999938E-002,0.5368513333333288E-004,0.5107163155441646E-012
0.4200000000000001E+000,0.2496505263803944E-001,0.1350000000000000E+003,0.7287855000000065E-002,0.5398411111111159E-004,0.5288246960427571E-012
0.4400000000000001E+000,0.2439271097844011E-001,0.1350000000000000E+003,0.7276539999999998E-002,0.5390029629629628E-004,0.5433554786140413E-012
0.4600000000000001E+000,0.2380464099735339E-001,0.1350000000000000E+003,0.7322882999999947E-002,0.5424357777777739E-004,0.5608460593456042E-012
0.4800000000000001E+000,0.2320208021121648E-001,0.1350000000000000E+003,0.7372460000000025E-002,0.5461081481481500E-004,0.5758339515353425E-012
0.5000000000000001E+000,0.2258628972194224E-001,0.1350000000000000E+003,0.7289520000000049E-002,0.5399644444444481E-004,0.5907737740296462E-012
0.5200000000000001E+000,0.2195855097558430E-001,0.1350000000000000E+003,0.7267365000000026E-002,0.5383233333333353E-004,0.6045639639435533E-012
0.5400000000000001E+000,0.2132016248222730E-001,0.1350000000000000E+003,0.7304544999999996E-002,0.5410774074074071E-004,0.6198038590108216E-012
0.5600000000000002E+000,0.2067243650634864E-001,0.1350000000000000E+003,0.7312787000000043E-002,0.5416879259259291E-004,0.6300716692735179E-012
0.5800000000000002E+000,0.2001669573689712E-001,0.1350000000000000E+003,0.7488272999999990E-002,0.5546868888888882E-004,0.6424569203921101E-012
0.6000000000000002E+000,0.1935426994639156E-001,0.1350000000000000E+003,0.7335774999999933E-002,0.5433907407407358E-004,0.6523742329584562E-012
0.6200000000000002E+000,0.1868649264832003E-001,0.1350000000000000E+003,0.7321415000000053E-002,0.5423270370370410E-004,0.6623830285964098E-012
0.6400000000000002E+000,0.1801469776211630E-001,0.1350000000000000E+003,0.7317923999999976E-002,0.5420684444444426E-004,0.6706274056523053E-012
0.6600000000000003E+000,0.1734021629486139E-001,0.1350000000000000E+003,0.7260013999999981E-002,0.5377788148148134E-004,0.6762013658976434E-012
0.6800000000000003E+000,0.1666437304884862E-001,0.1350000000000000E+003,0.7359110000000002E-002,0.5451192592592594E-004,0.6796202090054757E-012
0.7000000000000003E+000,0.1598848336400069E-001,0.1350000000000000E+003,0.7385115000000053E-002,0.5470455555555595E-004,0.6832553032361274E-012
0.7200000000000003E+000,0.1531384990397094E-001,0.1350000000000000E+003,0.7337390999999971E-002,0.5435104444444423E-004,0.6839794111386151E-012
0.7400000000000003E+000,0.1464175949464857E-001,0.1350000000000000E+003,0.7357709999999962E-002,0.5450155555555527E-004,0.6840772464384608E-012
0.7600000000000003E+000,0.1397348002354198E-001,0.1350000000000000E+003,0.7282969000000028E-002,0.5394791851851873E-004,0.6814361506564152E-012
0.7800000000000004E+000,0.1331025740834760E-001,0.1350000000000000E+003,0.7387116000000082E-002,0.5471937777777839E-004,0.6780865242216882E-012
0.8000000000000004E+000,0.1265331264274890E-001,0.1350000000000000E+003,0.7296705999999986E-002,0.5404967407407397E-004,0.6740376007032307E-012
0.8200000000000004E+000,0.1200383892724519E-001,0.1350000000000000E+003,0.7346002000000018E-002,0.5441482962962976E-004,0.6682604461325384E-012
0.8400000000000004E+000,0.1136299889252827E-001,0.1350000000000000E+003,0.7295849999999993E-002,0.5404333333333328E-004,0.6615973061423531E-012
0.8600000000000004E+000,0.1073192192261651E-001,0.1350000000000000E+003,0.7537193999999969E-002,0.5583106666666644E-004,0.6542093035219260E-012
0.8800000000000004E+000,0.1011170158465617E-001,0.1350000000000000E+003,0.7359554999999962E-002,0.5451522222222194E-004,0.6455629277420658E-012
0.9000000000000005E+000,0.9503393171934098E-002,0.1350000000000000E+003,0.7314731999999990E-002,0.5418319999999993E-004,0.6365589427875283E-012
0.9200000000000005E+000,0.8908011366314580E-002,0.1350000000000000E+003,0.7438072999999989E-002,0.5509683703703696E-004,0.6270420514909479E-012
0.9400000000000005E+000,0.8326528025923782E-002,0.1350000000000000E+003,0.7334510000000072E-002,0.5432970370370424E-004,0.6163021776353025E-012
0.9600000000000005E+000,0.7759870103527477E-002,0.1350000000000000E+003,0.7387876999999987E-002,0.5472501481481472E-004,0.6039356274564080E-012
0.9800000000000005E+000,0.7208917700634880E-002,0.1350000000000000E+003,0.7415614000000015E-002,0.5493047407407418E-004,0.5927152241127490E-012
0.1000000000000000E+001,0.6674502261948710E-002,0.1350000000000000E+003,0.7412887999999951E-002,0.5491028148148112E-004,0.5777681460697263E-012
0.1020000000000000E+001,0.6157404914365941E-002,0.1320000000000000E+003,0.7178345000000030E-002,0.5438140151515175E-004,0.8780366341170078E-012
0.1040000000000000E+001,0.5658354954272493E-002,0.1340000000000000E+003,0.7415709999999964E-002,0.5534111940298480E-004,0.9342763716974590E-012
0.1060000000000000E+001,0.5178028486442602E-002,0.1340000000000000E+003,0.7431675000000082E-002,0.5546026119403046E-004,0.9253616284545677E-012
0.1080000000000001E+001,0.4717047217400015E-002,0.1330000000000000E+003,0.7242456000000064E-002,0.5445455639097792E-004,0.9897387559566395E-012
0.1100000000000001E+001,0.4275977405620076E-002,0.1330000000000000E+003,0.7262180999999979E-002,0.5460286466165397E-004,0.9467068692659088E-012
0.1120000000000001E+001,0.3855328970503215E-002,0.1330000000000000E+003,0.7208302999999971E-002,0.5419776691729302E-004,0.9009925490174406E-012
0.1140000000000001E+001,0.3455554761558511E-002,0.1330000000000000E+003,0.7324111999999938E-002,0.5506851127819502E-004,0.8425198574790286E-012
0.1160000000000001E+001,0.3077049988784027E-002,0.1330000000000000E+003,0.7201522999999987E-002,0.5414678947368412E-004,0.7633281643092562E-012
0.1180000000000001E+001,0.2720151814733928E-002,0.1330000000000000E+003,0.7353459999999923E-002,0.5528917293233025E-004,0.6411460496773771E-012
0.1200000000000001E+001,0.2385139108304451E-002,0.1320000000000000E+003,0.7289875999999973E-002,0.5522633333333313E-004,0.7336431614771744E-012
0.1220000000000001E+001,0.2072232359787477E-002,0.1300000000000000E+003,0.7234236999999921E-002,0.5564797692307632E-004,0.9695292500913964E-012
0.1240000000000001E+001,0.1781593756276341E-002,0.1310000000000000E+003,0.7281968000000028E-002,0.5558754198473303E-004,0.9423427573818381E-012
0.1260000000000001E+001,0.1513327416043570E-002,0.1320000000000000E+003,0.7174651000000032E-002,0.5435341666666691E-004,0.8948442546507731E-012
0.1280000000000001E+001,0.1267479780047830E-002,0.1330000000000000E+003,0.7224398000000076E-002,0.5431878195488779E-004,0.6337429819768130E-012
0.1300000000000001E+001,0.1044040158282160E-002,0.1330000000000000E+003,0.7196633000000063E-002,0.5411002255639146E-004,0.6342492863999024E-012
0.1320000000000001E+001,0.8429414282281127E-003,0.1330000000000000E+003,0.7355309000000032E-002,0.5530307518797016E-004,0.5956558389183984E-012
0.1340000000000001E+001,0.6640608822536901E-003,0.1320000000000000E+003,0.7258484999999926E-002,0.5498852272727216E-004,0.8981809042914262E-012
0.1360000000000001E+001,0.5072212203700438E-003,0.1320000000000000E+003,0.7254724999999906E-002,0.5496003787878717E-004,0.7231461825050072E-012
0.1380000000000001E+001,0.3721916843548699E-003,0.1310000000000000E+003,0.7163829999999982E-002,0.5468572519083956E-004,0.8670449150408613E-012
0.1400000000000001E+001,0.2586893288608020E-003,0.1310000000000000E+003,0.7233925999999946E-002,0.5522080916030493E-004,0.8428506028702562E-012
