001-TIME,002-Current-Spec-001-SF-001
0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-011,0.1467593701480000E+001
0.2000000000000000E-011,0.1467433483827000E+001
0.3000000000000000E-011,0.1467433483827000E+001
0.4000000000000000E-011,0.1467433483827000E+001
0.5000000000000000E-011,0.1467593701480000E+001
0.5999999999999999E-011,0.1467593701480000E+001
0.6999999999999999E-011,0.1467433483827000E+001
0.8000000000000000E-011,0.1467593701480000E+001
0.9000000000000000E-011,0.1467433483827000E+001
0.9999999999999999E-011,0.1467593701480000E+001
