001-TIME,002-Flux-Spec-001-BC_Xplus,003-TotalElectricCurrent-BC_Xplus
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.2000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000
0.4000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000
0.6000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000
0.8000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.1200000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.1400000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.1600000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.1800000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.2000000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.2200000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.2400000000000000E-009,0.2500000000000002E+017,-.4005441325000004E-002
0.2600000000000000E-009,0.6887500000000006E+019,-.1103499085037501E+001
0.2800000000000000E-009,0.9169500000000008E+019,-.1469115769183501E+001
0.3000000000000000E-009,0.9144999999999985E+019,-.1465190436684997E+001
