001-TIME,002-TempTra-001,003-TempVib001,004-XiVibMean001,005-TempRot001,006-TempTotal001
0.00000000000000E+000,9.98667959902318E+003,4.99449875712875E+003,1.31655066154245E+001,7.48802226170606E+003,6.16624513931630E+003
1.00000000000000E-009,9.68735604681027E+003,5.03272517952030E+003,1.31976123222313E+001,7.56584044234412E+003,6.15595019461088E+003
2.00000000000000E-009,9.44253684212954E+003,5.06487297408894E+003,1.32242895357455E+001,7.62402849168075E+003,6.14738154316778E+003
3.00000000000000E-009,9.20103690725431E+003,5.09764743131973E+003,1.32511880427756E+001,7.67535074486424E+003,6.13879244137841E+003
4.00000000000000E-009,8.97910431994596E+003,5.12628591498028E+003,1.32744489894173E+001,7.73129827132304E+003,6.13142449479454E+003
5.00000000000000E-009,8.78145643988622E+003,5.15517506370571E+003,1.32976872320406E+001,7.76080838429027E+003,6.12398256200810E+003
6.00000000000000E-009,8.58739856015557E+003,5.18230955697709E+003,1.33193099156582E+001,7.79714204889581E+003,6.11711336540165E+003
7.00000000000000E-009,8.42770299274961E+003,5.20568407427553E+003,1.33377799094572E+001,7.82137020026655E+003,6.11132656350618E+003
8.00000000000000E-009,8.28408452790360E+003,5.22767993371723E+003,1.33550298165453E+001,7.83702321780489E+003,6.10586218380564E+003
9.00000000000000E-009,8.13798955883632E+003,5.24904913049677E+003,1.33716682207715E+001,7.85887741849229E+003,6.10061782148420E+003
1.00000000000000E-008,8.00918385193763E+003,5.26935300075064E+003,1.33873686572451E+001,7.86961737965932E+003,6.09567894386929E+003
1.10000000000000E-008,7.88555239600103E+003,5.28783954928426E+003,1.34015727564174E+001,7.88563133361991E+003,6.09120297187080E+003
1.20000000000000E-008,7.77841712548688E+003,5.30626343155167E+003,1.34156431566129E+001,7.88563133361991E+003,6.08679718290714E+003
1.30000000000000E-008,7.68205451429513E+003,5.32324598969611E+003,1.34285378222255E+001,7.88319932349675E+003,6.08276200218359E+003
1.40000000000000E-008,7.60426290635027E+003,5.33853655865273E+003,1.34400867366461E+001,7.87184894998902E+003,6.07912565231977E+003
1.50000000000000E-008,7.51163765009529E+003,5.35439112400529E+003,1.34520010234029E+001,7.87233874933047E+003,6.07542658135342E+003
1.60000000000000E-008,7.44476884455345E+003,5.36830303510517E+003,1.34624049910915E+001,7.85827828604755E+003,6.07218948631418E+003
1.70000000000000E-008,7.37492142173853E+003,5.38215227993883E+003,1.34727155654804E+001,7.84743807371420E+003,6.06896787901397E+003
1.80000000000000E-008,7.31496407075006E+003,5.39524952957790E+003,1.34824238561069E+001,7.83114290177422E+003,6.06594758217209E+003
1.90000000000000E-008,7.24999056780377E+003,5.40853477801562E+003,1.34922296273149E+001,7.81869985023967E+003,6.06289104355863E+003
2.00000000000000E-008,7.18756309875842E+003,5.42075469992768E+003,1.35012120798856E+001,7.80994910920602E+003,6.06010000694002E+003
2.10000000000000E-008,7.12923033272599E+003,5.43322528690460E+003,1.35103424476748E+001,7.79562708493160E+003,6.05726459140159E+003
2.20000000000000E-008,7.08250105611241E+003,5.44394121842747E+003,1.35181589795597E+001,7.77995623871484E+003,6.05484538138690E+003
2.30000000000000E-008,7.03671326732576E+003,5.45509581381386E+003,1.35262670093995E+001,7.76045691414839E+003,6.05228808082147E+003
2.40000000000000E-008,6.99370920614961E+003,5.46537308147323E+003,1.35337117480235E+001,7.74372918170627E+003,6.05000731904376E+003
2.50000000000000E-008,6.95642682413756E+003,5.47521168526909E+003,1.35408158508999E+001,7.72363132986367E+003,6.04780314899111E+003
2.60000000000000E-008,6.91216637101008E+003,5.48555161919467E+003,1.35482579485812E+001,7.70785330971501E+003,6.04553754509155E+003
2.70000000000000E-008,6.87606693593260E+003,5.49451289526351E+003,1.35546879636296E+001,7.69166677443511E+003,6.04354358189428E+003
2.80000000000000E-008,6.83948383318519E+003,5.50353683759857E+003,1.35611444443717E+001,7.67566954998688E+003,6.04155439346570E+003
2.90000000000000E-008,6.81270325620415E+003,5.51205944980390E+003,1.35672252567746E+001,7.65266018438336E+003,6.03966280119706E+003
3.00000000000000E-008,6.78697581548142E+003,5.52051939574301E+003,1.35732451149697E+001,7.62915412304356E+003,6.03782111968520E+003
3.10000000000000E-008,6.75993182073160E+003,5.52904200794834E+003,1.35792932670857E+001,7.60624003244488E+003,6.03591747972662E+003
3.20000000000000E-008,6.73554292651749E+003,5.53706329002395E+003,1.35849707609839E+001,7.58358771315302E+003,6.03412873360691E+003
3.30000000000000E-008,6.71249547260864E+003,5.54439524317118E+003,1.35901477658883E+001,7.56415861879765E+003,6.03257894293094E+003
3.40000000000000E-008,6.68862909019810E+003,5.55191519511706E+003,1.35954450782321E+001,7.54411159191739E+003,6.03094135850191E+003
3.50000000000000E-008,6.67375924197694E+003,5.55874581813456E+003,1.36002459253650E+001,7.51917746221374E+003,6.02947129978909E+003
3.60000000000000E-008,6.65548194441362E+003,5.56482444595748E+003,1.36045095581050E+001,7.50197828835952E+003,6.02815835368175E+003
3.70000000000000E-008,6.63382113511922E+003,5.57240706416958E+003,1.36098166872847E+001,7.47925814109710E+003,6.02650592626682E+003
3.80000000000000E-008,6.61432665826561E+003,5.57861102452493E+003,1.36141494810458E+001,7.46259170091275E+003,6.02518093258288E+003
3.90000000000000E-008,6.59183946370192E+003,5.58600564393838E+003,1.36193028026831E+001,7.44199103689109E+003,6.02360822974355E+003
4.00000000000000E-008,6.57647993941862E+003,5.59258560189102E+003,1.36238783412937E+001,7.41906292990520E+003,6.02222111277187E+003
