001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-NumDens-Spec-005,007-NumDens-Spec-006,008-NumDens-Spec-007,009-NumDens-Spec-008,010-TempTra-001,011-TempTra-002,012-TempTra-003,013-TempTra-004,014-TempTra-005,015-TempTra-006,016-TempTra-007,017-TempTra-008,018-TempVib001,019-TempVib002,020-TempVib003,021-TempVib004,022-TempVib005,023-TempVib006,024-TempVib007,025-XiVibMean001,026-XiVibMean002,027-XiVibMean003,028-XiVibMean004,029-XiVibMean005,030-XiVibMean006,031-XiVibMean007,032-TempRot001,033-TempRot002,034-TempRot003,035-TempRot004,036-TempRot005,037-TempRot006,038-TempRot007,039-TempElec001,040-TempElec002,041-TempElec003,042-TempElec004,043-TempElec005,044-TempElec006,045-TempElec007,046-XiElecMean001,047-XiElecMean002,048-XiElecMean003,049-XiElecMean004,050-XiElecMean005,051-XiElecMean006,052-XiElecMean007,053-TempTotal001,054-TempTotal002,055-TempTotal003,056-TempTotal004,057-TempTotal005,058-TempTotal006,059-TempTotal007,060-TempTotal008
0.00000000000000E+000,2.00000212217854E+023,2.00000112115092E+023,2.00000112115092E+023,1.00000656674115E+022,0.00000000000000E+000,0.00000000000000E+000,9.99996556465002E+021,6.20000467680100E+023,9.99629548875067E+002,9.99309574133883E+002,1.00037827565747E+003,5.00000000000000E+004,0.00000000000000E+000,0.00000000000000E+000,5.00000000000001E+004,2.58042624331739E+003,9.94984455846880E+002,9.99319030523545E+002,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,3.26746671593352E+000,2.35537220487521E-001,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,1.00146928724954E+003,9.99391507324393E+002,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.01841964777441E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,7.49927536619485E-002,9.98238770961088E+002,9.99341298426112E+002,1.00037827565747E+003,5.00000000000000E+004,0.00000000000000E+000,0.00000000000000E+000,5.00044921735391E+004,2.58006029289144E+003
1.00000000000000E-012,1.99932943162132E+023,1.99967178306562E+023,1.99998410368147E+023,1.01019702786092E+022,6.72690557218417E+019,3.29338085304850E+019,1.00016673115954E+022,6.20102372291298E+023,9.99759396561506E+002,9.99501987772101E+002,1.00059467255265E+003,4.71140671225924E+004,1.07123281364121E+003,1.06209072556417E+003,4.99671189043655E+004,2.54099369756637E+003,9.94984455846880E+002,1.00233895630195E+003,0.00000000000000E+000,0.00000000000000E+000,7.79847029441048E+003,9.91720620784721E+003,0.00000000000000E+000,3.26746671593352E+000,2.37326967197788E-001,0.00000000000000E+000,0.00000000000000E+000,7.12055961691389E+000,1.69693001340496E+000,0.00000000000000E+000,1.00636513936596E+003,1.00430481360447E+003,0.00000000000000E+000,0.00000000000000E+000,8.46567147029025E+003,1.06768711669564E+004,0.00000000000000E+000,8.28551245780337E+003,7.91360351177047E+003,1.41592232303071E+004,0.00000000000000E+000,0.00000000000000E+000,1.11602867188198E+004,5.01841964777441E+004,5.59016084302838E-003,9.73784070711328E-003,1.47368679831165E-004,0.00000000000000E+000,0.00000000000000E+000,7.22957083257371E-001,7.49927536619485E-002,1.00439348258307E+003,1.01429261127623E+003,1.00124103070799E+003,4.71140671225924E+004,6.24348350450621E+003,6.66280053380050E+003,4.99724129802512E+004,2.54840981339478E+003
2.00000000000000E-012,1.99867576058879E+023,1.99938749122299E+023,1.99997509443294E+023,1.01966674909795E+022,1.32636158975357E+020,6.13629927938824E+019,1.00025682364488E+022,6.20197069503668E+023,9.99920983204529E+002,9.99644975654185E+002,1.00107038880567E+003,4.44540837001833E+004,1.04689584322970E+003,1.14537244426447E+003,4.99210562017763E+004,2.50365993484738E+003,9.94984455846880E+002,1.00507840724110E+003,0.00000000000000E+000,0.00000000000000E+000,7.79847029441048E+003,1.05607548643169E+004,0.00000000000000E+000,3.26746671593352E+000,2.38951756471741E-001,0.00000000000000E+000,0.00000000000000E+000,7.12055961691389E+000,1.71442574408097E+000,0.00000000000000E+000,1.01104709043181E+003,1.00909521183437E+003,0.00000000000000E+000,0.00000000000000E+000,8.63662759845492E+003,1.04874963226142E+004,0.00000000000000E+000,9.04663374367930E+003,8.48746039128520E+003,1.48906443565960E+004,0.00000000000000E+000,0.00000000000000E+000,1.11108546624795E+004,5.01841964777441E+004,1.02078838861727E-002,1.76077407659632E-002,3.63090639139904E-004,0.00000000000000E+000,0.00000000000000E+000,7.21755874353694E-001,7.49927536619485E-002,1.01058366196547E+003,1.02856927741534E+003,1.00275124346792E+003,4.44540837001833E+004,6.26566905976057E+003,6.79596965340229E+003,4.99274736523120E+004,2.51874144079837E+003
3.00000000000000E-012,1.99816823958803E+023,1.99914123842972E+023,1.99996608518440E+023,1.02729457952355E+022,1.83388259051211E+020,8.59882721206280E+019,1.00034691613022E+022,6.20273347807924E+023,1.00005073055669E+003,9.99778576961400E+002,1.00154254937875E+003,4.22188751003017E+004,1.06864534483320E+003,1.16119109096331E+003,4.98833275496814E+004,2.47151728779027E+003,1.01428512489245E+003,1.00767959490538E+003,0.00000000000000E+000,0.00000000000000E+000,7.95287564677504E+003,1.00821552744746E+004,0.00000000000000E+000,3.32017008242345E+000,2.40495616837752E-001,0.00000000000000E+000,0.00000000000000E+000,7.13675517206723E+000,1.70161491108033E+000,0.00000000000000E+000,1.01567000949763E+003,1.01362092377310E+003,0.00000000000000E+000,0.00000000000000E+000,8.59920680013493E+003,1.03567278779739E+004,0.00000000000000E+000,9.51501607344910E+003,8.86267450481407E+003,1.50647922438077E+004,0.00000000000000E+000,0.00000000000000E+000,1.07153982117572E+004,5.01841964777441E+004,1.40983862391981E-002,2.48821999477272E-002,4.44294793126442E-004,0.00000000000000E+000,0.00000000000000E+000,7.11606572952415E-001,7.49927536619485E-002,1.02387362983824E+003,1.04255442520813E+003,1.00362498384505E+003,4.22188751003017E+004,6.35771875972974E+003,6.60686082083116E+003,4.98906651245033E+004,2.49608679586281E+003
4.00000000000000E-012,1.99765271036635E+023,1.99890900002306E+023,1.99996208107394E+023,1.03481229691152E+022,2.34941181218992E+020,1.09212112786502E+020,1.00038695723482E+022,6.20348524981804E+023,1.00016985674704E+003,9.99916371811150E+002,1.00202610025243E+003,4.00984500286740E+004,1.07707800411047E+003,1.18853477376341E+003,4.98458741905034E+004,2.44064894775896E+003,1.01428512489245E+003,1.01066396457420E+003,0.00000000000000E+000,0.00000000000000E+000,7.95287564677504E+003,1.00268196252860E+004,0.00000000000000E+000,3.32017008242345E+000,2.42268150659483E-001,0.00000000000000E+000,0.00000000000000E+000,7.13675517206723E+000,1.70005944103802E+000,0.00000000000000E+000,1.02012396807205E+003,1.01823178413538E+003,0.00000000000000E+000,0.00000000000000E+000,8.32419259580590E+003,1.01538087258259E+004,0.00000000000000E+000,9.81751299475876E+003,9.12753152612856E+003,1.52737697084617E+004,0.00000000000000E+000,0.00000000000000E+000,1.04929539582259E+004,5.01841964777441E+004,1.70905604386000E-002,3.12204684144397E-002,5.62628530615167E-004,0.00000000000000E+000,0.00000000000000E+000,7.05450746242298E-001,7.49927536619485E-002,1.02865243149576E+003,1.05547401068072E+003,1.00470216175478E+003,4.00984500286740E+004,6.31448393927015E+003,6.52509713964183E+003,4.98541251757830E+004,2.47164175010719E+003
5.00000000000000E-012,1.99727031781745E+023,1.99870879450008E+023,1.99995307182541E+023,1.04072837011562E+022,2.73180436108491E+020,1.29232665084669E+020,1.00047704972016E+022,6.20407685713845E+023,1.00028473301762E+003,1.00015421786185E+003,1.00254870492748E+003,3.82857524576185E+004,1.10183060554424E+003,1.17242963283640E+003,4.98022086618893E+004,2.41349929197362E+003,1.01428512489245E+003,1.01352994275146E+003,0.00000000000000E+000,0.00000000000000E+000,7.95287564677504E+003,1.01311109305502E+004,0.00000000000000E+000,3.32017008242345E+000,2.43971576225828E-001,0.00000000000000E+000,0.00000000000000E+000,7.13675517206723E+000,1.70297769355311E+000,0.00000000000000E+000,1.02452679767462E+003,1.02257935661431E+003,0.00000000000000E+000,0.00000000000000E+000,8.17382303569474E+003,1.00693214819638E+004,0.00000000000000E+000,1.01297678812720E+004,9.34824571055730E+003,1.54827471731156E+004,0.00000000000000E+000,0.00000000000000E+000,1.03693738173752E+004,5.01841964777441E+004,2.06041040789442E-002,3.73481635701795E-002,7.07948130626692E-004,0.00000000000000E+000,0.00000000000000E+000,7.01882657812168E-001,7.49927536619485E-002,1.03422314523248E+003,1.06829996144285E+003,1.00596497522564E+003,3.82857524576185E+004,6.29582315945627E+003,6.50749226269725E+003,4.98115245596722E+004,2.45102876095278E+003
6.00000000000000E-012,1.99690093862755E+023,1.99853962083316E+023,1.99994706565972E+023,1.04617396034073E+022,3.10118355098609E+020,1.46150031776620E+020,1.00053711137705E+022,6.20462141616096E+023,1.00051662429390E+003,1.00033138183801E+003,1.00305971709002E+003,3.66885678641309E+004,1.10355254773421E+003,1.20859971904764E+003,4.97518277103424E+004,2.38926857105965E+003,1.01428512489245E+003,1.01618718200040E+003,0.00000000000000E+000,0.00000000000000E+000,7.79847029441048E+003,1.00122344187864E+004,0.00000000000000E+000,3.32017008242345E+000,2.45551954596472E-001,0.00000000000000E+000,0.00000000000000E+000,7.12055961691389E+000,1.69964675905827E+000,0.00000000000000E+000,1.02925367838350E+003,1.02676234576564E+003,0.00000000000000E+000,0.00000000000000E+000,8.21377343571254E+003,1.00492099944106E+004,0.00000000000000E+000,1.03639590461569E+004,9.50274563965742E+003,1.55175767505580E+004,0.00000000000000E+000,0.00000000000000E+000,1.02457936765245E+004,5.01841964777441E+004,2.35375014426820E-002,4.21287057228647E-002,7.35139174467300E-004,0.00000000000000E+000,0.00000000000000E+000,6.98204349431219E-001,7.49927536619485E-002,1.03929793442575E+003,1.07880644215932E+003,1.00661557576294E+003,3.66885678641309E+004,6.20991765608542E+003,6.47419607839198E+003,4.97623722959927E+004,2.43213596527123E+003
7.00000000000000E-012,1.99658661595647E+023,1.99842550368506E+023,1.99994306154926E+023,1.05049839963713E+022,3.41550622206732E+020,1.57561746586576E+020,1.00057715248165E+022,6.20505386009060E+023,1.00067770262121E+003,1.00053528736181E+003,1.00354690319081E+003,3.52966549028932E+004,1.10760923499760E+003,1.20950896297878E+003,4.97147660481687E+004,2.36781413411656E+003,1.01428512489245E+003,1.01928758089505E+003,0.00000000000000E+000,0.00000000000000E+000,7.68266628013705E+003,9.87078766537367E+003,0.00000000000000E+000,3.32017008242345E+000,2.47397091296646E-001,0.00000000000000E+000,0.00000000000000E+000,7.10800956243532E+000,1.69558507346162E+000,0.00000000000000E+000,1.03297369627439E+003,1.03083518460113E+003,0.00000000000000E+000,0.00000000000000E+000,8.11383212424545E+003,9.97154614493481E+003,0.00000000000000E+000,1.05591183502276E+004,9.63517415031467E+003,1.55872359054426E+004,0.00000000000000E+000,0.00000000000000E+000,1.00974975075036E+004,5.00300238311150E+004,2.61855397703676E-002,4.65653716445943E-002,7.92292876464737E-004,0.00000000000000E+000,0.00000000000000E+000,6.93639835538921E-001,7.24758954001547E-002,1.04381795300707E+003,1.08880833959734E+003,1.00739740391907E+003,3.52966549028932E+004,6.12478516434054E+003,6.40289157531971E+003,4.97222025882357E+004,2.41556621128853E+003
8.00000000000000E-012,1.99632434672137E+023,1.99828535981897E+023,1.99994105949403E+023,1.05454255120136E+022,3.67777545717331E+020,1.71576133195293E+020,1.00059717303395E+022,6.20545827524702E+023,1.00077838254849E+003,1.00068411399058E+003,1.00422526957070E+003,3.39383765431481E+004,1.12489371018503E+003,1.21423521008533E+003,4.96775838757171E+004,2.34661374403100E+003,1.01428512489245E+003,1.02201288393558E+003,0.00000000000000E+000,0.00000000000000E+000,7.68266628013705E+003,9.75301228906886E+003,0.00000000000000E+000,3.32017008242345E+000,2.49020015931323E-001,0.00000000000000E+000,0.00000000000000E+000,7.10800956243532E+000,1.69211862993299E+000,0.00000000000000E+000,1.03708323662368E+003,1.03518933035511E+003,0.00000000000000E+000,0.00000000000000E+000,8.07559366351097E+003,9.85359479331784E+003,0.00000000000000E+000,1.07152457934842E+004,9.76760266097192E+003,1.56568950603273E+004,0.00000000000000E+000,0.00000000000000E+000,9.99863339482307E+003,5.00300238311150E+004,2.84413272196025E-002,5.13277689509189E-002,8.53319476860772E-004,0.00000000000000E+000,0.00000000000000E+000,6.90502625033443E-001,7.24758954001547E-002,1.04794152346742E+003,1.09960367818352E+003,1.00839188725885E+003,3.39383765431481E+004,6.12275151085029E+003,6.33341871406559E+003,4.96858974971130E+004,2.39949486467041E+003
9.00000000000000E-012,1.99607909495571E+023,1.99816123239472E+023,1.99993905743880E+023,1.05825636365267E+022,3.92302722282586E+020,1.83988875620156E+020,1.00061719358625E+022,6.20582965649215E+023,1.00092522286792E+003,1.00080192435422E+003,1.00487863256793E+003,3.27206488886040E+004,1.12048010403199E+003,1.25680321062044E+003,4.96382724309420E+004,2.32743545547999E+003,1.01428512489245E+003,1.02528901193984E+003,0.00000000000000E+000,0.00000000000000E+000,7.68266628013705E+003,9.57995046231236E+003,0.00000000000000E+000,3.32017008242345E+000,2.50972164598181E-001,0.00000000000000E+000,0.00000000000000E+000,7.10800956243532E+000,1.68687978848640E+000,0.00000000000000E+000,1.04097542982969E+003,1.03938695773123E+003,0.00000000000000E+000,0.00000000000000E+000,7.98716768011527E+003,9.74809034811795E+003,0.00000000000000E+000,1.08713732367408E+004,9.87795975318629E+003,1.56917246377696E+004,0.00000000000000E+000,0.00000000000000E+000,9.82562119763206E+003,5.00300238311150E+004,3.08223030058150E-002,5.55537700752835E-002,8.85353938437208E-004,0.00000000000000E+000,0.00000000000000E+000,6.84824477028540E-001,7.24758954001547E-002,1.05225894233870E+003,1.10943707212732E+003,1.00921170611799E+003,3.27206488886040E+004,6.10705175571958E+003,6.26119000076269E+003,4.96475133605598E+004,2.38510658771060E+003
