"001-time","PartNum","PartPosX","PartPosY","PartPosZ","PartVelX","PartVelY","PartVelZ","gamma","Element"
0.0000000000000000E+000,0.1000000000000000E+001,0.5000100000000000E-003,0.2500100000000000E-003,0.2500100000000000E-003,0.0000000000000000E+000,-.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+001,0.3000000000000000E+002
0.2000000000000000E-004,0.1000000000000000E+001,0.5000109625007743E-003,0.2500099526793446E-003,0.2500101547606539E-003,0.9625007744464921E-004,-.4732065544799428E-005,0.1547606539262773E-004,0.1000000000000000E+001,0.3000000000000000E+002
0.4000000000000000E-004,0.1000000000000000E+001,0.5000130828439215E-003,0.2500092894549058E-003,0.2500102011746162E-003,0.1157842372759005E-003,-.6159037833599797E-004,-.1083466916861392E-004,0.1000000000000000E+001,0.3000000000000000E+002
0.6000000000000001E-004,0.1000000000000000E+001,0.5000164205083995E-003,0.2500089700774728E-003,0.2500099698660848E-003,0.2179822105286735E-003,0.2965263503962359E-004,-.1229618396760834E-004,0.1000000000000000E+001,0.3000000000000000E+002
0.8000000000000001E-004,0.1000000000000000E+001,0.5000223902335468E-003,0.2500087703159818E-003,0.2500095486021643E-003,0.3789903041987540E-003,-.4962878413684777E-004,-.2983020808174408E-004,0.1000000000000000E+001,0.3000000000000000E+002
0.1000000000000000E-003,0.1000000000000000E+001,0.5000305123356042E-003,0.2500076326348782E-003,0.2500096985518836E-003,0.4332199015458527E-003,-.6413932622652835E-004,0.4482518001119236E-004,0.1000000000000000E+001,0.3000000000000000E+002
0.1200000000000000E-003,0.1000000000000000E+001,0.5000403711199089E-003,0.2500061207097233E-003,0.2500104834829725E-003,0.5526585289156639E-003,-.8705318925714340E-004,0.3366792887579623E-004,0.1000000000000000E+001,0.3000000000000000E+002
0.1400000000000000E-003,0.1000000000000000E+001,0.5000520572734765E-003,0.2500048850702081E-003,0.2500106660610725E-003,0.6159568278433168E-003,-.3651076227348702E-004,-.1541011888118210E-004,0.1000000000000000E+001,0.3000000000000000E+002
0.1600000000000000E-003,0.1000000000000000E+001,0.5000656815986614E-003,0.2500036288202178E-003,0.2500104686421738E-003,0.7464756906439748E-003,-.8911423675137029E-004,-.4331770984114875E-005,0.1000000000000000E+001,0.3000000000000000E+002
0.1800000000000000E-003,0.1000000000000000E+001,0.5000831490057916E-003,0.2500027361524533E-003,0.2500099832126933E-003,0.1000265022375723E-002,-.1525396962799687E-006,-.4421117706145755E-004,0.1000000000000000E+001,0.3000000000000000E+002
0.2000000000000000E-003,0.1000000000000000E+001,0.5001041875086430E-003,0.2500032039161787E-003,0.2500082596102776E-003,0.1103585262770217E-002,0.4692891223192253E-004,-.1281490645086375E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.2200000000000000E-003,0.1000000000000000E+001,0.5001286898765400E-003,0.2500035326630543E-003,0.2500060459940125E-003,0.1346651526933135E-002,-.1405422467156824E-004,-.9321256200639619E-004,0.1000000000000000E+001,0.3000000000000000E+002
0.2400000000000000E-003,0.1000000000000000E+001,0.5001568134218707E-003,0.2500027935020679E-003,0.2500039266757044E-003,0.1465703006147184E-002,-.5986187396787129E-004,-.1187192688032221E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.2600000000000000E-003,0.1000000000000000E+001,0.5001876905938503E-003,0.2500021478250649E-003,0.2500018233410317E-003,0.1622014191802595E-002,-.4705826334337153E-005,-.9161419846116255E-004,0.1000000000000000E+001,0.3000000000000000E+002
0.2800000000000000E-003,0.1000000000000000E+001,0.5002210868100972E-003,0.2500019419819688E-003,0.2499991220150635E-003,0.1717607432896791E-002,-.1587848327728433E-004,-.1785183983628090E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.3000000000000000E-003,0.1000000000000000E+001,0.5002559733882012E-003,0.2500029670881739E-003,0.2499955752089022E-003,0.1771050377504900E-002,0.1183891037858037E-003,-.1761622177645767E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.3200000000000000E-003,0.1000000000000000E+001,0.5002919620151203E-003,0.2500048928149830E-003,0.2499919404626327E-003,0.1827812314397084E-002,0.7418357713016261E-004,-.1873124091830196E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.3400000000000000E-003,0.1000000000000000E+001,0.5003291576465832E-003,0.2500068673561406E-003,0.2499873639881637E-003,0.1891750831895509E-002,0.1232705386296588E-003,-.2703350377202270E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.3600000000000000E-003,0.1000000000000000E+001,0.5003682967968605E-003,0.2500098620959724E-003,0.2499824476253031E-003,0.2022164195840399E-002,0.1762034445506166E-003,-.2213012483361365E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.3800000000000000E-003,0.1000000000000000E+001,0.5004092642228061E-003,0.2500137429936145E-003,0.2499784986089760E-003,0.2074578398729080E-002,0.2118863196595338E-003,-.1736003843814180E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.4000000000000000E-003,0.1000000000000000E+001,0.5004518098013427E-003,0.2500187084849095E-003,0.2499737491375747E-003,0.2179979454931545E-002,0.2846628098343292E-003,-.3013467557426791E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.4200000000000000E-003,0.1000000000000000E+001,0.5004973620267789E-003,0.2500243899055274E-003,0.2499681753569223E-003,0.2375243088696015E-002,0.2834792519530476E-003,-.2560313094970010E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.4400000000000000E-003,0.1000000000000000E+001,0.5005464554077032E-003,0.2500296990150749E-003,0.2499622373865672E-003,0.2534095003737926E-002,0.2474317027957778E-003,-.3377657260187102E-003,0.1000000000000000E+001,0.3000000000000000E+002
