001-TIME,002-Massflow-Spec-002-SF-001,003-ResolvedTimestep,004-Pmax,005-MeanFreePath,006-MaxMCSoverMFP,007-ResolvedCellPercentage
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.2000000000000000E-009,0.2064143189160000E-001,0.1000000000000000E+003,0.1309899153160410E-001,0.3598915747826396E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.4000000000000000E-009,0.2064143189160000E-001,0.1000000000000000E+003,0.1310482026158277E-001,0.3905550917547018E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.6000000000000000E-009,0.2064143189160000E-001,0.1000000000000000E+003,0.1310090387176721E-001,0.4142455551156663E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.8000000000000000E-009,0.2064143189159999E-001,0.1000000000000000E+003,0.1310624229600410E-001,0.4310216950799344E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.1000000000000000E-008,0.2064143189159999E-001,0.1000000000000000E+003,0.1310366094168225E-001,0.4455723742763141E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.1200000000000000E-008,0.2064109943715000E-001,0.1000000000000000E+003,0.1310550404706146E-001,0.4571120355058194E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.1400000000000000E-008,0.2064109943715000E-001,0.1000000000000000E+003,0.1310956385704487E-001,0.4688621470450973E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.1600000000000000E-008,0.2064109943715000E-001,0.1000000000000000E+003,0.1310765667760494E-001,0.4789228860133773E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.1800000000000000E-008,0.2064076698270001E-001,0.1000000000000000E+003,0.1310774463886211E-001,0.4878353802700800E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.2000000000000000E-008,0.2064076698269996E-001,0.1000000000000000E+003,0.1310830623174886E-001,0.4960331907399945E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.2200000000000000E-008,0.2064143189159998E-001,0.1000000000000000E+003,0.1310771339099748E-001,0.5031062339877921E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.2400000000000000E-008,0.2064076698269999E-001,0.1000000000000000E+003,0.1310925287574394E-001,0.5096468299933185E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.2600000000000001E-008,0.2063943716489999E-001,0.1000000000000000E+003,0.1310916400567752E-001,0.5158143435231841E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.2800000000000001E-008,0.2064109943714999E-001,0.1000000000000000E+003,0.1311132025847128E-001,0.5213876551020734E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.3000000000000001E-008,0.2064076698269999E-001,0.1000000000000000E+003,0.1310757186597378E-001,0.5266704929225479E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.3200000000000001E-008,0.2064076698269999E-001,0.1000000000000000E+003,0.1311601741766433E-001,0.5318558968113267E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.3400000000000001E-008,0.2064076698269999E-001,0.1000000000000000E+003,0.1311084957223430E-001,0.5405369337461078E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.3600000000000001E-008,0.2064043452824998E-001,0.1000000000000000E+003,0.1310691414002274E-001,0.5485796854354316E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.3800000000000001E-008,0.2064010207380003E-001,0.1000000000000000E+003,0.1311545291442784E-001,0.5558199354341909E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.4000000000000000E-008,0.2064010207380007E-001,0.1000000000000000E+003,0.1310823515027382E-001,0.5624164161649691E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.4200000000000000E-008,0.2064043452824998E-001,0.1000000000000000E+003,0.1310964423435579E-001,0.5685483355835171E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.4400000000000001E-008,0.2064043452824998E-001,0.1000000000000000E+003,0.1311022855653909E-001,0.5740407123682503E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.4600000000000001E-008,0.2064010207379998E-001,0.1000000000000000E+003,0.1310790492365166E-001,0.5790800545948098E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.4800000000000001E-008,0.2064010207379998E-001,0.1000000000000000E+003,0.1310749581765736E-001,0.5837566126378674E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.5000000000000001E-008,0.2063976961934998E-001,0.1000000000000000E+003,0.1310961278111222E-001,0.5879995416632483E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.5200000000000001E-008,0.2063943716489999E-001,0.1000000000000000E+003,0.1311096920855437E-001,0.5919795963694591E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.5400000000000001E-008,0.2063910471044998E-001,0.1000000000000000E+003,0.1310544172404426E-001,0.5957358171713194E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.5600000000000001E-008,0.2063943716489999E-001,0.1000000000000000E+003,0.1311182875688965E-001,0.5992018663690436E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.5800000000000001E-008,0.2064076698269999E-001,0.1000000000000000E+003,0.1311048145195581E-001,0.6023791663213223E-003,0.0000000000000000E+000,0.1000000000000000E+003
0.6000000000000000E-008,0.2063744243820015E-001,0.1000000000000000E+003,0.1310993168846297E-001,0.6053218140872069E-003,0.0000000000000000E+000,0.1000000000000000E+003
