001-TIME,002-Flux-Spec-002-BC_Xplus,003-TotalElectricCurrent-BC_Xplus
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.2000000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.4000000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.6000000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.8000000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-008,0.0000000000000000E+000,0.0000000000000000E+000
0.1200000000000000E-008,0.0000000000000000E+000,0.0000000000000000E+000
0.1400000000000000E-008,0.0000000000000000E+000,0.0000000000000000E+000
0.1600000000000000E-008,0.0000000000000000E+000,0.0000000000000000E+000
0.1800000000000000E-008,0.0000000000000000E+000,0.0000000000000000E+000
0.2000000000000000E-008,0.0000000000000000E+000,0.0000000000000000E+000
0.2200000000000000E-008,0.0000000000000000E+000,0.0000000000000000E+000
0.2400000000000000E-008,0.0000000000000000E+000,0.0000000000000000E+000
0.2600000000000001E-008,0.0000000000000000E+000,0.0000000000000000E+000
0.2800000000000001E-008,0.0000000000000000E+000,0.0000000000000000E+000
0.3000000000000001E-008,0.0000000000000000E+000,0.0000000000000000E+000
0.3200000000000001E-008,0.0000000000000000E+000,0.0000000000000000E+000
0.3400000000000001E-008,0.2254049999999999E+025,0.3611386007446498E+006
0.3600000000000001E-008,0.2522049999999998E+025,0.4040769317486497E+006
0.3800000000000001E-008,0.2523100000000003E+025,0.4042451602843006E+006
0.4000000000000000E-008,0.2535550000000009E+025,0.4062398700641514E+006
0.4200000000000000E-008,0.2548449999999998E+025,0.4083066777878497E+006
0.4400000000000001E-008,0.2535149999999998E+025,0.4061757830029497E+006
0.4600000000000001E-008,0.2541449999999999E+025,0.4071851542168497E+006
0.4800000000000001E-008,0.2552349999999998E+025,0.4089315266345497E+006
0.5000000000000001E-008,0.2543149999999998E+025,0.4074575242269497E+006
0.5200000000000001E-008,0.2549499999999998E+025,0.4084749063234997E+006
0.5400000000000001E-008,0.2547399999999998E+025,0.4081384492521997E+006
0.5600000000000001E-008,0.2555199999999998E+025,0.4093881469455998E+006
0.5800000000000001E-008,0.2546349999999998E+025,0.4079702207165497E+006
0.6000000000000000E-008,0.2562400000000020E+025,0.4105417140472031E+006
