001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-NumDens-Spec-005,007-NumDens-Spec-006,008-NumDens-Spec-007,009-TempTra-001,010-TempTra-002,011-TempTra-003,012-TempTra-004,013-TempTra-005,014-TempTra-006,015-TempTra-007
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+022,0.1000000000000000E+022,0.1000000000000000E+022,0.3000000000000001E+022,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.5002123174168338E+005,0.4989034755847335E+005,0.5003667777988960E+005,0.4998275236001545E+005
0.1000000000000000E-007,0.1271200000000000E+021,0.1020840000000000E+022,0.0000000000000000E+000,0.6946800000000001E+021,0.5859400000000001E+021,0.7460900000000001E+021,0.3174670000000000E+022,0.3981961042197449E+003,0.3998464871100009E+003,0.0000000000000000E+000,0.4338196197139670E+005,0.4026706373701260E+005,0.4487672125390718E+005,0.2761595239988800E+005
0.2000000000000000E-007,0.2305500000000000E+021,0.1809880000000000E+022,0.0000000000000000E+000,0.4601900000000001E+021,0.3084200000000001E+021,0.5384600000000001E+021,0.3347500000000000E+022,0.3969110100298585E+003,0.3996856200856541E+003,0.0000000000000000E+000,0.3517980263319832E+005,0.2721057570927298E+005,0.3868514668578549E+005,0.1380940225896836E+005
0.3000000000000001E-007,0.3111100000000001E+021,0.2385580000000000E+022,0.0000000000000000E+000,0.2876300000000000E+021,0.1564700000000000E+021,0.3750900000000001E+021,0.3515880000000000E+022,0.3993829044084167E+003,0.3994661178479716E+003,0.0000000000000000E+000,0.2569203427916445E+005,0.1649687561368292E+005,0.3086128261611458E+005,0.6434814282704109E+004
0.4000000000000000E-007,0.3727400000000001E+021,0.2773730000000000E+022,0.0000000000000000E+000,0.1773900000000000E+021,0.8329000000000002E+020,0.2533000000000000E+021,0.3660450000000000E+022,0.3996581709700998E+003,0.3995840817080892E+003,0.0000000000000000E+000,0.1803496807466042E+005,0.1047188280442825E+005,0.2366119827831781E+005,0.3093093628118487E+004
0.4999999999999999E-007,0.4144800000000001E+021,0.3024490000000000E+022,0.0000000000000000E+000,0.1116900000000000E+021,0.4848000000000001E+020,0.1692800000000000E+021,0.3768420000000000E+022,0.4008137803202740E+003,0.3996390165361670E+003,0.0000000000000000E+000,0.1293797913788182E+005,0.7093724463995345E+004,0.1765563242217509E+005,0.1632653900876477E+004
0.5999999999999998E-007,0.4413000000000001E+021,0.3181200000000001E+022,0.0000000000000000E+000,0.7286000000000001E+020,0.2980000000000000E+020,0.1152300000000000E+021,0.3840390000000001E+022,0.4012685232040021E+003,0.3996704242383378E+003,0.0000000000000000E+000,0.9553096663372226E+004,0.4972355642108432E+004,0.1339255835668297E+005,0.9988440427523342E+003
0.7000000000000000E-007,0.4582100000000001E+021,0.3276580000000000E+022,0.0000000000000000E+000,0.4903000000000001E+020,0.1959000000000000E+020,0.8187000000000002E+020,0.3885280000000001E+022,0.4013090258068119E+003,0.3997452673798477E+003,0.0000000000000000E+000,0.7307552325392694E+004,0.3756131268710152E+004,0.1061737403319223E+005,0.7193297448502771E+003
0.8000000000000003E-007,0.4701800000000001E+021,0.3340280000000000E+022,0.0000000000000000E+000,0.3444000000000000E+020,0.1368000000000000E+020,0.5842000000000001E+020,0.3917000000000000E+022,0.4012115020412264E+003,0.3997241200761860E+003,0.0000000000000000E+000,0.5789105587663402E+004,0.2963954255860763E+004,0.8468111153983240E+004,0.5765797426890044E+003
0.9000000000000005E-007,0.4777500000000001E+021,0.3383930000000000E+022,0.0000000000000000E+000,0.2502000000000000E+020,0.1000000000000000E+020,0.4244000000000001E+020,0.3939140000000001E+022,0.4011973152817063E+003,0.3998271710226177E+003,0.0000000000000000E+000,0.4668129550495668E+004,0.2379000061585255E+004,0.6774704139475412E+004,0.5008108932058755E+003
0.1000000000000001E-006,0.4828500000000001E+021,0.3411860000000000E+022,0.0000000000000000E+000,0.1887000000000000E+020,0.7430000000000001E+019,0.3212000000000000E+020,0.3953130000000001E+022,0.4014039772681572E+003,0.3997579664690588E+003,0.0000000000000000E+000,0.3844259373103487E+004,0.1909394712226439E+004,0.5568723334498319E+004,0.4612374236332840E+003
0.1100000000000001E-006,0.4864500000000001E+021,0.3431410000000001E+022,0.0000000000000000E+000,0.1456000000000000E+020,0.5770000000000001E+019,0.2499000000000000E+020,0.3963180000000001E+022,0.4014418999192146E+003,0.3997468561266348E+003,0.0000000000000000E+000,0.3281605418005850E+004,0.1557341648248126E+004,0.4717312558009070E+004,0.4394522703532016E+003
0.1200000000000001E-006,0.4891500000000001E+021,0.3446050000000001E+022,0.0000000000000000E+000,0.1131000000000000E+020,0.4590000000000001E+019,0.1965000000000000E+020,0.3970750000000001E+022,0.4015044925421046E+003,0.3997424842338584E+003,0.0000000000000000E+000,0.2791144410925649E+004,0.1310038800782844E+004,0.3982664357026727E+004,0.4255540606484406E+003
