001-TIME,002-NumDens-Spec-001,003-Massflow-Spec-001-SF-001,004-Pressure-Spec-001-SF-001,005-Massflow-Spec-001-SF-002,006-Pressure-Spec-001-SF-002
0.0000000000000000E+000,0.9996999999999984E+014,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-005,0.2232899999999997E+015,0.9900150464000000E-014,0.1911613955308723E-004,-.3347517600000000E-014,0.1289895067703631E-004
0.1999999999999999E-005,0.1976199999999997E+015,0.1023065140800001E-013,0.1324406489212103E-004,-.1159463199200001E-013,0.1281082287884521E-004
0.2999999999999998E-005,0.1779899999999997E+015,0.1001385979200001E-013,0.1214604504849317E-004,-.1105690376800001E-013,0.1206993529870744E-004
0.3999999999999997E-005,0.1698599999999998E+015,0.1001226573600001E-013,0.1138831651510841E-004,-.1044425491200001E-013,0.1194263545479275E-004
0.4999999999999996E-005,0.1672599999999998E+015,0.1001492249600001E-013,0.1127749439200720E-004,-.1015307401600001E-013,0.1143454054826359E-004
0.5999999999999995E-005,0.1635099999999998E+015,0.1000960897600001E-013,0.1124770642259910E-004,-.1020886597600001E-013,0.1105018744172228E-004
0.6999999999999994E-005,0.1600399999999998E+015,0.9996325176000012E-014,0.1085509129025526E-004,-.1018070432000001E-013,0.1076622537548791E-004
0.7999999999999996E-005,0.1579199999999998E+015,0.9996325175999977E-014,0.1066826912282799E-004,-.1010897179999998E-013,0.1108293695307871E-004
0.9000000000000004E-005,0.1558299999999998E+015,0.9995793823999927E-014,0.1072264485875992E-004,-.1010684639199993E-013,0.1053022420981207E-004
0.1000000000000000E-004,0.1542599999999998E+015,0.1001067168000003E-013,0.1049583513580046E-004,-.1009409394400003E-013,0.1061631972898535E-004
0.1010000000000000E-004,0.1541899999999998E+015,0.1009037447999993E-013,0.1049583513580046E-004,-.1012756911999993E-013,0.1061631972898535E-004
0.1020000000000000E-004,0.1546599999999998E+015,0.9936282399999928E-014,0.1056273236780765E-004,-.9686546959999928E-014,0.1048708805792486E-004
0.1030000000000000E-004,0.1550499999999998E+015,0.1003192576000027E-013,0.1049443105407686E-004,-.9824698480000261E-014,0.1046735504090436E-004
