001-TIME,002-PCoupled,003-PCoupledMoAv
0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000
4.58000000000000E-011,1.61327082148589E-013,1.61327082148589E-013
9.16000000000000E-011,1.29061682475966E-012,7.25971869668649E-013
1.37400000000000E-010,2.58123364951932E-012,1.34439235123824E-012
1.83200000000000E-010,3.87185047427898E-012,1.97625675632021E-012
2.29000000000000E-010,5.16246729903865E-012,2.61349873080714E-012
2.74800000000000E-010,6.45308412379831E-012,3.25342948999654E-012
3.20600000000000E-010,7.74370094855797E-012,3.89489669758735E-012
3.66400000000000E-010,9.03431777331763E-012,4.53732418542906E-012
4.12200000000000E-010,1.03249345980773E-011,5.18039186010468E-012
4.58000000000000E-010,1.16155514228370E-011,5.82390766556405E-012
5.03800000000000E-010,1.29061682475966E-011,6.46774938432069E-012
5.49600000000000E-010,1.41967850723563E-011,7.11183553805029E-012
5.95400000000000E-010,1.54874018971159E-011,7.75610971868215E-012
6.41200000000000E-010,1.67780187218756E-011,8.40053163473723E-012
6.87000000000000E-010,1.80686355466353E-011,9.04507173913088E-012
7.32800000000000E-010,1.93592523713949E-011,9.68970787154962E-012
7.78600000000000E-010,2.06498691961546E-011,1.03344230858714E-011
8.24400000000000E-010,2.19404860209142E-011,1.09792042017790E-011
8.70200000000000E-010,2.32311028456739E-011,1.16240408137589E-011
9.16000000000000E-010,2.45217196704336E-011,1.22689245974002E-011
9.61800000000000E-010,2.58123364951932E-011,1.29138488138942E-011
1.00760000000000E-009,2.71029533199529E-011,1.35588079496701E-011
1.05340000000000E-009,2.83935701447125E-011,1.42037974500388E-011
1.09920000000000E-009,2.96841869694722E-011,1.48488135194264E-011
1.14500000000000E-009,3.09748037942319E-011,1.54938529695505E-011
1.19080000000000E-009,3.22654206189915E-011,1.61389131026339E-011
1.23660000000000E-009,3.35560374437512E-011,1.67839916205699E-011
1.28240000000000E-009,3.48466542685109E-011,1.74290865535530E-011
1.32820000000000E-009,3.61372710932705E-011,1.80741962034748E-011
1.37400000000000E-009,3.74278879180302E-011,1.87193190986414E-011
1.41980000000000E-009,3.87185047427898E-011,1.93644539572549E-011
1.46560000000000E-009,4.00091215675495E-011,2.00095996577423E-011
1.51140000000000E-009,4.12997383923092E-011,2.06547552144786E-011
1.55720000000000E-009,4.25903552170688E-011,2.12999197577947E-011
1.60300000000000E-009,4.38809720418285E-011,2.19450925174125E-011
1.64880000000000E-009,4.51715888665881E-011,2.25902728086401E-011
1.69460000000000E-009,4.64622056913478E-011,2.32354600208064E-011
1.74040000000000E-009,4.77528225161075E-011,2.38806536075216E-011
1.78620000000000E-009,4.90434393408671E-011,2.45258530784357E-011
1.83200000000000E-009,5.03340561656268E-011,2.51710579922338E-011
1.87780000000000E-009,5.16246729903865E-011,2.58162679506562E-011
1.92360000000000E-009,5.29152898151461E-011,2.64614825933724E-011
1.96940000000000E-009,5.42059066399058E-011,2.71067015935714E-011
2.01520000000000E-009,5.54965234646654E-011,2.77519246541519E-011
2.06100000000000E-009,5.67871402894251E-011,2.83971515044220E-011
2.10680000000000E-009,5.80777571141848E-011,2.90423818972279E-011
2.15260000000000E-009,5.93683739389444E-011,2.96876156064504E-011
2.19840000000000E-009,6.06589907637041E-011,3.03328524248133E-011
2.24420000000000E-009,6.19496075884637E-011,3.09780921619612E-011
2.29000000000000E-009,6.32402244132234E-011,3.16233346427669E-011
2.33580000000000E-009,6.45308412379831E-011,3.22685797058389E-011
2.38160000000000E-009,6.58214580627427E-011,3.29138272022002E-011
2.42740000000000E-009,6.71120748875024E-011,3.35590769941175E-011
2.47320000000000E-009,6.84026917122621E-011,3.42043289540598E-011
2.51900000000000E-009,6.96933085370217E-011,3.48495829637714E-011
2.56480000000000E-009,7.09839253617814E-011,3.54948389134430E-011
2.61060000000000E-009,7.22745421865410E-011,3.61400967009715E-011
2.65640000000000E-009,7.35651590113007E-011,3.67853562312955E-011
2.70220000000000E-009,7.48557758360604E-011,3.74306174157981E-011
2.74800000000000E-009,7.61463926608200E-011,3.80758801717704E-011
2.79380000000000E-009,7.74370094855797E-011,3.87211444219271E-011
2.83960000000000E-009,7.87276263103393E-011,3.93664100939688E-011
2.88540000000000E-009,8.00182431350990E-011,4.00116771201869E-011
2.93120000000000E-009,8.13088599598587E-011,4.06569454371041E-011
2.97700000000000E-009,8.25994767846183E-011,4.13022149851500E-011
3.02280000000000E-009,8.38900936093780E-011,4.19474857083639E-011
3.06860000000000E-009,8.51807104341376E-011,4.25927575541265E-011
3.11440000000000E-009,8.64713272588973E-011,4.32380304729136E-011
3.16020000000000E-009,8.77619440836570E-011,4.38833044180720E-011
3.20600000000000E-009,8.90525609084166E-011,4.45285793456142E-011
3.25180000000000E-009,9.03431777331763E-011,4.51738552140311E-011
3.29760000000000E-009,9.16337945579360E-011,4.58191319841196E-011
3.34340000000000E-009,9.29244113826956E-011,4.64644096188248E-011
3.38920000000000E-009,9.42150282074553E-011,4.71096880830945E-011
3.43500000000000E-009,9.55056450322149E-011,4.77549673437462E-011
3.48080000000000E-009,9.67962618569746E-011,4.84002473693437E-011
3.52660000000000E-009,9.80868786817343E-011,4.90455281300841E-011
3.57240000000000E-009,9.93774955064939E-011,4.96908095976925E-011
3.61820000000000E-009,1.00668112331254E-010,5.03360917453258E-011
3.66400000000000E-009,1.01958729156013E-010,5.09813745474832E-011
3.70980000000000E-009,1.03249345980773E-010,5.16266579799230E-011
3.75560000000000E-009,1.04539962805533E-010,5.22719420195861E-011
3.80140000000000E-009,1.05830579630292E-010,5.29172266445246E-011
3.84720000000000E-009,1.07121196455052E-010,5.35625118338359E-011
3.89300000000000E-009,1.08411813279812E-010,5.42077975676009E-011
3.93880000000000E-009,1.09702430104571E-010,5.48530838268271E-011
3.98460000000000E-009,1.10993046929331E-010,5.54983705933951E-011
4.03040000000000E-009,1.12283663754091E-010,5.61436578500091E-011
4.07620000000000E-009,1.13574280578850E-010,5.67889455801508E-011
4.12200000000000E-009,1.14864897403610E-010,5.74342337680359E-011
4.16780000000000E-009,1.16155514228370E-010,5.80795223985739E-011
4.21360000000000E-009,1.17446131053129E-010,5.87248114573306E-011
4.25940000000000E-009,1.18736747877889E-010,5.93701009304923E-011
4.30520000000000E-009,1.20027364702648E-010,6.00153908048335E-011
4.35100000000000E-009,1.21317981527408E-010,6.06606810676853E-011
4.39680000000000E-009,1.22608598352168E-010,6.13059717069068E-011
4.44260000000000E-009,1.23899215176927E-010,6.19512627108575E-011
4.48840000000000E-009,1.25189832001687E-010,6.25965540683725E-011
4.53420000000000E-009,1.26480448826447E-010,6.32418457687375E-011
4.58000000000000E-009,1.27771065651206E-010,6.38871378016671E-011
4.62580000000000E-009,1.29061682475966E-010,6.45324301572832E-011
4.67160000000000E-009,1.30352299300726E-010,6.51777228260949E-011
4.71740000000000E-009,1.31642916125485E-010,6.58230157989801E-011
4.76320000000000E-009,1.32933532950245E-010,6.64683090671674E-011
4.80900000000000E-009,1.34224149775005E-010,6.71136026222196E-011
4.85480000000000E-009,1.35514766599764E-010,6.77588964560178E-011
4.90060000000000E-009,1.36805383424524E-010,6.84041905607469E-011
4.94640000000000E-009,1.38096000249284E-010,6.90494849288808E-011
4.99220000000000E-009,1.39386617074043E-010,6.96947795531700E-011
5.03800000000000E-009,1.40677233898803E-010,7.03400744266284E-011
5.08380000000000E-009,1.41967850723563E-010,7.09853695425217E-011
5.12960000000000E-009,1.43258467548322E-010,7.16306648943561E-011
5.17540000000000E-009,1.44549084373082E-010,7.22759604758676E-011
5.22120000000000E-009,1.45839701197842E-010,7.29212562810122E-011
5.26700000000000E-009,1.47130318022601E-010,7.35665523039559E-011
5.31280000000000E-009,1.48420934847361E-010,7.42118485390660E-011
5.35860000000000E-009,1.49711551672121E-010,7.48571449809024E-011
5.40440000000000E-009,1.51002168496880E-010,7.55024416242092E-011
5.45020000000000E-009,1.52292785321640E-010,7.61477384639075E-011
5.49600000000000E-009,1.53583402146400E-010,7.67930354950873E-011
5.54180000000000E-009,1.54874018971159E-010,7.74383327130012E-011
5.58760000000000E-009,1.56164635795919E-010,7.80836301130575E-011
5.63340000000000E-009,1.57455252620679E-010,7.87289276908136E-011
5.67920000000000E-009,1.58745869445438E-010,7.93742254419703E-011
5.72500000000000E-009,1.60036486270198E-010,8.00195233623660E-011
5.77080000000000E-009,1.61327103094958E-010,8.06648214479712E-011
5.81660000000000E-009,1.62617719919717E-010,8.13101196948834E-011
5.86240000000000E-009,1.63908336744477E-010,8.19554180993218E-011
5.90820000000000E-009,1.65198953569237E-010,8.26007166576232E-011
5.95400000000000E-009,1.66489570393996E-010,8.32460153662367E-011
5.99980000000000E-009,1.67780187218756E-010,8.38913142217202E-011
6.04560000000000E-009,1.69070804043516E-010,8.45366132207356E-011
6.09140000000000E-009,1.70361420868275E-010,8.51819123600455E-011
6.13720000000000E-009,1.71652037693035E-010,8.58272116365090E-011
6.18300000000000E-009,1.72942654517795E-010,8.64725110470780E-011
6.22880000000000E-009,1.74233271342554E-010,8.71178105887945E-011
6.27460000000000E-009,1.75523888167314E-010,8.77631102587866E-011
6.32040000000000E-009,1.76814504992074E-010,8.84084100542656E-011
6.36620000000000E-009,1.78105121816833E-010,8.90537099725233E-011
6.41200000000000E-009,1.79395738641593E-010,8.96990100109288E-011
6.45780000000000E-009,1.80686355466353E-010,9.03443101669255E-011
6.50360000000000E-009,1.81976972291112E-010,9.09896104380293E-011
6.54940000000000E-009,1.83267589115872E-010,9.16349108218252E-011
6.59520000000000E-009,1.84558205940632E-010,9.22802113159656E-011
6.64100000000000E-009,1.85848822765391E-010,9.29255119181674E-011
6.68680000000000E-009,1.87139439590151E-010,9.35708126262102E-011
6.73260000000000E-009,1.88430056414911E-010,9.42161134379340E-011
6.77840000000000E-009,1.89720673239670E-010,9.48614143512371E-011
6.82420000000000E-009,1.91011290064430E-010,9.55067153640744E-011
6.87000000000000E-009,1.92301906889190E-010,9.61520164744551E-011
6.91580000000000E-009,1.93592523713949E-010,9.67973176804413E-011
6.96160000000000E-009,1.94883140538709E-010,9.74426189801460E-011
7.00740000000000E-009,1.96173757363469E-010,9.80879203717317E-011
7.05320000000000E-009,1.97464374188228E-010,9.87332218534083E-011
7.09900000000000E-009,1.98754991012988E-010,9.93785234234323E-011
7.14480000000000E-009,2.00045607837747E-010,1.00023825080105E-010
7.19060000000000E-009,2.01336224662507E-010,1.00669126821770E-010
7.23640000000000E-009,2.02626841487267E-010,1.01314428646813E-010
7.28220000000000E-009,2.03917458312026E-010,1.01959730553663E-010
7.32800000000000E-009,2.05208075136786E-010,1.02605032540784E-010
7.37380000000000E-009,2.06498691961546E-010,1.03250334606682E-010
7.41960000000000E-009,2.07789308786305E-010,1.03895636749896E-010
7.46540000000000E-009,2.09079925611065E-010,1.04540938969005E-010
7.51120000000000E-009,2.10370542435825E-010,1.05186241262620E-010
7.55700000000000E-009,2.11661159260584E-010,1.05831543629386E-010
7.60280000000000E-009,2.12951776085344E-010,1.06476846067982E-010
7.64860000000000E-009,2.14242392910104E-010,1.07122148577116E-010
7.69440000000000E-009,2.15533009734863E-010,1.07767451155530E-010
7.74020000000000E-009,2.16823626559623E-010,1.08412753801993E-010
7.78600000000000E-009,2.18114243384383E-010,1.09058056515304E-010
7.83180000000000E-009,2.19404860209142E-010,1.09703359294292E-010
7.87760000000000E-009,2.20695477033902E-010,1.10348662137810E-010
7.92340000000000E-009,2.21986093858662E-010,1.10993965044739E-010
7.96920000000000E-009,2.23276710683421E-010,1.11639268013986E-010
8.01500000000000E-009,2.24567327508181E-010,1.12284571044483E-010
8.06080000000000E-009,2.25857944332941E-010,1.12929874135185E-010
8.10660000000000E-009,2.27148561157700E-010,1.13575177285073E-010
8.15240000000000E-009,2.28439177982460E-010,1.14220480493149E-010
8.19820000000000E-009,2.29729794807220E-010,1.14865783758436E-010
8.24400000000000E-009,2.31020411631979E-010,1.15511087079983E-010
8.28980000000000E-009,2.32311028456739E-010,1.16156390456857E-010
8.33560000000000E-009,2.33601645281499E-010,1.16801693888145E-010
8.38140000000000E-009,2.34892262106258E-010,1.17446997372955E-010
8.42720000000000E-009,2.36182878931018E-010,1.18092300910415E-010
8.47300000000000E-009,2.37473495755778E-010,1.18737604499672E-010
8.51880000000000E-009,2.38764112580537E-010,1.19382908139889E-010
8.56460000000000E-009,2.40054729405297E-010,1.20028211830249E-010
8.61040000000000E-009,2.41345346230057E-010,1.20673515569952E-010
8.65620000000000E-009,2.42635963054816E-010,1.21318819358214E-010
8.70200000000000E-009,2.43926579879576E-010,1.21964123194270E-010
8.74780000000000E-009,2.45217196704336E-010,1.22609427077368E-010
8.79360000000000E-009,2.46507813529095E-010,1.23254731006773E-010
8.83940000000000E-009,2.47798430353855E-010,1.23900034981766E-010
8.88520000000000E-009,2.49089047178615E-010,1.24545339001641E-010
8.93100000000000E-009,2.50379664003374E-010,1.25190643065708E-010
8.97680000000000E-009,2.51670280828134E-010,1.25835947173291E-010
9.02260000000000E-009,2.52960897652894E-010,1.26481251323727E-010
9.06840000000000E-009,2.54251514477653E-010,1.27126555516366E-010
9.11420000000000E-009,2.55542131302413E-010,1.27771859750573E-010
9.16000000000000E-009,2.56832748127173E-010,1.28417164025724E-010
9.20580000000000E-009,2.58123364951932E-010,1.29062468341207E-010
9.25160000000000E-009,2.59413981776692E-010,1.29707772696424E-010
9.29740000000000E-009,2.60704598601452E-010,1.30353077090788E-010
9.34320000000000E-009,2.61995215426211E-010,1.30998381523723E-010
9.38900000000000E-009,2.63285832250971E-010,1.31643685994664E-010
9.43480000000000E-009,2.64576449075731E-010,1.32288990503058E-010
9.48060000000000E-009,2.65867065900490E-010,1.32934295048362E-010
9.52640000000000E-009,2.67157682725250E-010,1.33579599630044E-010
9.57220000000000E-009,2.68448299550010E-010,1.34224904247582E-010
9.61800000000000E-009,2.69738916374769E-010,1.34870208900463E-010
9.66380000000000E-009,2.71029533199529E-010,1.35515513588185E-010
9.70960000000000E-009,2.72320150024289E-010,1.36160818310255E-010
9.75540000000000E-009,2.73610766849048E-010,1.36806123066188E-010
9.80120000000000E-009,2.74901383673808E-010,1.37451427855512E-010
9.84700000000000E-009,2.76192000498568E-010,1.38096732677758E-010
9.89280000000000E-009,2.77482617323327E-010,1.38742037532471E-010
9.93860000000000E-009,2.78773234148087E-010,1.39387342419202E-010
9.98440000000000E-009,2.80063850972846E-010,1.40032647337509E-010
1.00302000000000E-008,2.81354467797606E-010,1.40677952286960E-010
1.00760000000000E-008,2.82645084622366E-010,1.41323257267131E-010
1.01218000000000E-008,2.83935701447125E-010,1.41968562277604E-010
1.01676000000000E-008,2.85226318271885E-010,1.42613867317970E-010
1.02134000000000E-008,2.86516935096645E-010,1.43259172387827E-010
1.02592000000000E-008,2.87807551921404E-010,1.43904477486780E-010
1.03050000000000E-008,2.89098168746164E-010,1.44549782614441E-010
1.03508000000000E-008,2.90388785570924E-010,1.45195087770429E-010
1.03966000000000E-008,2.91679402395683E-010,1.45840392954369E-010
1.04424000000000E-008,2.92970019220443E-010,1.46485698165894E-010
1.04882000000000E-008,2.94260636045203E-010,1.47131003404642E-010
1.05340000000000E-008,2.95551252869962E-010,1.47776308670259E-010
1.05798000000000E-008,2.96841869694722E-010,1.48421613962394E-010
1.06256000000000E-008,2.98132486519482E-010,1.49066919280707E-010
1.06714000000000E-008,2.99423103344241E-010,1.49712224624858E-010
1.07172000000000E-008,3.00713720169001E-010,1.50357529994518E-010
1.07630000000000E-008,3.02004336993761E-010,1.51002835389360E-010
1.08088000000000E-008,3.03294953818520E-010,1.51648140809064E-010
1.08546000000000E-008,3.04585570643280E-010,1.52293446253316E-010
1.09004000000000E-008,3.05876187468040E-010,1.52938751721806E-010
1.09462000000000E-008,3.07166804292799E-010,1.53584057214230E-010
1.09920000000000E-008,3.08457421117559E-010,1.54229362730289E-010
1.10378000000000E-008,3.09748037942319E-010,1.54874668269688E-010
1.10836000000000E-008,3.11038654767078E-010,1.55519973832139E-010
1.11294000000000E-008,3.12329271591838E-010,1.56165279417356E-010
1.11752000000000E-008,3.13619888416598E-010,1.56810585025060E-010
1.12210000000000E-008,3.14910505241357E-010,1.57455890654975E-010
1.12668000000000E-008,3.16201122066117E-010,1.58101196306831E-010
1.13126000000000E-008,3.17491738890877E-010,1.58746501980361E-010
1.13584000000000E-008,3.18782355715636E-010,1.59391807675303E-010
1.14042000000000E-008,3.20072972540396E-010,1.60037113391398E-010
1.14500000000000E-008,3.21363589365156E-010,1.60682419128394E-010
1.14958000000000E-008,3.22654206189915E-010,1.61327724886039E-010
1.15416000000000E-008,3.23944823014675E-010,1.61973030664089E-010
1.15874000000000E-008,3.25235439839435E-010,1.62618336462302E-010
1.16332000000000E-008,3.26526056664194E-010,1.63263642280439E-010
1.16790000000000E-008,3.27816673488954E-010,1.63908948118265E-010
1.17248000000000E-008,3.29107290313714E-010,1.64554253975551E-010
1.17706000000000E-008,3.30397907138473E-010,1.65199559852069E-010
1.18164000000000E-008,3.31688523963233E-010,1.65844865747595E-010
1.18622000000000E-008,3.32979140787993E-010,1.66490171661909E-010
1.19080000000000E-008,3.34269757612752E-010,1.67135477594795E-010
1.19538000000000E-008,3.35560374437512E-010,1.67780783546038E-010
1.19996000000000E-008,3.36850991262272E-010,1.68426089515430E-010
1.20454000000000E-008,3.38141608087031E-010,1.69071395502762E-010
1.20912000000000E-008,3.39432224911791E-010,1.69716701507831E-010
1.21370000000000E-008,3.40722841736551E-010,1.70362007530436E-010
1.21828000000000E-008,3.42013458561310E-010,1.71007313570379E-010
1.22286000000000E-008,3.43304075386070E-010,1.71652619627466E-010
1.22744000000000E-008,3.44594692210830E-010,1.72297925701504E-010
1.23202000000000E-008,3.45885309035589E-010,1.72943231792305E-010
1.23660000000000E-008,3.47175925860349E-010,1.73588537899682E-010
1.24118000000000E-008,3.48466542685109E-010,1.74233844023452E-010
1.24576000000000E-008,3.49757159509868E-010,1.74879150163434E-010
1.25034000000000E-008,3.51047776334628E-010,1.75524456319449E-010
1.25492000000000E-008,3.52338393159388E-010,1.76169762491323E-010
1.25950000000000E-008,3.53629009984147E-010,1.76815068678882E-010
1.26408000000000E-008,3.54919626808907E-010,1.77460374881956E-010
1.26866000000000E-008,3.56210243633666E-010,1.78105681100377E-010
1.27324000000000E-008,3.57500860458426E-010,1.78750987333979E-010
1.27782000000000E-008,3.58791477283186E-010,1.79396293582598E-010
1.28240000000000E-008,3.60082094107945E-010,1.80041599846075E-010
1.28698000000000E-008,3.61372710932705E-010,1.80686906124250E-010
1.29156000000000E-008,3.62663327757465E-010,1.81332212416967E-010
1.29614000000000E-008,3.63953944582224E-010,1.81977518724071E-010
1.30072000000000E-008,3.65244561406984E-010,1.82622825045412E-010
1.30530000000000E-008,3.66535178231744E-010,1.83268131380839E-010
1.30988000000000E-008,3.67825795056503E-010,1.83913437730204E-010
1.31446000000000E-008,3.69116411881263E-010,1.84558744093361E-010
1.31904000000000E-008,3.70407028706023E-010,1.85204050470167E-010
1.32362000000000E-008,3.71697645530782E-010,1.85849356860481E-010
1.32820000000000E-008,3.72988262355542E-010,1.86494663264162E-010
1.33278000000000E-008,3.74278879180302E-010,1.87139969681073E-010
1.33736000000000E-008,3.75569496005061E-010,1.87785276111077E-010
1.34194000000000E-008,3.76860112829821E-010,1.88430582554041E-010
1.34652000000000E-008,3.78150729654581E-010,1.89075889009833E-010
1.35110000000000E-008,3.79441346479340E-010,1.89721195478321E-010
1.35568000000000E-008,3.80731963304100E-010,1.90366501959378E-010
1.36026000000000E-008,3.82022580128860E-010,1.91011808452876E-010
1.36484000000000E-008,3.83313196953619E-010,1.91657114958690E-010
1.36942000000000E-008,3.84603813778379E-010,1.92302421476697E-010
1.37400000000000E-008,3.85894430603139E-010,1.92947728006775E-010
1.37858000000000E-008,3.87185047427898E-010,1.93593034548802E-010
1.38316000000000E-008,3.88475664252658E-010,1.94238341102661E-010
1.38774000000000E-008,3.89766281077418E-010,1.94883647668235E-010
1.39232000000000E-008,3.91056897902177E-010,1.95528954245408E-010
1.39690000000000E-008,3.92347514726937E-010,1.96174260834065E-010
1.40148000000000E-008,3.93638131551697E-010,1.96819567434094E-010
1.40606000000000E-008,3.94928748376456E-010,1.97464874045385E-010
1.41064000000000E-008,3.96219365201216E-010,1.98110180667827E-010
1.41522000000000E-008,3.97509982025976E-010,1.98755487301312E-010
1.41980000000000E-008,3.98800598850735E-010,1.99400793945733E-010
1.42438000000000E-008,4.00091215675495E-010,2.00046100600984E-010
1.42896000000000E-008,4.01381832500255E-010,2.00691407266963E-010
1.43354000000000E-008,4.02672449325014E-010,2.01336713943565E-010
1.43812000000000E-008,4.03963066149774E-010,2.01982020630689E-010
1.44270000000000E-008,4.05253682974534E-010,2.02627327328236E-010
1.44728000000000E-008,4.06544299799293E-010,2.03272634036105E-010
1.45186000000000E-008,4.07834916624053E-010,2.03917940754200E-010
1.45644000000000E-008,4.09125533448813E-010,2.04563247482424E-010
1.46102000000000E-008,4.10416150273572E-010,2.05208554220682E-010
1.46560000000000E-008,4.11706767098332E-010,2.05853860968879E-010
1.47018000000000E-008,4.12997383923092E-010,2.06499167726923E-010
1.47476000000000E-008,4.14288000747851E-010,2.07144474494722E-010
1.47934000000000E-008,4.15578617572611E-010,2.07789781272185E-010
1.48392000000000E-008,4.16869234397371E-010,2.08435088059223E-010
1.48850000000000E-008,4.18159851222130E-010,2.09080394855748E-010
1.49308000000000E-008,4.19450468046890E-010,2.09725701661672E-010
1.49766000000000E-008,4.20741084871650E-010,2.10371008476909E-010
1.50224000000000E-008,4.22031701696409E-010,2.11016315301374E-010
1.50682000000000E-008,4.23322318521169E-010,2.11661622134982E-010
1.51140000000000E-008,4.24612935345929E-010,2.12306928977651E-010
1.51598000000000E-008,4.25903552170688E-010,2.12952235829298E-010
1.52056000000000E-008,4.27194168995448E-010,2.13597542689843E-010
1.52514000000000E-008,4.28484785820208E-010,2.14242849559205E-010
1.52972000000000E-008,4.29775402644968E-010,2.14888156437304E-010
1.53430000000000E-008,4.31066019469727E-010,2.15533463324064E-010
1.53888000000000E-008,4.32356636294487E-010,2.16178770219405E-010
1.54346000000000E-008,4.33647253119247E-010,2.16824077123253E-010
1.54804000000000E-008,4.34937869944006E-010,2.17469384035531E-010
1.55262000000000E-008,4.36228486768766E-010,2.18114690956165E-010
1.55720000000000E-008,4.37519103593526E-010,2.18759997885082E-010
1.56178000000000E-008,4.38809720418285E-010,2.19405304822207E-010
1.56636000000000E-008,4.40100337243045E-010,2.20050611767470E-010
