001-TIME,002-PCoupled,003-PCoupledMoAv
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.4916420000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000
0.9832840000000000E-010,-.1385500113721424E-011,-.6927500568607120E-012
0.1474926000000000E-009,-.2770902980191012E-011,-.1385467697970812E-011
0.1966568000000000E-009,-.4156111352156928E-011,-.2078128611517341E-011
0.2458210000000000E-009,-.5541027982359502E-011,-.2770708485685774E-011
0.2949852000000000E-009,-.6925555993304825E-011,-.3463183070288949E-011
0.3441494000000000E-009,-.8309597767975299E-011,-.4155528027101285E-011
0.3933136000000000E-009,-.9693055689376829E-011,-.4847718984885727E-011
0.4424778000000000E-009,-.1107583398927362E-010,-.5539731763151049E-011
0.4916420000000000E-009,-.1245783431114006E-010,-.6231542017949951E-011
0.5408061999999999E-009,-.1383896088677952E-010,-.6923125551479912E-011
0.5899703999999999E-009,-.1521911535962721E-010,-.7614458035492187E-011
0.6391345999999999E-009,-.1659820196148651E-010,-.8305515260568676E-011
0.6882987999999998E-009,-.1797612344512910E-010,-.8996272988037279E-011
0.7374629999999998E-009,-.1935278330277981E-010,-.9686707009020114E-011
0.7866271999999997E-009,-.2072808465697608E-010,-.1037679311201736E-010
0.8357913999999997E-009,-.2210193099998192E-010,-.1106650710542704E-010
0.8849555999999996E-009,-.2347422619381930E-010,-.1175582483255995E-010
0.9341197999999996E-009,-.2484487373076789E-010,-.1244472214299194E-010
0.9832839999999996E-009,-.2621377710308390E-010,-.1313317489099654E-010
0.1032448200000000E-008,-.2758084091233645E-010,-.1382115898725083E-010
0.1081612399999999E-008,-.2894596828101597E-010,-.1450865031878561E-010
0.1130776599999999E-008,-.3030906455020747E-010,-.1519562485058656E-010
0.1179940799999999E-008,-.3167003284242487E-010,-.1588205851691316E-010
0.1229104999999999E-008,-.3302877849874534E-010,-.1656792731618644E-010
0.1278269199999999E-008,-.3438520538116732E-010,-.1725320724176263E-010
0.1327433399999999E-008,-.3573921957033085E-010,-.1793787436504294E-010
0.1376597599999999E-008,-.3709072455849212E-010,-.1862190472909470E-010
0.1425761799999999E-008,-.3843962642622847E-010,-.1930527444278896E-010
0.1474925999999999E-008,-.3978582977513256E-010,-.1998795962053375E-010
0.1524090199999999E-008,-.4112924142528192E-010,-.2066993645294498E-010
0.1573254399999999E-008,-.4246976486898759E-010,-.2135118109094632E-010
0.1622418599999999E-008,-.4380730877514809E-010,-.2203166980864940E-010
0.1671582799999999E-008,-.4514177663604312E-010,-.2271137883298451E-010
0.1720746999999999E-008,-.4647307675084460E-010,-.2339028448778052E-010
0.1769911199999999E-008,-.4780111446062186E-010,-.2406836309813722E-010
0.1819075399999999E-008,-.4912579695525739E-010,-.2474559104022155E-010
0.1868239599999999E-008,-.5044703142464150E-010,-.2542194473454839E-010
0.1917403799999999E-008,-.5176472542841459E-010,-.2609740064977573E-010
0.1966567999999999E-008,-.5307878541694329E-010,-.2677193526895492E-010
0.2015732199999999E-008,-.5438912005914179E-010,-.2744552514188631E-010
0.2064896399999999E-008,-.5569563691465834E-010,-.2811814685076184E-010
0.2114060599999999E-008,-.5699824465243845E-010,-.2878977703219618E-010
0.2163224799999999E-008,-.5829685157163839E-010,-.2946039236263804E-010
0.2212388999999998E-008,-.5959136671093030E-010,-.3012996957037787E-010
0.2261553199999998E-008,-.6088169910904114E-010,-.3079848542991403E-010
0.2310717399999998E-008,-.6216775780464300E-010,-.3146591675703593E-010
0.2359881599999998E-008,-.6344945368522118E-010,-.3213224044303979E-010
0.2409045799999998E-008,-.6472669578947913E-010,-.3279743340929366E-010
0.2458209999999998E-008,-.6599939426539409E-010,-.3346147262641566E-010
0.2507374199999998E-008,-.6726746037021709E-010,-.3412433513119608E-010
0.2556538399999998E-008,-.6853080499145691E-010,-.3478599801312417E-010
0.2605702599999998E-008,-.6978934012587258E-010,-.3544643843034584E-010
0.2654866799999998E-008,-.7104297555170697E-010,-.3610563356222290E-010
0.2704030999999998E-008,-.7229162548429015E-010,-.3676356068807867E-010
0.2753195199999998E-008,-.7353520044135732E-010,-.3742019711224436E-010
0.2802359399999998E-008,-.7477361463827777E-010,-.3807552022673618E-010
0.2851523599999998E-008,-.7600678007180273E-010,-.3872950746544422E-010
0.2900687799999998E-008,-.7723461058755142E-010,-.3938213633192062E-010
0.2949851999999998E-008,-.7845702040085393E-010,-.4003338439973617E-010
0.2999016199999998E-008,-.7967392298755590E-010,-.4068322929461846E-010
0.3048180399999998E-008,-.8088523330251113E-010,-.4133164871410060E-010
0.3097344599999998E-008,-.8209086630058910E-010,-.4197862042182265E-010
0.3146508799999998E-008,-.8329073730645644E-010,-.4262412224814504E-010
0.3195672999999998E-008,-.8448476201447495E-010,-.4326813209070397E-010
0.3244837199999998E-008,-.8567285722834295E-010,-.4391062792612274E-010
0.3294001399999998E-008,-.8685493901221939E-010,-.4455158779307941E-010
0.3343165599999998E-008,-.8803092416977120E-010,-.4519098979861900E-010
0.3392329799999997E-008,-.8920073061396268E-010,-.4582881212927615E-010
0.3441493999999997E-008,-.9036427551825788E-010,-.4646503303483304E-010
0.3490658199999997E-008,-.9152147901416078E-010,-.4709963086552779E-010
0.3539822399999997E-008,-.9267225753561176E-010,-.4773258401372340E-010
0.3588986599999997E-008,-.9381653195366201E-010,-.4836387097180475E-010
0.3638150799999997E-008,-.9495422166030749E-010,-.4899347030543317E-010
0.3687314999999997E-008,-.9608524604757551E-010,-.4962136064866174E-010
0.3736479199999998E-008,-.9720952635627519E-010,-.5024752072376191E-010
0.3785643399999998E-008,-.9832698382722347E-010,-.5087192933549517E-010
0.3834807599999998E-008,-.9943753933148720E-010,-.5149456536108481E-010
0.3883971799999999E-008,-.1005411159586730E-009,-.5211540777371251E-010
0.3933135999999999E-008,-.1016376356891293E-009,-.5273443562265521E-010
0.3982300199999999E-008,-.1027270212427244E-009,-.5335162803771778E-010
0.4031464400000000E-008,-.1038091964485964E-009,-.5396696423785044E-010
0.4080628600000000E-008,-.1048840855056570E-009,-.5458042353023365E-010
0.4129792800000001E-008,-.1059516126128179E-009,-.5519198530502632E-010
0.4178957000000001E-008,-.1070117034480343E-009,-.5580162904788523E-010
0.4228121200000001E-008,-.1080642829497299E-009,-.5640933432581365E-010
0.4277285400000002E-008,-.1091092775353835E-009,-.5701508079948686E-010
0.4326449600000002E-008,-.1101466139922397E-009,-.5761884822213177E-010
0.4375613800000002E-008,-.1111762194772973E-009,-.5822061643848194E-010
0.4424778000000003E-008,-.1121980215173206E-009,-.5882036538380236E-010
0.4473942200000003E-008,-.1132119483785742E-009,-.5941807508704161E-010
0.4523106400000004E-008,-.1142179290668895E-009,-.6001372567377908E-010
0.4572270600000004E-008,-.1152158929578244E-009,-.6060729736500537E-010
0.4621434800000004E-008,-.1162057697967067E-009,-.6119877047598091E-010
0.4670599000000005E-008,-.1171874908079270E-009,-.6178812542684349E-010
0.4719763200000005E-008,-.1181609864763093E-009,-.6237534272944210E-010
0.4768927400000005E-008,-.1191261880262519E-009,-.6296040299023395E-010
0.4818091600000006E-008,-.1200830292704592E-009,-.6354328693186889E-010
0.4867255800000006E-008,-.1210314410635363E-009,-.6412397535744129E-010
0.4916420000000006E-008,-.1219713583274806E-009,-.6470244918714168E-010
0.4965584200000007E-008,-.1229027145052266E-009,-.6527868943781580E-010
0.5014748400000007E-008,-.1238254445187794E-009,-.6585267723272720E-010
0.5063912600000008E-008,-.1247394832901091E-009,-.6642439379639110E-010
0.5113076800000008E-008,-.1256447668505143E-009,-.6699382046037304E-010
0.5162241000000008E-008,-.1265412316010005E-009,-.6756093866171236E-010
0.5211405200000009E-008,-.1274288150519177E-009,-.6812572994841241E-010
0.5260569400000009E-008,-.1283074536042794E-009,-.6868817596388779E-010
0.5309733600000009E-008,-.1291770869869909E-009,-.6924825847336096E-010
0.5358897800000010E-008,-.1300376541893985E-009,-.6980595935148974E-010
0.5408062000000010E-008,-.1308890938311181E-009,-.7036126057403182E-010
0.5457226200000011E-008,-.1317313467503289E-009,-.7091414423327772E-010
0.5506390400000011E-008,-.1325643534154245E-009,-.7146459252954688E-010
0.5555554600000011E-008,-.1333880557738735E-009,-.7201258777949667E-010
0.5604718800000012E-008,-.1342023965126565E-009,-.7255811241750684E-010
0.5653883000000012E-008,-.1350073172094605E-009,-.7310114898091513E-010
0.5703047200000012E-008,-.1358027624000793E-009,-.7364168013108033E-010
0.5752211400000013E-008,-.1365886755110169E-009,-.7417968863860115E-010
0.5801375600000013E-008,-.1373650025570988E-009,-.7471515740062232E-010
0.5850539800000014E-008,-.1381316877043489E-009,-.7524806941998136E-010
0.5899704000000014E-008,-.1388886777071398E-009,-.7577840782237434E-010
0.5948868200000014E-008,-.1396359200593246E-009,-.7630615585739045E-010
0.5998032400000015E-008,-.1403733607757522E-009,-.7683129688131145E-010
0.6047196600000015E-008,-.1411009499386321E-009,-.7735381438584249E-010
0.6096360800000015E-008,-.1418186354115913E-009,-.7787369197475982E-010
