001-TIME,002-PCoupled,003-PCoupledMoAv
0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000
4.58000000000000E-011,1.29061682475966E-012,6.45308328594354E-013
9.16000000000000E-011,2.58123364951932E-012,1.29061665718871E-012
1.37400000000000E-010,3.87185047427898E-012,1.93592498578306E-012
1.83200000000000E-010,5.16246729903865E-012,2.58123331437742E-012
2.29000000000000E-010,6.45308412379831E-012,3.22654164297177E-012
2.74800000000000E-010,7.74370094855797E-012,3.87184997156613E-012
3.20600000000000E-010,9.03431777331763E-012,4.51715830016048E-012
3.66400000000000E-010,1.03249345980773E-011,5.16246662875484E-012
4.12200000000000E-010,1.16155514228370E-011,5.80777495734919E-012
4.58000000000000E-010,1.29061682475966E-011,6.45308328594355E-012
5.03800000000000E-010,1.41967850723563E-011,7.09839161453790E-012
5.49600000000000E-010,1.54874018971159E-011,7.74369994313226E-012
5.95400000000000E-010,1.67780187218756E-011,8.38900827172662E-012
6.41200000000000E-010,1.80686355466353E-011,9.03431660032097E-012
6.87000000000000E-010,1.93592523713949E-011,9.67962492891533E-012
7.32800000000000E-010,2.06498691961546E-011,1.03249332575097E-011
7.78600000000000E-010,2.19404860209142E-011,1.09702415861040E-011
8.24400000000000E-010,2.32311028456739E-011,1.16155499146984E-011
8.70200000000000E-010,2.45217196704336E-011,1.22608582432928E-011
9.16000000000000E-010,2.58123364951932E-011,1.29061665718871E-011
9.61800000000000E-010,2.71029533199529E-011,1.35514749004815E-011
1.00760000000000E-009,2.83935701447125E-011,1.41967832290758E-011
1.05340000000000E-009,2.96841869694722E-011,1.48420915576702E-011
1.09920000000000E-009,3.09748037942319E-011,1.54873998862645E-011
1.14500000000000E-009,3.22654206189915E-011,1.61327082148589E-011
1.19080000000000E-009,3.35560374437512E-011,1.67780165434533E-011
1.23660000000000E-009,3.48466542685109E-011,1.74233248720476E-011
1.28240000000000E-009,3.61372710932705E-011,1.80686332006420E-011
1.32820000000000E-009,3.74278879180302E-011,1.87139415292364E-011
1.37400000000000E-009,3.87185047427898E-011,1.93592498578308E-011
1.41980000000000E-009,4.00091215675495E-011,2.00045581864251E-011
1.46560000000000E-009,4.12997383923092E-011,2.06498665150195E-011
1.51140000000000E-009,4.25903552170688E-011,2.12951748436139E-011
1.55720000000000E-009,4.38809720418285E-011,2.19404831722082E-011
1.60300000000000E-009,4.51715888665881E-011,2.25857915008026E-011
1.64880000000000E-009,4.64622056913478E-011,2.32310998293970E-011
1.69460000000000E-009,4.77528225161075E-011,2.38764081579914E-011
1.74040000000000E-009,4.90434393408671E-011,2.45217164865857E-011
1.78620000000000E-009,5.03340561656268E-011,2.51670248151801E-011
1.83200000000000E-009,5.16246729903865E-011,2.58123331437745E-011
1.87780000000000E-009,5.29152898151461E-011,2.64576414723689E-011
1.92360000000000E-009,5.42059066399058E-011,2.71029498009632E-011
1.96940000000000E-009,5.54965234646654E-011,2.77482581295576E-011
2.01520000000000E-009,5.67871402894251E-011,2.83935664581520E-011
2.06100000000000E-009,5.80777571141848E-011,2.90388747867464E-011
2.10680000000000E-009,5.93683739389444E-011,2.96841831153408E-011
2.15260000000000E-009,6.06589907637041E-011,3.03294914439352E-011
2.19840000000000E-009,6.19496075884637E-011,3.09747997725295E-011
2.24420000000000E-009,6.32402244132234E-011,3.16201081011239E-011
2.29000000000000E-009,6.45308412379831E-011,3.22654164297183E-011
2.33580000000000E-009,6.58214580627427E-011,3.29107247583127E-011
2.38160000000000E-009,6.71120748875024E-011,3.35560330869071E-011
2.42740000000000E-009,6.84026917122621E-011,3.42013414155015E-011
2.47320000000000E-009,6.96933085370217E-011,3.48466497440959E-011
2.51900000000000E-009,7.09839253617814E-011,3.54919580726902E-011
2.56480000000000E-009,7.22745421865410E-011,3.61372664012846E-011
2.61060000000000E-009,7.35651590113007E-011,3.67825747298790E-011
2.65640000000000E-009,7.48557758360604E-011,3.74278830584734E-011
2.70220000000000E-009,7.61463926608200E-011,3.80731913870678E-011
2.74800000000000E-009,7.74370094855797E-011,3.87184997156623E-011
2.79380000000000E-009,7.87276263103393E-011,3.93638080442567E-011
2.83960000000000E-009,8.00182431350990E-011,4.00091163728511E-011
2.88540000000000E-009,8.13088599598587E-011,4.06544247014455E-011
2.93120000000000E-009,8.25994767846183E-011,4.12997330300399E-011
2.97700000000000E-009,8.38900936093780E-011,4.19450413586343E-011
3.02280000000000E-009,8.51807104341376E-011,4.25903496872288E-011
3.06860000000000E-009,8.64713272588973E-011,4.32356580158232E-011
3.11440000000000E-009,8.77619440836570E-011,4.38809663444176E-011
3.16020000000000E-009,8.90525609084166E-011,4.45262746730121E-011
3.20600000000000E-009,9.03431777331763E-011,4.51715830016065E-011
3.25180000000000E-009,9.16337945579360E-011,4.58168913302009E-011
3.29760000000000E-009,9.29244113826956E-011,4.64621996587953E-011
3.34340000000000E-009,9.42150282074553E-011,4.71075079873898E-011
3.38920000000000E-009,9.55056450322149E-011,4.77528163159842E-011
3.43500000000000E-009,9.67962618569746E-011,4.83981246445786E-011
3.48080000000000E-009,9.80868786817343E-011,4.90434329731731E-011
3.52660000000000E-009,9.93774955064939E-011,4.96887413017675E-011
3.57240000000000E-009,1.00668112331254E-010,5.03340496303619E-011
3.61820000000000E-009,1.01958729156013E-010,5.09793579589564E-011
3.66400000000000E-009,1.03249345980773E-010,5.16246662875508E-011
3.70980000000000E-009,1.04539962805533E-010,5.22699746161453E-011
3.75560000000000E-009,1.05830579630292E-010,5.29152829447397E-011
3.80140000000000E-009,1.07121196455052E-010,5.35605912733341E-011
3.84720000000000E-009,1.08411813279812E-010,5.42058996019286E-011
3.89300000000000E-009,1.09702430104571E-010,5.48512079305231E-011
3.93880000000000E-009,1.10993046929331E-010,5.54965162591175E-011
3.98460000000000E-009,1.12283663754091E-010,5.61418245877120E-011
4.03040000000000E-009,1.13574280578850E-010,5.67871329163064E-011
4.07620000000000E-009,1.14864897403610E-010,5.74324412449009E-011
4.12200000000000E-009,1.16155514228370E-010,5.80777495734954E-011
4.16780000000000E-009,1.17446131053129E-010,5.87230579020898E-011
4.21360000000000E-009,1.18736747877889E-010,5.93683662306843E-011
4.25940000000000E-009,1.20027364702648E-010,6.00136745592788E-011
4.30520000000000E-009,1.21317981527408E-010,6.06589828878733E-011
4.35100000000000E-009,1.22608598352168E-010,6.13042912164677E-011
4.39680000000000E-009,1.23899215176927E-010,6.19495995450622E-011
4.44260000000000E-009,1.25189832001687E-010,6.25949078736567E-011
4.48840000000000E-009,1.26480448826447E-010,6.32402162022511E-011
4.53420000000000E-009,1.27771065651206E-010,6.38855245308456E-011
4.58000000000000E-009,1.29061682475966E-010,6.45308328594401E-011
4.62580000000000E-009,1.30352299300726E-010,6.51761411880346E-011
4.67160000000000E-009,1.31642916125485E-010,6.58214495166291E-011
4.71740000000000E-009,1.32933532950245E-010,6.64667578452236E-011
4.76320000000000E-009,1.34224149775005E-010,6.71120661738181E-011
4.80900000000000E-009,1.35514766599764E-010,6.77573745024126E-011
4.85480000000000E-009,1.36805383424524E-010,6.84026828310072E-011
4.90060000000000E-009,1.38096000249284E-010,6.90479911596017E-011
4.94640000000000E-009,1.39386617074043E-010,6.96932994881962E-011
4.99220000000000E-009,1.40677233898803E-010,7.03386078167907E-011
5.03800000000000E-009,1.41967850723563E-010,7.09839161453852E-011
5.08380000000000E-009,1.43258467548322E-010,7.16292244739798E-011
5.12960000000000E-009,1.44549084373082E-010,7.22745328025743E-011
5.17540000000000E-009,1.45839701197842E-010,7.29198411311688E-011
5.22120000000000E-009,1.47130318022601E-010,7.35651494597633E-011
5.26700000000000E-009,1.48420934847361E-010,7.42104577883579E-011
5.31280000000000E-009,1.49711551672121E-010,7.48557661169524E-011
5.35860000000000E-009,1.51002168496880E-010,7.55010744455469E-011
5.40440000000000E-009,1.52292785321640E-010,7.61463827741414E-011
5.45020000000000E-009,1.53583402146400E-010,7.67916911027360E-011
5.49600000000000E-009,1.54874018971159E-010,7.74369994313305E-011
5.54180000000000E-009,1.56164635795919E-010,7.80823077599251E-011
5.58760000000000E-009,1.57455252620679E-010,7.87276160885196E-011
5.63340000000000E-009,1.58745869445438E-010,7.93729244171142E-011
5.67920000000000E-009,1.60036486270198E-010,8.00182327457088E-011
5.72500000000000E-009,1.61327103094958E-010,8.06635410743034E-011
5.77080000000000E-009,1.62617719919717E-010,8.13088494028979E-011
5.81660000000000E-009,1.63908336744477E-010,8.19541577314925E-011
5.86240000000000E-009,1.65198953569237E-010,8.25994660600871E-011
5.90820000000000E-009,1.66489570393996E-010,8.32447743886817E-011
5.95400000000000E-009,1.67780187218756E-010,8.38900827172763E-011
5.99980000000000E-009,1.69070804043516E-010,8.45353910458708E-011
6.04560000000000E-009,1.70361420868275E-010,8.51806993744654E-011
6.09140000000000E-009,1.71652037693035E-010,8.58260077030600E-011
6.13720000000000E-009,1.72942654517795E-010,8.64713160316546E-011
6.18300000000000E-009,1.74233271342554E-010,8.71166243602492E-011
6.22880000000000E-009,1.75523888167314E-010,8.77619326888438E-011
6.27460000000000E-009,1.76814504992074E-010,8.84072410174384E-011
6.32040000000000E-009,1.78105121816833E-010,8.90525493460331E-011
6.36620000000000E-009,1.79395738641593E-010,8.96978576746277E-011
6.41200000000000E-009,1.80686355466353E-010,9.03431660032223E-011
6.45780000000000E-009,1.81976972291112E-010,9.09884743318170E-011
6.50360000000000E-009,1.83267589115872E-010,9.16337826604116E-011
6.54940000000000E-009,1.84558205940632E-010,9.22790909890063E-011
6.59520000000000E-009,1.85848822765391E-010,9.29243993176009E-011
6.64100000000000E-009,1.87139439590151E-010,9.35697076461955E-011
6.68680000000000E-009,1.88430056414911E-010,9.42150159747902E-011
6.73260000000000E-009,1.89720673239670E-010,9.48603243033848E-011
6.77840000000000E-009,1.91011290064430E-010,9.55056326319794E-011
6.82420000000000E-009,1.92301906889190E-010,9.61509409605741E-011
6.87000000000000E-009,1.93592523713949E-010,9.67962492891687E-011
6.91580000000000E-009,1.94883140538709E-010,9.74415576177633E-011
6.96160000000000E-009,1.96173757363469E-010,9.80868659463580E-011
7.00740000000000E-009,1.97464374188228E-010,9.87321742749527E-011
7.05320000000000E-009,1.98754991012988E-010,9.93774826035473E-011
7.09900000000000E-009,2.00045607837747E-010,1.00022790932142E-010
7.14480000000000E-009,2.01336224662507E-010,1.00668099260737E-010
7.19060000000000E-009,2.02626841487267E-010,1.01313407589331E-010
7.23640000000000E-009,2.03917458312026E-010,1.01958715917926E-010
7.28220000000000E-009,2.05208075136786E-010,1.02604024246521E-010
7.32800000000000E-009,2.06498691961546E-010,1.03249332575116E-010
7.37380000000000E-009,2.07789308786305E-010,1.03894640903710E-010
7.41960000000000E-009,2.09079925611065E-010,1.04539949232305E-010
7.46540000000000E-009,2.10370542435825E-010,1.05185257560900E-010
7.51120000000000E-009,2.11661159260584E-010,1.05830565889494E-010
7.55700000000000E-009,2.12951776085344E-010,1.06475874218089E-010
7.60280000000000E-009,2.14242392910104E-010,1.07121182546684E-010
7.64860000000000E-009,2.15533009734863E-010,1.07766490875279E-010
7.69440000000000E-009,2.16823626559623E-010,1.08411799203873E-010
7.74020000000000E-009,2.18114243384383E-010,1.09057107532468E-010
7.78600000000000E-009,2.19404860209142E-010,1.09702415861063E-010
7.83180000000000E-009,2.20695477033902E-010,1.10347724189658E-010
7.87760000000000E-009,2.21986093858662E-010,1.10993032518252E-010
7.92340000000000E-009,2.23276710683421E-010,1.11638340846847E-010
7.96920000000000E-009,2.24567327508181E-010,1.12283649175442E-010
8.01500000000000E-009,2.25857944332941E-010,1.12928957504037E-010
8.06080000000000E-009,2.27148561157700E-010,1.13574265832631E-010
8.10660000000000E-009,2.28439177982460E-010,1.14219574161226E-010
8.15240000000000E-009,2.29729794807220E-010,1.14864882489821E-010
8.19820000000000E-009,2.31020411631979E-010,1.15510190818416E-010
8.24400000000000E-009,2.32311028456739E-010,1.16155499147011E-010
8.28980000000000E-009,2.33601645281499E-010,1.16800807475605E-010
8.33560000000000E-009,2.34892262106258E-010,1.17446115804200E-010
8.38140000000000E-009,2.36182878931018E-010,1.18091424132795E-010
8.42720000000000E-009,2.37473495755778E-010,1.18736732461390E-010
8.47300000000000E-009,2.38764112580537E-010,1.19382040789985E-010
8.51880000000000E-009,2.40054729405297E-010,1.20027349118579E-010
8.56460000000000E-009,2.41345346230057E-010,1.20672657447174E-010
8.61040000000000E-009,2.42635963054816E-010,1.21317965775769E-010
8.65620000000000E-009,2.43926579879576E-010,1.21963274104364E-010
8.70200000000000E-009,2.45217196704336E-010,1.22608582432959E-010
8.74780000000000E-009,2.46507813529095E-010,1.23253890761554E-010
8.79360000000000E-009,2.47798430353855E-010,1.23899199090149E-010
8.83940000000000E-009,2.49089047178615E-010,1.24544507418743E-010
8.88520000000000E-009,2.50379664003374E-010,1.25189815747338E-010
8.93100000000000E-009,2.51670280828134E-010,1.25835124075933E-010
8.97680000000000E-009,2.52960897652894E-010,1.26480432404528E-010
9.02260000000000E-009,2.54251514477653E-010,1.27125740733123E-010
9.06840000000000E-009,2.55542131302413E-010,1.27771049061718E-010
9.11420000000000E-009,2.56832748127173E-010,1.28416357390313E-010
9.16000000000000E-009,2.58123364951932E-010,1.29061665718908E-010
9.20580000000000E-009,2.59413981776692E-010,1.29706974047503E-010
9.25160000000000E-009,2.60704598601452E-010,1.30352282376097E-010
9.29740000000000E-009,2.61995215426211E-010,1.30997590704692E-010
9.34320000000000E-009,2.63285832250971E-010,1.31642899033287E-010
9.38900000000000E-009,2.64576449075731E-010,1.32288207361882E-010
9.43480000000000E-009,2.65867065900490E-010,1.32933515690477E-010
9.48060000000000E-009,2.67157682725250E-010,1.33578824019072E-010
9.52640000000000E-009,2.68448299550010E-010,1.34224132347667E-010
9.57220000000000E-009,2.69738916374769E-010,1.34869440676262E-010
9.61800000000000E-009,2.71029533199529E-010,1.35514749004857E-010
9.66380000000000E-009,2.72320150024289E-010,1.36160057333452E-010
9.70960000000000E-009,2.73610766849048E-010,1.36805365662047E-010
9.75540000000000E-009,2.74901383673808E-010,1.37450673990642E-010
9.80120000000000E-009,2.76192000498568E-010,1.38095982319237E-010
9.84700000000000E-009,2.77482617323327E-010,1.38741290647832E-010
9.89280000000000E-009,2.78773234148087E-010,1.39386598976427E-010
9.93860000000000E-009,2.80063850972846E-010,1.40031907305022E-010
9.98440000000000E-009,2.81354467797606E-010,1.40677215633617E-010
1.00302000000000E-008,2.82645084622366E-010,1.41322523962212E-010
1.00760000000000E-008,2.83935701447125E-010,1.41967832290807E-010
1.01218000000000E-008,2.85226318271885E-010,1.42613140619402E-010
1.01676000000000E-008,2.86516935096645E-010,1.43258448947997E-010
1.02134000000000E-008,2.87807551921404E-010,1.43903757276592E-010
1.02592000000000E-008,2.89098168746164E-010,1.44549065605187E-010
1.03050000000000E-008,2.90388785570924E-010,1.45194373933782E-010
1.03508000000000E-008,2.91679402395683E-010,1.45839682262377E-010
1.03966000000000E-008,2.92970019220443E-010,1.46484990590972E-010
1.04424000000000E-008,2.94260636045203E-010,1.47130298919567E-010
