"time","Procs","MinWeight","MaxWeight","CurrentImbalance","TargetWeight(mean)","nLoadBalanceSteps","WeightSum","SimulationEfficiency","PID","SimulationWallTime","InitializationWallTime"
0.4916420000000000E-008,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4024209195471447E-005,0.5722152590751648E-004,0.5273886919021606E+001,0.2984972000122070E+001
0.9832840000000000E-008,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.5364030432478880E-005,0.5480997562408447E-004,0.7474911928176880E+001,0.2984972000122070E+001
0.1474926000000000E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.6028504313035819E-005,0.5490155220031738E-004,0.9683440923690796E+001,0.2984972000122070E+001
0.1966568000000000E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.6445469200579450E-005,0.5417652726173401E-004,0.1185963702201843E+002,0.2984972000122070E+001
0.2458210000000000E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.6700501963487106E-005,0.5529752373695374E-004,0.1408303093910217E+002,0.2984972000122070E+001
0.2949852000000000E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.6881464137609155E-005,0.5543622374534607E-004,0.1630771589279175E+002,0.2984972000122070E+001
0.3441494000000000E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7024149950967790E-005,0.5497367978096008E-004,0.1851398801803589E+002,0.2984972000122070E+001
0.3933136000000000E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7133758618246295E-005,0.5506282448768615E-004,0.2072401595115662E+002,0.2984972000122070E+001
0.4424778000000000E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7217287731631820E-005,0.5535550117492676E-004,0.2294662404060364E+002,0.2984972000122070E+001
0.4916420000000000E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7286319528460683E-005,0.5529019832611084E-004,0.2516660881042480E+002,0.2984972000122070E+001
0.5408062000000000E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7346562797497061E-005,0.5506452322006225E-004,0.2737658786773682E+002,0.2984972000122070E+001
0.5899704000000000E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7406400857060825E-005,0.5420497655868530E-004,0.2955218601226807E+002,0.2984972000122070E+001
0.6391346000000000E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7451079485194447E-005,0.5490215420722962E-004,0.3175560998916626E+002,0.2984972000122070E+001
0.6882988000000000E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7487616087001834E-005,0.5514392852783203E-004,0.3396871304512024E+002,0.2984972000122070E+001
0.7374629999999999E-007,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7515542885226666E-005,0.5556057095527649E-004,0.3620074486732483E+002,0.2984972000122070E+001
