001-TIME,002-PCoupled,003-PCoupledMoAv
0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000
4.42477800000000E-010,1.10750484441140E-011,5.53894436036626E-012
8.84955600000000E-010,2.34725680543952E-011,1.17541581122297E-011
1.32743340000000E-009,3.57367118965718E-011,1.79353420433572E-011
1.76991120000000E-009,4.77977926828572E-011,2.40649858798866E-011
2.21238900000000E-009,5.95872769698586E-011,3.01257748551744E-011
2.65486680000000E-009,7.10381745791390E-011,3.61006550806063E-011
3.09734460000000E-009,8.20854192486437E-011,4.19728978069098E-011
3.53982240000000E-009,9.26662383520533E-011,4.77261623034621E-011
3.98230020000000E-009,1.02720509585246E-010,5.33445570892759E-011
4.42477800000000E-009,1.12191102593104E-010,5.88126992567856E-011
4.86725580000001E-009,1.21024203595478E-010,6.41157716381404E-011
5.30973360000001E-009,1.29169621167714E-010,6.92395775734210E-011
5.75221140000001E-009,1.36581071438243E-010,7.41705930510025E-011
6.19468920000002E-009,1.43216441082680E-010,7.88960160020963E-011
6.63716700000002E-009,1.49038026620055E-010,8.34038125443222E-011
7.07964480000002E-009,1.54012748651435E-010,8.76827599828712E-011
7.52212260000003E-009,1.58112339823606E-010,9.17224863924004E-011
7.96460040000003E-009,1.61313505449756E-010,9.55135066181619E-011
8.40707820000003E-009,1.63598055874486E-010,9.90472545509452E-011
8.84955600000004E-009,1.64953009831028E-010,1.02316111547141E-010
9.29203380000004E-009,1.65370668203363E-010,1.05313430882512E-010
9.73451160000004E-009,1.64848657774122E-010,1.08033558146027E-010
1.01769894000000E-008,1.63389944709673E-010,1.10471847498305E-010
1.06194672000000E-008,1.61002817705781E-010,1.12624673737680E-010
1.10619450000001E-008,1.57700840889600E-010,1.14489440135635E-010
1.15044228000001E-008,1.53502776745622E-010,1.16064582022229E-010
1.19469006000001E-008,1.48432479503536E-010,1.17349566121043E-010
1.23893784000001E-008,1.42518759593782E-010,1.18344885652070E-010
1.28318562000001E-008,1.35795219940995E-010,1.19052051239768E-010
1.32743340000001E-008,1.28300065025549E-010,1.19473577682007E-010
1.37168118000001E-008,1.20075883798155E-010,1.19612966653968E-010
1.41592896000001E-008,1.11169407681028E-010,1.19474685438889E-010
1.46017674000001E-008,1.01631245030717E-010,1.19064141795021E-010
1.50442452000001E-008,9.15155935714284E-011,1.18387655084997E-010
1.54867230000001E-008,8.08799324328473E-011,1.17452423810089E-010
1.59292008000001E-008,6.97846955423724E-011,1.16266489707405E-010
1.63716786000000E-008,5.82929282276021E-011,1.14838698582816E-010
1.68141564000000E-008,4.64699289803307E-011,1.13178658066375E-010
1.72566342000000E-008,3.43828784176193E-011,1.11296692490044E-010
1.76991120000000E-008,2.21004575482602E-011,1.09203795099563E-010
1.81415898000000E-008,9.69245751371844E-012,1.06911577823417E-010
1.85840676000000E-008,2.77061697891914E-012,1.04454119398594E-010
1.90265454000000E-008,1.52179482786163E-011,1.02250108283772E-010
1.94690232000000E-008,2.75788081902688E-011,1.00428213257476E-010
1.99115010000000E-008,3.97829598662795E-011,9.89601698267836E-011
2.03539787999999E-008,5.17610569062000E-011,9.78186542355878E-011
2.07964565999999E-008,6.34450373966755E-011,9.69772070161863E-011
2.12389343999999E-008,7.47685106526806E-011,9.64101742306063E-011
2.16814121999999E-008,8.56671344625056E-011,9.60926637001245E-011
2.21238899999999E-008,9.60789806929119E-011,9.60005139102023E-011
2.25663677999999E-008,1.05944887177018E-010,9.61102735994222E-011
2.30088455999999E-008,1.15208793885419E-010,9.63991903081714E-011
2.34513233999999E-008,1.23818061470343E-010,9.68452063862179E-011
2.38938011999998E-008,1.31723770372827E-010,9.74269611462731E-011
2.43362789999998E-008,1.38880998793312E-010,9.81237980097758E-011
2.47787567999998E-008,1.45249077946181E-010,9.89157756267797E-011
2.52212345999998E-008,1.50791823147832E-010,9.97836820682748E-011
2.56637123999998E-008,1.55477739425199E-010,1.00709051289971E-010
2.61061901999998E-008,1.59280200476409E-010,1.01674181154322E-010
2.65486679999998E-008,1.62177599966686E-010,1.02662152374665E-010
2.69911457999998E-008,1.64153474299818E-010,1.03656847813572E-010
2.74336235999998E-008,1.65196596167561E-010,1.04642971628508E-010
2.78761013999997E-008,1.65301038345417E-010,1.05606067812686E-010
2.83185791999997E-008,1.64466207372304E-010,1.06532537728816E-010
2.87610569999997E-008,1.62696846922711E-010,1.07409656278933E-010
2.92035347999997E-008,1.60003010852204E-010,1.08225586395402E-010
2.96460125999997E-008,1.56400006069436E-010,1.08969391577026E-010
3.00884903999997E-008,1.51908305559268E-010,1.09631046230440E-010
3.05309681999997E-008,1.46553432051220E-010,1.10201443610923E-010
3.09734459999997E-008,1.40365812994287E-010,1.10672401188780E-010
3.14159237999996E-008,1.33380607662160E-010,1.11036663297686E-010
3.18584015999996E-008,1.25637507371290E-010,1.11287900950080E-010
3.23008793999996E-008,1.17180509946984E-010,1.11420708731991E-010
3.27433571999996E-008,1.08057669719077E-010,1.11430598715601E-010
3.31858349999996E-008,9.83208244677321E-011,1.11313991352614E-010
3.36283127999996E-008,8.80253008709387E-011,1.11068203335045E-010
3.40707905999996E-008,7.72296001273972E-011,1.10691432432476E-010
3.45132683999996E-008,6.59950655411533E-011,1.10182739336144E-010
3.49557461999996E-008,5.43855339568278E-011,1.09542026560499E-010
3.53982239999995E-008,4.24669730260558E-011,1.08770014471973E-010
3.58407017999995E-008,3.03071063662599E-011,1.07868214532848E-010
3.62831795999995E-008,1.79750287416792E-011,1.06838899865024E-010
3.67256573999995E-008,5.54081345327026E-012,1.05685073254421E-010
3.71681351999995E-008,6.92488583162951E-012,1.04465390945281E-010
3.76106129999995E-008,1.93512365473957E-011,1.03399126168364E-010
3.80530907999995E-008,3.16676297147462E-011,1.02501490367645E-010
3.84955685999995E-008,4.38040811549082E-011,1.01764957604736E-010
3.89380463999995E-008,5.56916291535460E-011,1.01181555024425E-010
3.93805241999994E-008,6.72627263148430E-011,1.00742901892292E-010
3.98230019999994E-008,7.84516233791475E-011,1.00440250333045E-010
4.02654797999994E-008,8.91947428232531E-011,1.00264527537386E-010
4.07079575999994E-008,9.94310401204434E-011,1.00206379202063E-010
4.11504353999994E-008,1.09102350607551E-010,1.00256213965690E-010
4.15929131999994E-008,1.18153719988062E-010,1.00404248601759E-010
4.20353909999994E-008,1.26533716593285E-010,1.00640553730200E-010
4.24778687999994E-008,1.34194723627250E-010,1.00955099809766E-010
4.29203465999993E-008,1.41093209734748E-010,1.01337803175509E-010
4.33628243999993E-008,1.47189976355095E-010,1.01778571888569E-010
4.38053021999993E-008,1.52450380456089E-010,1.02267351169536E-010
4.42477799999993E-008,1.56844531382566E-010,1.02794168191606E-010
4.46902577999993E-008,1.60347460701008E-010,1.03349176015747E-010
4.51327355999993E-008,1.62939264075111E-010,1.03922696456977E-010
4.55752133999993E-008,1.64605214366158E-010,1.04505261678687E-010
4.60176911999993E-008,1.65335845315527E-010,1.05087654320615E-010
4.64601689999993E-008,1.65127005333847E-010,1.05660945975606E-010
4.69026467999992E-008,1.63979881091145E-010,1.06216533840580E-010
4.73451245999992E-008,1.61900990773953E-010,1.06746175378147E-010
4.77876023999992E-008,1.58902147047687E-010,1.07242020837015E-010
4.82300801999992E-008,1.55000389934746E-010,1.07696643491643E-010
4.86725579999992E-008,1.50217889989740E-010,1.08103067474462E-010
4.91150357999992E-008,1.44581822322020E-010,1.08454793087331E-010
4.95575135999992E-008,1.38124212181339E-010,1.08745819492694E-010
4.99999913999992E-008,1.30881752984056E-010,1.08970664699012E-010
5.04424691999992E-008,1.22895597813896E-010,1.09124382769491E-010
5.08849469999991E-008,1.14211125582001E-010,1.09202578197729E-010
