001-TIME,002-PCoupled,003-PCoupledMoAv
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.4916420000000000E-010,-.6927543091160624E-012,-.6927543091160624E-012
0.9832840000000000E-010,-.2078213749081459E-011,-.1385484029098761E-011
0.1474926000000000E-009,-.3463527503059818E-011,-.2078165187085780E-011
0.1966568000000000E-009,-.4848597954002202E-011,-.2770773378814885E-011
0.2458210000000000E-009,-.6233328594211804E-011,-.3463284421894270E-011
0.2949852000000000E-009,-.7617621436897429E-011,-.4155673924394796E-011
0.3441494000000000E-009,-.9001379234799404E-011,-.4847917540166883E-011
0.3933136000000000E-009,-.1038450548018959E-010,-.5539991032669720E-011
0.4424778000000000E-009,-.1176690329559757E-010,-.6231870172995037E-011
0.4916420000000000E-009,-.1314847432445073E-010,-.6923530588140607E-011
0.5408061999999999E-009,-.1452912316832604E-010,-.7614948095430192E-011
0.5899703999999999E-009,-.1590875184044015E-010,-.8306098407514357E-011
0.6391345999999999E-009,-.1728726383305706E-010,-.8996957286402258E-011
0.6882987999999998E-009,-.1866456263845648E-010,-.9687500525834703E-011
0.7374629999999998E-009,-.2004055100937090E-010,-.1037770389140378E-010
0.7866271999999997E-009,-.2141513317759586E-010,-.1106754322179079E-010
0.8357913999999997E-009,-.2278821189589520E-010,-.1175699432026752E-010
0.8849555999999996E-009,-.2415969139604096E-010,-.1244603304669938E-010
0.9341197999999996E-009,-.2552947443077346E-010,-.1313463522480854E-010
0.9832839999999996E-009,-.2689746634119339E-010,-.1382277678062778E-010
0.1032448200000000E-008,-.2826356988003324E-010,-.1451043359488519E-010
0.1081612399999999E-008,-.2962768964883864E-010,-.1519758159733762E-010
0.1130776599999999E-008,-.3098972950965505E-010,-.1588419672396012E-010
0.1179940799999999E-008,-.3234959480355181E-010,-.1657025497727644E-010
0.1229104999999999E-008,-.3370718902278509E-010,-.1725573233909679E-010
0.1278269199999999E-008,-.3506241713869764E-010,-.1794060483138913E-010
0.1327433399999999E-008,-.3641518486210890E-010,-.1862484853623060E-010
0.1376597599999999E-008,-.3776539605504863E-010,-.1930843951904553E-010
0.1425761799999999E-008,-.3911295679811770E-010,-.1999135390797906E-010
0.1474925999999999E-008,-.4045777169287742E-010,-.2067356783414233E-010
0.1524090199999999E-008,-.4179974718967875E-010,-.2135505749077254E-010
0.1573254399999999E-008,-.4313878862959101E-010,-.2203579908886062E-010
0.1622418599999999E-008,-.4447480209323074E-010,-.2271576887687184E-010
0.1671582799999999E-008,-.4580769403095672E-010,-.2339494314610963E-010
0.1720746999999999E-008,-.4713737052334630E-010,-.2407329821403068E-010
0.1769911199999999E-008,-.4846373876031330E-010,-.2475081045142742E-010
0.1819075399999999E-008,-.4978670445266932E-010,-.2542745623524477E-010
0.1868239599999999E-008,-.5110617663910998E-010,-.2610321203534649E-010
0.1917403799999999E-008,-.5242206103049388E-010,-.2677805431727335E-010
0.1966567999999999E-008,-.5373426555620367E-010,-.2745195959824660E-010
0.2015732199999999E-008,-.5504269962469293E-010,-.2812490447694042E-010
0.2064896399999999E-008,-.5634726894681241E-010,-.2879686553574689E-010
0.2114060599999999E-008,-.5764788404028945E-010,-.2946781945445719E-010
0.2163224799999999E-008,-.5894445246476446E-010,-.3013774293196417E-010
0.2212388999999998E-008,-.6023688399845675E-010,-.3080661273344179E-010
0.2261553199999998E-008,-.6152508657077251E-010,-.3147440564294897E-010
0.2310717399999998E-008,-.6280897180874417E-010,-.3214109854009356E-010
0.2359881599999998E-008,-.6408844727198082E-010,-.3280666830534121E-010
0.2409045799999998E-008,-.6536342532705429E-010,-.3347109191802923E-010
0.2458209999999998E-008,-.6663381501266019E-010,-.3413434637992185E-010
0.2507374199999998E-008,-.6789952758603387E-010,-.3479640875651228E-010
0.2556538399999998E-008,-.6916047504397359E-010,-.3545725618511731E-010
0.2605702599999998E-008,-.7041656716468296E-010,-.3611686582624119E-010
0.2654866799999998E-008,-.7166771705424186E-010,-.3677521492305602E-010
0.2704030999999998E-008,-.7291383670940933E-010,-.3743228077371699E-010
0.2753195199999998E-008,-.7415483812699925E-010,-.3808804072645418E-010
0.2802359399999998E-008,-.7539063552231824E-010,-.3874247221410091E-010
0.2851523599999998E-008,-.7662114015267221E-010,-.3939555269580042E-010
0.2900687799999998E-008,-.7784626734265721E-010,-.4004725972371325E-010
0.2949851999999998E-008,-.7906593056812668E-010,-.4069757090445347E-010
0.2999016199999998E-008,-.8028004367466067E-010,-.4134646390068638E-010
0.3048180399999998E-008,-.8148852235665234E-010,-.4199391645642777E-010
0.3097344599999998E-008,-.8269128119920543E-010,-.4263990637297979E-010
0.3146508799999998E-008,-.8388823626649456E-010,-.4328441152756596E-010
0.3195672999999998E-008,-.8507930288314711E-010,-.4392740985611337E-010
0.3244837199999998E-008,-.8626439748308000E-010,-.4456887936561286E-010
0.3294001399999998E-008,-.8744343797925744E-010,-.4520879815089114E-010
0.3343165599999998E-008,-.8861634006608047E-010,-.4584714435552628E-010
0.3392329799999997E-008,-.8978302276578712E-010,-.4648389621654455E-010
0.3441493999999997E-008,-.9094340362159156E-010,-.4711903203661665E-010
0.3490658199999997E-008,-.9209740091621596E-010,-.4775253018985045E-010
0.3539822399999997E-008,-.9324493367191403E-010,-.4838436912710134E-010
0.3588986599999997E-008,-.9438592238995553E-010,-.4901452739097605E-010
0.3638150799999997E-008,-.9552028572286758E-010,-.4964298358465026E-010
0.3687314999999997E-008,-.9664794417191209E-010,-.5026971639248042E-010
0.3736479199999998E-008,-.9776881971743754E-010,-.5089470459412459E-010
0.3785643399999998E-008,-.9888283212122917E-010,-.5151792702954153E-010
0.3834807599999998E-008,-.9998990484265932E-010,-.5213936264253021E-010
0.3883971799999999E-008,-.1010899587527792E-009,-.5275899044139412E-010
0.3933135999999999E-008,-.1021829173109925E-009,-.5337678952726410E-010
0.3982300199999999E-008,-.1032687039766637E-009,-.5399273908836779E-010
0.4031464400000000E-008,-.1043472418394386E-009,-.5460681839021011E-010
0.4080628600000000E-008,-.1054184562074909E-009,-.5521900679764722E-010
0.4129792800000001E-008,-.1064822709099823E-009,-.5582928375136549E-010
0.4178957000000001E-008,-.1075386116248601E-009,-.5643762878517130E-010
0.4228121200000001E-008,-.1085874047695953E-009,-.5704402152917623E-010
0.4277285400000002E-008,-.1096285760221589E-009,-.5764844169576223E-010
0.4326449600000002E-008,-.1106620525395337E-009,-.5825086909171418E-010
0.4375613800000002E-008,-.1116877618484920E-009,-.5885128361707122E-010
0.4424778000000003E-008,-.1127056314757943E-009,-.5944966525994592E-010
0.4473942200000003E-008,-.1137155911667605E-009,-.6004599411606475E-010
0.4523106400000004E-008,-.1147175691876864E-009,-.6064025036684325E-010
0.4572270600000004E-008,-.1157114945443760E-009,-.6123241428273070E-010
0.4621434800000004E-008,-.1166972992007281E-009,-.6182246624994343E-010
0.4670599000000005E-008,-.1176749125323045E-009,-.6241038673712618E-010
0.4719763200000005E-008,-.1186442661332499E-009,-.6299615631416912E-010
0.4768927400000005E-008,-.1196052930767525E-009,-.6357975566223699E-010
0.4818091600000006E-008,-.1205579242174021E-009,-.6416116554545296E-010
0.4867255800000006E-008,-.1215020941074615E-009,-.6474036684405910E-010
0.4916420000000000E-008,-.1224377361898573E-009,-.6531734053751701E-010
0.4965584200000000E-008,-.1233647835377464E-009,-.6589206769593511E-010
0.5014748400000001E-008,-.1242831732917364E-009,-.6646452951550179E-010
0.5063912600000001E-008,-.1251928388947343E-009,-.6703470727646521E-010
0.5113076800000001E-008,-.1260937182268399E-009,-.6760258238175728E-010
0.5162241000000002E-008,-.1269857465798010E-009,-.6816813632650055E-010
0.5211405200000002E-008,-.1278688625732214E-009,-.6873135072505452E-010
0.5260569400000002E-008,-.1287430029778923E-009,-.6929220728816516E-010
0.5309733600000003E-008,-.1296081078924651E-009,-.6985068784931608E-010
0.5358897800000003E-008,-.1304641151970321E-009,-.7040677433874467E-010
0.5408062000000004E-008,-.1313109660995066E-009,-.7096044880929704E-010
0.5457226200000004E-008,-.1321486003288019E-009,-.7151169341758085E-010
0.5506390400000004E-008,-.1329769594625895E-009,-.7206049043583986E-010
0.5555554600000005E-008,-.1337959847088259E-009,-.7260682224356540E-010
0.5604718800000005E-008,-.1346056194939879E-009,-.7315067134225330E-010
0.5653883000000005E-008,-.1354058068748376E-009,-.7369202034688447E-010
0.5703047200000006E-008,-.1361964895383552E-009,-.7423085197784541E-010
0.5752211400000006E-008,-.1369776138691086E-009,-.7476714908802715E-010
0.5801375600000007E-008,-.1377491236634028E-009,-.7530089463527609E-010
0.5850539800000007E-008,-.1385109649360320E-009,-.7583207169662697E-010
0.5899704000000007E-008,-.1392630851808923E-009,-.7636066347566250E-010
0.5948868200000008E-008,-.1400054300430512E-009,-.7688665328200457E-010
0.5998032400000008E-008,-.1407379488652063E-009,-.7741002455727670E-010
0.6047196600000008E-008,-.1414605895109766E-009,-.7793076085771328E-010
0.6096360800000009E-008,-.1421733013230597E-009,-.7844884586146607E-010
0.6145525000000009E-008,-.1428760343836573E-009,-.7896426336964359E-010
0.6194689200000010E-008,-.1435687395145027E-009,-.7947699730730120E-010
0.6243853400000010E-008,-.1442513679071028E-009,-.7998703172147286E-010
0.6293017600000010E-008,-.1449238718622030E-009,-.8049435078507231E-010
0.6342181800000011E-008,-.1455862036806074E-009,-.8099893879201444E-010
0.6391346000000011E-008,-.1462383171421323E-009,-.8150078016393841E-010
0.6440510200000011E-008,-.1468801675056336E-009,-.8199985945662310E-010
0.6489674400000012E-008,-.1475117081811853E-009,-.8249616134090009E-010
0.6538838600000012E-008,-.1481328951671747E-009,-.8298967061778936E-010
0.6588002800000012E-008,-.1487436855712708E-009,-.8348037222191981E-010
0.6637167000000013E-008,-.1493440361313965E-009,-.8396825121384185E-010
0.6686331200000013E-008,-.1499339050645062E-009,-.8445329278627321E-010
0.6735495400000014E-008,-.1505132498480387E-009,-.8493548225387733E-010
0.6784659600000014E-008,-.1510820312872773E-009,-.8541480507295993E-010
0.6833823800000014E-008,-.1516402083387161E-009,-.8589124682307328E-010
0.6882988000000015E-008,-.1521877429169162E-009,-.8636479322374359E-010
0.6932152200000015E-008,-.1527245954574111E-009,-.8683543011901782E-010
0.6981316400000015E-008,-.1532507289840553E-009,-.8730314349130680E-010
0.7030480600000016E-008,-.1537661065207152E-009,-.8776791945654742E-010
0.7079644800000016E-008,-.1542706918307652E-009,-.8822974426470171E-010
0.7128809000000017E-008,-.1547644494171073E-009,-.8868860430023553E-010
0.7177973200000017E-008,-.1552473445221710E-009,-.8914448608257755E-010
0.7227137400000017E-008,-.1557193434976675E-009,-.8959737626907475E-010
0.7276301600000018E-008,-.1561804134348240E-009,-.9004726165532981E-010
0.7325465800000018E-008,-.1566305210551252E-009,-.9049412916808010E-010
0.7374630000000018E-008,-.1570696364078812E-009,-.9093796588301210E-010
0.7423794200000019E-008,-.1574977269540926E-009,-.9137875900268813E-010
0.7472958400000018E-008,-.1579147638523747E-009,-.9181649587669924E-010
0.7522122600000019E-008,-.1583207171520454E-009,-.9225116398960998E-010
0.7571286800000019E-008,-.1587155583814817E-009,-.9268275096618058E-010
0.7620451000000019E-008,-.1590992605480885E-009,-.9311124457638643E-010
0.7669615200000020E-008,-.1594717962895323E-009,-.9353663272839377E-010
0.7718779400000020E-008,-.1598331389829875E-009,-.9395890346886888E-010
0.7767943600000021E-008,-.1601832642241921E-009,-.9437804499263674E-010
0.7817107800000021E-008,-.1605221464996177E-009,-.9479404563104542E-010
0.7866272000000021E-008,-.1608497628840534E-009,-.9520689386387671E-010
