001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-nPart-Spec-005,007-Ekin-001,008-Ekin-002,009-Ekin-003,010-Ekin-004,011-Ekin-005,012-TempTra-001,013-TempTra-002,014-TempTra-003,015-TempTra-004,016-TempTra-005,017-E-Vib001,018-E-Vib002,019-E-Vib003,020-E-Vib004,021-E-Vib005,022-E-Rot001,023-E-Rot002,024-E-Rot003,025-E-Rot004,026-E-Rot005,027-E-Elec001,028-E-Elec002,029-E-Elec003,030-E-Elec004,031-E-Elec005,032-E-TotalPart,033-TempVib001,034-TempVib002,035-TempVib003,036-TempVib004,037-XiVibMean001,038-XiVibMean002,039-XiVibMean003,040-XiVibMean004,041-TempRot001,042-TempRot002,043-TempRot003,044-TempRot004,045-TempElec001,046-TempElec002,047-TempElec003,048-TempElec004,049-XiElecMean001,050-XiElecMean002,051-XiElecMean003,052-XiElecMean004,053-TempTotal001,054-TempTotal002,055-TempTotal003,056-TempTotal004,057-TempTotal005,058-PercentResolvedPPD3D,059-PercentResolvedPPDX,060-PercentResolvedPPDY,061-PercentResolvedPPDZ,062-PercentResolvedPICTimeStep
0.4580000000000000E-010,0.0000000000000000E+000,0.4008000000000000E+004,0.4012000000000000E+004,0.0000000000000000E+000,0.8020000000000000E+004,0.0000000000000000E+000,0.2492007106565040E-013,0.2492297397253026E-015,0.0000000000000000E+000,0.2516930080537568E-013,0.0000000000000000E+000,0.3002186077676261E+005,0.2999607678233612E+003,0.0000000000000000E+000,0.1515349882715360E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2516930080537568E-013,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.3002186077676261E+005,0.2999607678233612E+003,0.0000000000000000E+000,0.1515349882715360E+005,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001
0.9160000000000000E-010,0.0000000000000000E+000,0.4003000000000000E+004,0.4012000000000000E+004,0.0000000000000000E+000,0.8015000000000000E+004,0.0000000000000000E+000,0.2493879774106673E-013,0.2492276600764644E-015,0.0000000000000000E+000,0.2518802540114321E-013,0.0000000000000000E+000,0.3008108381992919E+005,0.2999582641994973E+003,0.0000000000000000E+000,0.1517380050993699E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2518802540114321E-013,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.3008108381992919E+005,0.2999582641994973E+003,0.0000000000000000E+000,0.1517380050993699E+005,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001
0.1374000000000000E-009,0.0000000000000000E+000,0.4000000000000000E+004,0.4012000000000000E+004,0.0000000000000000E+000,0.8012000000000000E+004,0.0000000000000000E+000,0.2503767962732372E-013,0.2491769633499857E-015,0.0000000000000000E+000,0.2528685659067375E-013,0.0000000000000000E+000,0.3022225953121361E+005,0.2998972449815749E+003,0.0000000000000000E+000,0.1523867022862213E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2528685659067375E-013,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.3022225953121361E+005,0.2998972449815749E+003,0.0000000000000000E+000,0.1523867022862213E+005,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001
0.1832000000000000E-009,0.0000000000000000E+000,0.3998000000000000E+004,0.4012000000000000E+004,0.0000000000000000E+000,0.8010000000000000E+004,0.0000000000000000E+000,0.2516650872113544E-013,0.2491734895576947E-015,0.0000000000000000E+000,0.2541568221069317E-013,0.0000000000000000E+000,0.3039329819204224E+005,0.2998930401841469E+003,0.0000000000000000E+000,0.1532029676017524E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2541568221069317E-013,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.3039329819204224E+005,0.2998930401841469E+003,0.0000000000000000E+000,0.1532029676017524E+005,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001
0.2290000000000000E-009,0.0000000000000000E+000,0.3998000000000000E+004,0.4012000000000000E+004,0.0000000000000000E+000,0.8010000000000000E+004,0.0000000000000000E+000,0.2535994732875341E-013,0.2491775700111594E-015,0.0000000000000000E+000,0.2560912489876455E-013,0.0000000000000000E+000,0.3062708466405747E+005,0.2998979447292122E+003,0.0000000000000000E+000,0.1543698814496322E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2560912489876455E-013,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.3062708466405747E+005,0.2998979447292122E+003,0.0000000000000000E+000,0.1543698814496322E+005,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001
0.2748000000000000E-009,0.0000000000000000E+000,0.3996000000000000E+004,0.4012000000000000E+004,0.0000000000000000E+000,0.8008000000000000E+004,0.0000000000000000E+000,0.2556856195591030E-013,0.2491584910874195E-015,0.0000000000000000E+000,0.2581772044699766E-013,0.0000000000000000E+000,0.3089377682470044E+005,0.2998749459473370E+003,0.0000000000000000E+000,0.1556626254678368E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2581772044699766E-013,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.3089377682470044E+005,0.2998749459473370E+003,0.0000000000000000E+000,0.1556626254678368E+005,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001
0.3206000000000000E-009,0.0000000000000000E+000,0.3994000000000000E+004,0.4012000000000000E+004,0.0000000000000000E+000,0.8006000000000000E+004,0.0000000000000000E+000,0.2582344736280542E-013,0.2492204354987421E-015,0.0000000000000000E+000,0.2607266779830421E-013,0.0000000000000000E+000,0.3121749992156666E+005,0.2999494821825154E+003,0.0000000000000000E+000,0.1572396852476312E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2607266779830421E-013,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.3121749992156666E+005,0.2999494821825154E+003,0.0000000000000000E+000,0.1572396852476312E+005,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001
0.3663999999999999E-009,0.0000000000000000E+000,0.3992000000000000E+004,0.4012000000000000E+004,0.0000000000000000E+000,0.8004000000000000E+004,0.0000000000000000E+000,0.2610865053730489E-013,0.2492746656024266E-015,0.0000000000000000E+000,0.2635792520290730E-013,0.0000000000000000E+000,0.3157733055994059E+005,0.3000147257471743E+003,0.0000000000000000E+000,0.1589959553660426E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2635792520290730E-013,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.3157733055994059E+005,0.3000147257471743E+003,0.0000000000000000E+000,0.1589959553660426E+005,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001
0.4121999999999999E-009,0.0000000000000000E+000,0.3992000000000000E+004,0.4012000000000000E+004,0.0000000000000000E+000,0.8004000000000000E+004,0.0000000000000000E+000,0.2644830625182911E-013,0.2493375931071444E-015,0.0000000000000000E+000,0.2669764384493622E-013,0.0000000000000000E+000,0.3199003665842777E+005,0.3000904503211845E+003,0.0000000000000000E+000,0.1610547091793256E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2669764384493622E-013,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.3199003665842777E+005,0.3000904503211845E+003,0.0000000000000000E+000,0.1610547091793256E+005,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001
0.4579999999999999E-009,0.0000000000000000E+000,0.3992000000000000E+004,0.4012000000000000E+004,0.0000000000000000E+000,0.8004000000000000E+004,0.0000000000000000E+000,0.2683013708756334E-013,0.2494064964975503E-015,0.0000000000000000E+000,0.2707954358406095E-013,0.0000000000000000E+000,0.3245238224470863E+005,0.3001733633965266E+003,0.0000000000000000E+000,0.1633610762803895E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2707954358406095E-013,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.3245238224470863E+005,0.3001733633965266E+003,0.0000000000000000E+000,0.1633610762803895E+005,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001,0.1000000000000000E+001
