"ElectricFieldX","PowerDensityX-Spec01","ChargeDensity-Spec01","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.03738715e-03,-9.92350349e-05,-5.67603855e-06,1,0.00000000e+00,0.00000000e+00,1.00000001e-01,1.00000001e-01
4.35732203e+00,1.16777674e+00,-5.67603965e-06,1,6.28310023e-04,6.28310023e-04,1.00000001e-01,1.00000001e-01
8.71260668e+00,2.33565271e+00,-5.67604075e-06,1,1.25662005e-03,1.25662005e-03,1.00000001e-01,1.00000001e-01
1.30678905e+01,3.50352847e+00,-5.67604185e-06,1,1.88492995e-03,1.88492995e-03,1.00000001e-01,1.00000001e-01
1.74231760e+01,4.67140466e+00,-5.67604295e-06,1,2.51324009e-03,2.51324009e-03,1.00000001e-01,1.00000001e-01
2.17784606e+01,5.83928064e+00,-5.67604405e-06,1,3.14155011e-03,3.14155011e-03,1.00000001e-01,1.00000001e-01
2.61337436e+01,7.00715618e+00,-5.67604515e-06,1,3.76985990e-03,3.76985990e-03,1.00000001e-01,1.00000001e-01
3.04890283e+01,8.17503215e+00,-5.67604625e-06,1,4.39816993e-03,4.39816993e-03,1.00000001e-01,1.00000001e-01
3.48443145e+01,9.34290856e+00,-5.67604735e-06,1,5.02648018e-03,5.02648018e-03,1.00000001e-01,1.00000001e-01
3.91995976e+01,1.05107841e+01,-5.67604845e-06,1,5.65478997e-03,5.65478997e-03,1.00000001e-01,1.00000001e-01
4.35548838e+01,1.16786605e+01,-5.67604955e-06,1,6.28310023e-03,6.28310023e-03,1.00000001e-01,1.00000001e-01
4.79101669e+01,1.28465360e+01,-5.67605065e-06,1,6.91141002e-03,6.91141002e-03,1.00000001e-01,1.00000001e-01
5.22654499e+01,1.40144116e+01,-5.67605175e-06,1,7.53971981e-03,7.53971981e-03,1.00000001e-01,1.00000001e-01
5.66207329e+01,1.51822871e+01,-5.67605285e-06,1,8.16802960e-03,8.16802960e-03,1.00000001e-01,1.00000001e-01
6.09760192e+01,1.63501635e+01,-5.67605395e-06,1,8.79633985e-03,8.79633985e-03,1.00000001e-01,1.00000001e-01
