001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-nPart-Spec-005,007-nPart-Spec-006,008-NumDens-Spec-001,009-NumDens-Spec-002,010-NumDens-Spec-003,011-NumDens-Spec-004,012-NumDens-Spec-005,013-NumDens-Spec-006
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+022,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000000E+022
0.5000000000000000E-008,0.0000000000000000E+000,0.0000000000000000E+000,0.5000000000000000E+001,0.5000000000000000E+001,0.0000000000000000E+000,0.1000000000000000E+002,0.1000000000000000E+022,0.0000000000000000E+000,0.4999999999999997E+008,0.4999999999999997E+008,0.0000000000000000E+000,0.1000000000000100E+022
0.1000000000000000E-007,0.0000000000000000E+000,0.2000000000000000E+001,0.3200000000000000E+002,0.3000000000000000E+002,0.2000000000000000E+001,0.6600000000000000E+002,0.1000000000000000E+022,0.1999999999999999E+008,0.3199999999999998E+009,0.2999999999999998E+009,0.1999999999999999E+008,0.1000000000000660E+022
0.1500000000000000E-007,0.0000000000000000E+000,0.1700000000000000E+002,0.1420000000000000E+003,0.1250000000000000E+003,0.1700000000000000E+002,0.3010000000000000E+003,0.1000000000000000E+022,0.1699999999999999E+009,0.1419999999999999E+010,0.1249999999999999E+010,0.1699999999999999E+009,0.1000000000003010E+022
0.2000000000000000E-007,0.0000000000000000E+000,0.7200000000000000E+002,0.5080000000000000E+003,0.4360000000000000E+003,0.7200000000000000E+002,0.1088000000000000E+004,0.1000000000000000E+022,0.7199999999999995E+009,0.5079999999999996E+010,0.4359999999999997E+010,0.7199999999999995E+009,0.1000000000010880E+022
0.2500000000000000E-007,0.0000000000000000E+000,0.2000000000000000E+003,0.1480000000000000E+004,0.1280000000000000E+004,0.2000000000000000E+003,0.3160000000000000E+004,0.1000000000000000E+022,0.1999999999999999E+010,0.1479999999999999E+011,0.1279999999999999E+011,0.1999999999999999E+010,0.1000000000031600E+022
0.3000000000000000E-007,0.0000000000000000E+000,0.5060000000000000E+003,0.3559000000000000E+004,0.3053000000000000E+004,0.5060000000000000E+003,0.7624000000000000E+004,0.1000000000000000E+022,0.5059999999999996E+010,0.3558999999999998E+011,0.3052999999999998E+011,0.5059999999999996E+010,0.1000000000076240E+022
0.3500000000000000E-007,0.0000000000000000E+000,0.1041000000000000E+004,0.7134000000000000E+004,0.6093000000000000E+004,0.1041000000000000E+004,0.1530900000000000E+005,0.1000000000000000E+022,0.1040999999999999E+011,0.7133999999999995E+011,0.6092999999999996E+011,0.1040999999999999E+011,0.1000000000153090E+022
0.3999999999999999E-007,0.0000000000000000E+000,0.1747000000000000E+004,0.1207800000000000E+005,0.1033100000000000E+005,0.1747000000000000E+004,0.2590300000000000E+005,0.1000000000000000E+022,0.1746999999999999E+011,0.1207799999999999E+012,0.1033099999999999E+012,0.1746999999999999E+011,0.1000000000259030E+022
0.4499999999999999E-007,0.0000000000000000E+000,0.2555000000000000E+004,0.1757400000000000E+005,0.1501900000000000E+005,0.2555000000000000E+004,0.3770300000000000E+005,0.1000000000000000E+022,0.2554999999999998E+011,0.1757399999999999E+012,0.1501899999999999E+012,0.2554999999999998E+011,0.1000000000377030E+022
