 wavelength,emission_coefficient,absorption_coefficient
   867.89999999999998      ,   4.8645498496872497E-002 ,   8.5534316040596166E-016
   867.90130130130126      ,   129590269736.57231      ,   2.2786106484542898E-003
   867.90260260260266      ,   1158764814.3678493      ,   2.0374784699808267E-005
   867.90390390390382      ,   1166589229.1594329      ,   2.0512362890657529E-005
   867.90520520520522      ,   1174494239.7384326      ,   2.0651358212745120E-005
   867.90650650650650      ,   1182663012.2188008      ,   2.0794991311097365E-005
   867.90780780780779      ,   1190836187.9857080      ,   2.0938701833284104E-005
   867.90910910910907      ,   1198995359.3300450      ,   2.1082166113014070E-005
   867.91041041041035      ,   1207239842.2611079      ,   2.1227130442789039E-005
   867.91171171171175      ,   1215570841.7234247      ,   2.1373616009380502E-005
   867.91301301301303      ,   1223989584.5838926      ,   2.1521644385025183E-005
   867.91431431431431      ,   1232638794.9293413      ,   2.1673725114804681E-005
   867.91561561561559      ,   1241399280.1710782      ,   2.1827762412497064E-005
   867.91691691691688      ,   1250094898.9891925      ,   2.1980659151381334E-005
   867.91821821821827      ,   1258883516.3376815      ,   2.2135191101319902E-005
   867.91951951951944      ,   1267766476.6122501      ,   2.2291381901081126E-005
   867.92082082082084      ,   1276745149.2128241      ,   2.2449255629087411E-005
   867.92212212212212      ,   1285915864.9313431      ,   2.2610506088189336E-005
   867.92342342342340      ,   1295319147.7918477      ,   2.2775845820099210E-005
   867.92472472472468      ,   1304600040.9248836      ,   2.2939033549880852E-005
   867.92602602602597      ,   1313982517.4894030      ,   2.3104007440684890E-005
   867.92732732732736      ,   1323468080.9252188      ,   2.3270793927782836E-005
   867.92862862862864      ,   1333058263.2700782      ,   2.3439419949289204E-005
   867.92992992992981      ,   1342796197.7659791      ,   2.3610643925297706E-005
   867.93123123123121      ,   1352904436.9483182      ,   2.3788379039861642E-005
   867.93253253253249      ,   1362825193.0096219      ,   2.3962817602633025E-005
   867.93383383383389      ,   1372857144.8175697      ,   2.4139211341613871E-005
   867.93513513513517      ,   1383001978.8526838      ,   2.4317589910515704E-005
   867.93643643643634      ,   1393261413.8700683      ,   2.4497983530540250E-005
   867.93773773773773      ,   1403637202.2222712      ,   2.4680423013639532E-005
   867.93903903903902      ,   1414480986.5289767      ,   2.4871091359658323E-005
   867.94034034034041      ,   1425122414.7474597      ,   2.5058201639640663E-005
   867.94164164164158      ,   1435866218.0519524      ,   2.5247112000459265E-005
   867.94294294294286      ,   1446733907.6830747      ,   2.5438200678397117E-005
   867.94424424424426      ,   1457727417.4997840      ,   2.5631501676868388E-005
   867.94554554554554      ,   1468848720.0853214      ,   2.5827049680183763E-005
   867.94684684684682      ,   1480405574.0412068      ,   2.6030256067052483E-005
   867.94814814814811      ,   1491887030.1180134      ,   2.6232136718505348E-005
   867.94944944944939      ,   1503412844.5197766      ,   2.6434797330921327E-005
   867.95075075075079      ,   1515074943.2698905      ,   2.6639854257258102E-005
   867.95205205205195      ,   1526875509.4173491      ,   2.6847345882486192E-005
   867.95335335335335      ,   1538816770.8359709      ,   2.7057311379739638E-005
   867.95465465465463      ,   1551154842.5590823      ,   2.7274254068930913E-005
   867.95595595595603      ,   1563564249.9803395      ,   2.7492451067429055E-005
   867.95725725725720      ,   1575951228.0636706      ,   2.7710253686562599E-005
   867.95855855855848      ,   1588488503.7269199      ,   2.7930699016964011E-005
