 wavelength,emission_coefficient,absorption_coefficient
   777.25000000000000      ,   2.2940531500821097E-002 ,   2.9343624713800640E-016
   777.25140280561129      ,   121764540696.41615      ,   1.5573725042691644E-003
   777.25280561122258      ,   1581660616.9457488      ,   2.0229870454368109E-005
   777.25420841683376      ,   1607527439.3625348      ,   2.0560694159452405E-005
   777.25561122244494      ,   1634430780.4774055      ,   2.0904774077205436E-005
   777.25701402805612      ,   1701087525.4291079      ,   2.1757925015218731E-005
   777.25841683366741      ,   1757741137.7995865      ,   2.2482966435290620E-005
   777.25981963927859      ,   1786939337.6426511      ,   2.2856401792433203E-005
   777.26122244488988      ,   1816946295.7255118      ,   2.3240180511489024E-005
   777.26262525050106      ,   1847793646.6239748      ,   2.3634707167306221E-005
   777.26402805611224      ,   1879653502.7266552      ,   2.4042182998375538E-005
   777.26543086172353      ,   1912793713.3362222      ,   2.4466033623689962E-005
   777.26683366733471      ,   1946410896.3053451      ,   2.4895984149272436E-005
   777.26823647294600      ,   1981012773.4409595      ,   2.5338528060246575E-005
   777.26963927855718      ,   2016642062.7262826      ,   2.5794211697987950E-005
   777.27104208416847      ,   2053341790.0535593      ,   2.6263585320206151E-005
   777.27244488977954      ,   2091160728.7545974      ,   2.6747272746712046E-005
   777.27384769539083      ,   2130730760.5274017      ,   2.7253355197790554E-005
   777.27525050100201      ,   2171149757.9134822      ,   2.7770295174191564E-005
   777.27665330661330      ,   2212665473.0726085      ,   2.8301261072859029E-005
   777.27805611222448      ,   2255508640.0500321      ,   2.8849203900460536E-005
   777.27945891783577      ,   2299739001.2990055      ,   2.9414887701682337E-005
   777.28086172344695      ,   2345420104.0564265      ,   2.9999125186511519E-005
   777.28226452905812      ,   2392923057.2139826      ,   3.0606662597506171E-005
   777.28366733466942      ,   2442387865.9117098      ,   3.1239290454658355E-005
   777.28507014028060      ,   2492909117.1631861      ,   3.1885429017304813E-005
   777.28647294589189      ,   2545178587.0670538      ,   3.2553925682337191E-005
   777.28787575150307      ,   2599281164.2783027      ,   3.3245866087379743E-005
   777.28927855711424      ,   2655306990.7592573      ,   3.3962403054205521E-005
   777.29068136272542      ,   2713357491.1918459      ,   3.4704833794493923E-005
   777.29208416833671      ,   2774568404.9627252      ,   3.5487683321844984E-005
   777.29348697394801      ,   2837205472.8408208      ,   3.6288771924699910E-005
   777.29488977955918      ,   2902049187.8413229      ,   3.7118081332267431E-005
   777.29629258517048      ,   2969369437.2168231      ,   3.7979063238161435E-005
   777.29769539078154      ,   3039298236.3819723      ,   3.8873405980447704E-005
   777.29909819639283      ,   3111978813.2910385      ,   3.9802941332655510E-005
   777.30050100200401      ,   3188205311.1088042      ,   4.0777825684312188E-005
   777.30190380761530      ,   3267803062.8048635      ,   4.1795825130549081E-005
   777.30330661322648      ,   3349818012.6841965      ,   4.2844737942528730E-005
   777.30470941883777      ,   3435263900.9877777      ,   4.3937529070791975E-005
   777.30611222444895      ,   3524339821.7782459      ,   4.5076744716714816E-005
   777.30751503006013      ,   3617259411.5569777      ,   4.6265117063700766E-005
   777.30891783567142      ,   3714260475.1504712      ,   4.7505687524315948E-005
   777.31032064128260      ,   3817564470.7984095      ,   4.8826866282451436E-005
   777.31172344689389      ,   3923703013.0363216      ,   5.0184295831956872E-005
   777.31312625250507      ,   4034692079.1279078      ,   5.1603758614684438E-005
   777.31452905811636      ,   4150882964.5167632      ,   5.3089747389332578E-005
   777.31593186372743      ,   4272610859.6546111      ,   5.4646548882370251E-005
   777.31733466933872      ,   4400242762.7788906      ,   5.6278856687843588E-005
   777.31873747494990      ,   4535601757.8280687      ,   5.8009986231650057E-005
   777.32014028056119      ,   4677726278.2265511      ,   5.9827639862149866E-005
   777.32154308617248      ,   4825859818.6045132      ,   6.1722142450783919E-005
   777.32294589178366      ,   4981707123.2718487      ,   6.3715296107126444E-005
   777.32434869739484      ,   5145817299.3204546      ,   6.5814123318786393E-005
   777.32575150300602      ,   5318789555.3327265      ,   6.8026287327969918E-005
   777.32715430861731      ,   5501596591.0061893      ,   7.0364228080662679E-005
   777.32855711422849      ,   5697944916.4634113      ,   7.2875347982532705E-005
   777.32995991983978      ,   5902165533.2000532      ,   7.5487145842599340E-005
   777.33136272545096      ,   6118322769.2044106      ,   7.8251600522474365E-005
   777.33276553106214      ,   6347372530.0958805      ,   8.1180937019778695E-005
   777.33416833667343      ,   6590369492.8056831      ,   8.4288643509547898E-005
   777.33557114228461      ,   6848487608.0018816      ,   8.7589733680397297E-005
   777.33697394789590      ,   7126585534.2899075      ,   9.1146344662975919E-005
   777.33837675350708      ,   7421645120.3296967      ,   9.4919877100014096E-005
   777.33977955911837      ,   7734342974.8289232      ,   9.8918984043752263E-005
   777.34118236472943      ,   8068394844.7296009      ,   1.0319118608516314E-004
   777.34258517034073      ,   8425812309.0583735      ,   1.0776220913344936E-004
   777.34398797595190      ,   8808850192.7369022      ,   1.1266089000374187E-004
   777.34539078156320      ,   9221630279.0516243      ,   1.1793994199259524E-004
   777.34679358717449      ,   9671514893.8344994      ,   1.2369352124746362E-004
   777.34819639278567      ,   10149386664.234524      ,   1.2980502574332992E-004
   777.34959919839685      ,   10665249082.407030      ,   1.3640238976273203E-004
   777.35100200400802      ,   11223162608.058678      ,   1.4353754216295418E-004
   777.35240480961932      ,   11827692577.351847      ,   1.5126886862010732E-004
   777.35380761523049      ,   12483984063.357483      ,   1.5966216921058671E-004
   777.35521042084179      ,   13208889404.690767      ,   1.6893296717569235E-004
   777.35661322645296      ,   13993195193.308149      ,   1.7896343225327210E-004
   777.35801603206426      ,   14845854646.529266      ,   1.8986806659921593E-004
   777.35941883767532      ,   15778926699.092560      ,   2.0180109099336236E-004
   777.36082164328661      ,   16802282505.577206      ,   2.1488874673738817E-004
   777.36222444889790      ,   17927837433.303894      ,   2.2928341849636351E-004
   777.36362725450908      ,   19178630166.301048      ,   2.4527974609824378E-004
   777.36503006012038      ,   20584190733.161816      ,   2.6325538616779604E-004
   777.36643286573155      ,   22149195658.570919      ,   2.8327014575093852E-004
   777.36783567134273      ,   23952885188.418739      ,   3.0633742158596444E-004
   777.36923847695391      ,   26111610019.409996      ,   3.3394521204673004E-004
   777.37064128256520      ,   28848097321.769482      ,   3.6894195446168153E-004
   777.37204408817638      ,   32589026031.822018      ,   4.1678440672126166E-004
   777.37344689378767      ,   38285973926.019341      ,   4.8964220990252352E-004
   777.37484969939896      ,   47398820348.048439      ,   6.0618562524434390E-004
   777.37625250501003      ,   62785279474.695473      ,   8.0296169726074040E-004
   777.37765531062132      ,   89439602209.217239      ,   1.1438414414281664E-003
   777.37905811623250      ,   135784963733.93146      ,   1.7365480703826547E-003
   777.38046092184379      ,   215584639138.02106      ,   2.7570988434596410E-003
   777.38186372745497      ,   352233024757.59222      ,   4.5046825437885267E-003
   777.38326653306626      ,   581889150134.44922      ,   7.4417336735992006E-003
   777.38466933867733      ,   950576390807.37537      ,   1.2156840948986962E-002
   777.38607214428862      ,   1529582331404.0703      ,   1.9561694732979633E-002
   777.38747494989991      ,   2412238793235.7632      ,   3.0849907103397956E-002
   777.38887775551109      ,   3717441632265.8857      ,   4.7542026225854468E-002
   777.39028056112238      ,   5588569638715.2090      ,   7.1471710260267038E-002
   777.39168336673356      ,   8252541943867.4766      ,  0.10554100710429842     
   777.39308617234474      ,   11795487333251.162      ,  0.15085140987210074     
