001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-nPart-Spec-005,007-CollRate001+001,008-CollRate001+002,009-CollRate001+003,010-CollRate001+004,011-CollRate002+002,012-CollRate002+003,013-CollRate002+004,014-CollRate003+003,015-CollRate003+004,016-CollRate004+004,017-TotalCollRate
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497400000000000E+005,0.2497400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.9999999999999999E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.6692000000000000E+005,0.6692000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1426200000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9266000000000000E+015,0.0000000000000000E+000,0.4947000000000000E+015,0.0000000000000000E+000,0.2847500000000000E+016
0.2000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7784600000000000E+005,0.7784600000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1435500000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9544000000000000E+015,0.0000000000000000E+000,0.4826000000000000E+015,0.0000000000000000E+000,0.2872500000000000E+016
0.3000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.8516400000000000E+005,0.8516400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1438000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9524000000000000E+015,0.0000000000000000E+000,0.4945000000000000E+015,0.0000000000000000E+000,0.2884900000000000E+016
0.4000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9001000000000000E+005,0.9001000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1412400000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9388000000000000E+015,0.0000000000000000E+000,0.4913000000000000E+015,0.0000000000000000E+000,0.2842500000000000E+016
0.5000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9336800000000000E+005,0.9336800000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1431100000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9555000000000000E+015,0.0000000000000000E+000,0.4872000000000000E+015,0.0000000000000000E+000,0.2873800000000000E+016
0.6000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9554000000000000E+005,0.9554000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1409600000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9454000000000000E+015,0.0000000000000000E+000,0.4885000000000000E+015,0.0000000000000000E+000,0.2843500000000000E+016
0.7000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9701600000000000E+005,0.9701600000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1431100000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9514000000000000E+015,0.0000000000000000E+000,0.4902000000000000E+015,0.0000000000000000E+000,0.2872700000000000E+016
0.8000000000000001E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9796300000000000E+005,0.9796300000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1424300000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9552000000000000E+015,0.0000000000000000E+000,0.4921000000000000E+015,0.0000000000000000E+000,0.2871600000000000E+016
0.9000000000000001E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9860100000000000E+005,0.9860100000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1413600000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9329000000000000E+015,0.0000000000000000E+000,0.4972000000000000E+015,0.0000000000000000E+000,0.2843700000000000E+016
0.1000000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9905100000000000E+005,0.9905100000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1428400000000001E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9627000000000009E+015,0.0000000000000000E+000,0.4973000000000004E+015,0.0000000000000000E+000,0.2888400000000002E+016
