001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-nPart-Spec-005,007-CollRate001+001,008-CollRate001+002,009-CollRate001+003,010-CollRate001+004,011-CollRate002+002,012-CollRate002+003,013-CollRate002+004,014-CollRate003+003,015-CollRate003+004,016-CollRate004+004,017-TotalCollRate
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.9999999999999999E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1408000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9438000000000000E+015,0.0000000000000000E+000,0.4970000000000000E+015,0.0000000000000000E+000,0.2848800000000000E+016
0.2000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1416800000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9450000000000000E+015,0.0000000000000000E+000,0.4766000000000000E+015,0.0000000000000000E+000,0.2838400000000000E+016
0.3000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1429400000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9260000000000000E+015,0.0000000000000000E+000,0.4858000000000000E+015,0.0000000000000000E+000,0.2841200000000000E+016
0.4000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1429600000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9440000000000000E+015,0.0000000000000000E+000,0.4940000000000000E+015,0.0000000000000000E+000,0.2867600000000000E+016
0.5000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1419400000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9532000000000000E+015,0.0000000000000000E+000,0.4984000000000000E+015,0.0000000000000000E+000,0.2871000000000000E+016
0.6000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1427000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9470000000000000E+015,0.0000000000000000E+000,0.4842000000000000E+015,0.0000000000000000E+000,0.2858200000000000E+016
0.7000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1418000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9338000000000000E+015,0.0000000000000000E+000,0.4886000000000000E+015,0.0000000000000000E+000,0.2840400000000000E+016
0.8000000000000001E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1407600000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9748000000000000E+015,0.0000000000000000E+000,0.4924000000000000E+015,0.0000000000000000E+000,0.2874800000000000E+016
0.9000000000000001E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1405400000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9598000000000000E+015,0.0000000000000000E+000,0.4898000000000000E+015,0.0000000000000000E+000,0.2855000000000000E+016
0.1000000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1431800000000001E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9350000000000008E+015,0.0000000000000000E+000,0.4774000000000004E+015,0.0000000000000000E+000,0.2844200000000002E+016
