001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-nPart-Spec-005,007-CollRate001+001,008-CollRate001+002,009-CollRate001+003,010-CollRate001+004,011-CollRate002+002,012-CollRate002+003,013-CollRate002+004,014-CollRate003+003,015-CollRate003+004,016-CollRate004+004,017-TotalCollRate
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497400000000000E+005,0.2497400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.9999999999999999E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497400000000000E+005,0.2497400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1420000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9392000000000000E+015,0.0000000000000000E+000,0.4908000000000000E+015,0.0000000000000000E+000,0.2850000000000000E+016
0.2000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497400000000000E+005,0.2497400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1437200000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9432000000000000E+015,0.0000000000000000E+000,0.5032000000000000E+015,0.0000000000000000E+000,0.2883600000000000E+016
0.3000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497400000000000E+005,0.2497400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1419600000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9300000000000000E+015,0.0000000000000000E+000,0.4896000000000000E+015,0.0000000000000000E+000,0.2839200000000000E+016
0.4000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497400000000000E+005,0.2497400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1407600000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9600000000000000E+015,0.0000000000000000E+000,0.5216000000000001E+015,0.0000000000000000E+000,0.2889200000000000E+016
0.5000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497400000000000E+005,0.2497400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1406800000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9456000000000000E+015,0.0000000000000000E+000,0.5072000000000000E+015,0.0000000000000000E+000,0.2859600000000000E+016
0.6000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497400000000000E+005,0.2497400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1428800000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9580000000000000E+015,0.0000000000000000E+000,0.4936000000000000E+015,0.0000000000000000E+000,0.2880400000000000E+016
0.7000000000000000E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497400000000000E+005,0.2497400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1411200000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9836000000000000E+015,0.0000000000000000E+000,0.4816000000000000E+015,0.0000000000000000E+000,0.2876400000000000E+016
0.8000000000000001E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497400000000000E+005,0.2497400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1406800000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9484000000000000E+015,0.0000000000000000E+000,0.4852000000000000E+015,0.0000000000000000E+000,0.2840400000000000E+016
0.9000000000000001E-010,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497400000000000E+005,0.2497400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1424000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9572000000000000E+015,0.0000000000000000E+000,0.4860000000000000E+015,0.0000000000000000E+000,0.2867200000000000E+016
0.1000000000000000E-009,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497400000000000E+005,0.2497400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1409200000000001E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.9560000000000009E+015,0.0000000000000000E+000,0.5072000000000004E+015,0.0000000000000000E+000,0.2872400000000002E+016
