001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003
0.0000000000000000E+000,0.4140999999999998E+021,0.0000000000000000E+000,0.4140999999999998E+021
0.9999999999999985E-008,0.4138029999999998E+021,0.2969999999999999E+018,0.4140999999999998E+021
0.1999999999999999E-007,0.4134789999999998E+021,0.6209999999999997E+018,0.4140999999999998E+021
0.3000000000000008E-007,0.4131919999999998E+021,0.9079999999999996E+018,0.4140999999999998E+021
0.4000000000000017E-007,0.4129139999999998E+021,0.1185999999999999E+019,0.4140999999999998E+021
0.5000000000000026E-007,0.4125979999999998E+021,0.1501999999999999E+019,0.4140999999999998E+021
0.6000000000000033E-007,0.4123289999999998E+021,0.1770999999999999E+019,0.4140999999999998E+021
0.6999999999999975E-007,0.4120519999999998E+021,0.2047999999999999E+019,0.4140999999999998E+021
0.7999999999999918E-007,0.4117429999999998E+021,0.2356999999999999E+019,0.4140999999999998E+021
0.8999999999999861E-007,0.4114609999999998E+021,0.2638999999999999E+019,0.4140999999999998E+021
0.1000000000000000E-006,0.4111539999999998E+021,0.2945999999999998E+019,0.4140999999999998E+021
