001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003
0.0000000000000000E+000,0.4140999999999998E+021,0.0000000000000000E+000,0.4140999999999998E+021
0.9999999999999985E-008,0.4140999999999998E+021,0.1191999999999999E+019,0.4152919999999998E+021
0.1999999999999999E-007,0.4140999999999998E+021,0.2353999999999999E+019,0.4164539999999998E+021
0.3000000000000008E-007,0.4140999999999998E+021,0.3578999999999998E+019,0.4176789999999998E+021
0.4000000000000017E-007,0.4140999999999998E+021,0.4916999999999998E+019,0.4190169999999998E+021
0.5000000000000026E-007,0.4140999999999998E+021,0.6364999999999997E+019,0.4204649999999998E+021
0.6000000000000033E-007,0.4140999999999998E+021,0.7625999999999996E+019,0.4217259999999998E+021
0.6999999999999975E-007,0.4140999999999998E+021,0.8885999999999996E+019,0.4229859999999998E+021
0.7999999999999918E-007,0.4140999999999998E+021,0.9998999999999996E+019,0.4240989999999998E+021
0.8999999999999861E-007,0.4140999999999998E+021,0.1125599999999999E+020,0.4253559999999998E+021
0.1000000000000000E-006,0.4140999999999998E+021,0.1250599999999999E+020,0.4266059999999998E+021
