x,30000K,20000K,10000K
1.06592e-10,29911.5,20000,10044.2
1.06605e-10,29911.5,20000,10044.2
1.12849e-10,29931.2,20000,10044.2
1.21145e-10,29955.8,20000,10044.2
1.22887e-10,29955.8,20000,10044.2
1.30084e-10,29955.8,20000,10044.2
1.39648e-10,29955.8,20000,10044.2
1.41656e-10,29955.8,20000,10044.2
1.49952e-10,29955.8,19974.7,10044.2
1.56465e-10,29955.8,19955.8,10044.2
1.60977e-10,29955.8,19955.8,10044.2
1.72855e-10,29955.8,19955.8,10044.2
1.80362e-10,29955.8,19955.8,10037.3
1.85563e-10,29955.8,19955.8,10032.6
2.07909e-10,29916.4,19955.8,10014
2.10872e-10,29911.5,19955.8,10011.7
2.26432e-10,29928.5,19955.8,10000
2.39664e-10,29942.1,19955.8,10000
2.53684e-10,29955.8,19955.8,10000
2.61016e-10,29955.8,19955.8,10000
2.9243e-10,29955.8,19955.8,10000
3.18463e-10,29955.8,19955.8,10000
3.27646e-10,29955.8,19955.8,10000
3.77688e-10,29955.8,19955.8,10000
3.88579e-10,29955.8,19955.8,10000
4.17199e-10,29955.8,19949.9,10000
5.23698e-10,29911.5,19931.3,10000
6.03684e-10,29911.5,19919.7,10000
6.66837e-10,29911.5,19911.5,10000
6.76382e-10,29911.5,19910,10000
1.00694e-09,29798.8,19867.3,10000
1.08097e-09,29778.8,19849.6,10000
1.12842e-09,29767.6,19838.9,10000
1.30076e-09,29730.7,19803.5,10000
1.43638e-09,29705,19778.8,10000
1.52022e-09,29690.3,19759.1,10000
1.85493e-09,29612.8,19690.3,10000
1.90818e-09,29601.8,19679.9,10000
2.23237e-09,29540.7,19622.4,10000
2.36163e-09,29518.8,19601.8,9980.52
2.39513e-09,29513.3,19597.4,9975.65
2.53684e-09,29477.5,19579.5,9955.75
2.72215e-09,29433.5,19557.5,9950.65
2.96374e-09,29380.5,19531,9944.49
3.13771e-09,29360.8,19513.3,9940.36
3.36797e-09,29336.3,19469.1,9935.23
3.61649e-09,29262.3,19424.8,9930.08
3.82685e-09,29203.5,19387.7,9925.99
4.41106e-09,29159.3,19294.5,9915.7
4.6741e-09,29068.9,19256.5,9911.5
4.73654e-09,29048.2,19247.8,9909.85
5.22941e-09,28893.8,19179.2,9897.52
5.38223e-09,28873.9,19159.3,9893.94
5.94229e-09,28805.3,19073.6,9881.61
6.66795e-09,28645.6,18973.8,9867.26
