001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-NumDens-Spec-005,007-NumDens-Spec-006,008-TempTra-001,009-TempTra-002,010-TempTra-003,011-TempTra-004,012-TempTra-005,013-TempTra-006,014-TempVib001,015-TempVib002,016-TempVib003,017-TempVib004,018-TempVib005,019-XiVibMean001,020-XiVibMean002,021-XiVibMean003,022-XiVibMean004,023-XiVibMean005,024-TempRot001,025-TempRot002,026-TempRot003,027-TempRot004,028-TempRot005,029-TempTotal001,030-TempTotal002,031-TempTotal003,032-TempTotal004,033-TempTotal005,034-TempTotal006
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1935536944806061E+024,0.5144781426821520E+023,0.0000000000000000E+000,0.2450015087488213E+024,0.0000000000000000E+000,0.0000000000000000E+000,0.3005082716158227E+005,0.3023341938152726E+005,0.0000000000000000E+000,0.3008916966268165E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2991625552139451E+005,0.3020134051058106E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1888717178564868E+001,0.1925688857449134E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2985091379043164E+005,0.2986313628248379E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2995589010814851E+005,0.3011756951605653E+005,0.0000000000000000E+000,0.2998984113233414E+005
0.2000000000000000E-009,0.2002055229816722E+021,0.1081109824101030E+022,0.1934535917191153E+024,0.5090725935616469E+023,0.0000000000000000E+000,0.2456421664223627E+024,0.2681418191558787E+005,0.2759298830149095E+005,0.3002557986886600E+005,0.3012337595758996E+005,0.0000000000000000E+000,0.3003252367916242E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2993176892522535E+005,0.3018810527747351E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1888773745521676E+001,0.1925656691441380E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2978524596784538E+005,0.2979924348405897E+005,0.0000000000000000E+000,0.2681418191558787E+005,0.2759298830149095E+005,0.2993008312681377E+005,0.3004777034754827E+005,0.0000000000000000E+000,0.2994164733463340E+005
0.4000000000000000E-009,0.3904007698142607E+021,0.2152209372052976E+022,0.1933584940956990E+024,0.5037170958218872E+023,0.0000000000000000E+000,0.2462728138197549E+024,0.2518038949979440E+005,0.2627843295608793E+005,0.3002599590573264E+005,0.3007910318771826E+005,0.0000000000000000E+000,0.2999642640564917E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2988272777507559E+005,0.3012650948671688E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1888594728717898E+001,0.1925506626191616E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2975056510034915E+005,0.2978413059538960E+005,0.0000000000000000E+000,0.2518038949979440E+005,0.2627843295608793E+005,0.2990674995217194E+005,0.3000709920754353E+005,0.0000000000000000E+000,0.2988807428520296E+005
0.6000000000000000E-009,0.6156319831686420E+021,0.3178262677334046E+022,0.1932433759199845E+024,0.4985618036051091E+023,0.5005138074541805E+019,0.2468984560790727E+024,0.2434252255207352E+005,0.2677355874208864E+005,0.3005089920117094E+005,0.3001513672847570E+005,0.0000000000000000E+000,0.2998664648149135E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2984500616207691E+005,0.3008734543269026E+005,0.3147634360879520E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1888456639631430E+001,0.1925410895760405E+001,0.1914250293771855E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2967368998830790E+005,0.2963896170699815E+005,0.4547406382864215E+005,0.2434252255207352E+005,0.2677355874208864E+005,0.2988493481142946E+005,0.2992657611794686E+005,0.2186813048892405E+005,0.2983930914980982E+005
0.8000000000000000E-009,0.8008220919266886E+021,0.4284398191807785E+022,0.1931482782965682E+024,0.4930061003423677E+023,0.1001027614908361E+020,0.2475441188906886E+024,0.2449620649500907E+005,0.2731252534606971E+005,0.3002777041766807E+005,0.2995037694569073E+005,0.2051549055199303E+005,0.2994708275808576E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2979824534572280E+005,0.3009118162172482E+005,0.3284657174224074E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1888284984597696E+001,0.1925420283593841E+001,0.1917777005598174E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2964785241528079E+005,0.2950473453895603E+005,0.7874296216038869E+005,0.2449620649500907E+005,0.2731252534606971E+005,0.2985454228404909E+005,0.2986082618792983E+005,0.4076812475286923E+005,0.2979490427590089E+005
0.1000000000000000E-008,0.1011037891057444E+022,0.5395538844356065E+022,0.1930381652589283E+024,0.4874003456988809E+023,0.2002055229816722E+020,0.2482047971165281E+024,0.2400236490382620E+005,0.2795592535132151E+005,0.2997972209740233E+005,0.2978808543049905E+005,0.3155042172329995E+005,0.2987387506959071E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2972508821793872E+005,0.2999253709073714E+005,0.2188184105449025E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1888015368908503E+001,0.1925178129767855E+001,0.1877447144310090E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2969640945680562E+005,0.2954892831286430E+005,0.5742840280166017E+005,0.2400236490382620E+005,0.2795592535132151E+005,0.2982766408025660E+005,0.2977585348948655E+005,0.3643649533250729E+005,0.2975360598404082E+005
0.1200000000000000E-008,0.1191222861740949E+022,0.6446617840009844E+022,0.1929480727735866E+024,0.4821449507206120E+023,0.2002055229816722E+020,0.2488204290996967E+024,0.2429774024086125E+005,0.2842837748147072E+005,0.2997984142948160E+005,0.2967711928116584E+005,0.2618086625925349E+005,0.2985347721884583E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2964946871000300E+005,0.2980812664416994E+005,0.2188184105449025E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1887735307545758E+001,0.1924721193982586E+001,0.1877447144310090E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2971200279515198E+005,0.2944495124505277E+005,0.5742840280166017E+005,0.2429774024086125E+005,0.2842837748147072E+005,0.2981152289456363E+005,0.2964647784187312E+005,0.3409425030261033E+005,0.2971765369241167E+005
0.1400000000000000E-008,0.1421459213169872E+022,0.7347542693427369E+022,0.1928279494597976E+024,0.4775902750727789E+023,0.3003082844725083E+020,0.2493860097021200E+024,0.2437488150441725E+005,0.2843562150411255E+005,0.2999648059151633E+005,0.2958114423080794E+005,0.4096260792537043E+005,0.2984023248669312E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2962750732015469E+005,0.2978514392138506E+005,0.2051053273817972E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1887653709650972E+001,0.1924663855596020E+001,0.1869439496743317E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2963410344131728E+005,0.2932597170983166E+005,0.4414541628376050E+005,0.2437488150441725E+005,0.2843562150411255E+005,0.2979013339045793E+005,0.2956414496363761E+005,0.3632346663245616E+005,0.2967686849754945E+005
0.1600000000000000E-008,0.1766813740313257E+022,0.8493719312497442E+022,0.1926427593510395E+024,0.4717342635255650E+023,0.5505651881995985E+020,0.2501317752752267E+024,0.2551543870894971E+005,0.2845122279987489E+005,0.2992799362491511E+005,0.2953142324001687E+005,0.2902292782309156E+005,0.2977168860086478E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2958363415496535E+005,0.2981567188312189E+005,0.2898481906653794E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1887490342644460E+001,0.1924739999179677E+001,0.1906997021767707E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2957969170048906E+005,0.2930136131849364E+005,0.4226094488569314E+005,0.2551543870894971E+005,0.2845122279987489E+005,0.2973248278485730E+005,0.2954398412895431E+005,0.3284562540885000E+005,0.2962432330479062E+005
0.1800000000000000E-008,0.1946998710996762E+022,0.9574829136598471E+022,0.1925426565895487E+024,0.4662286116435691E+023,0.7507707111812707E+020,0.2507624226726189E+024,0.2543645897462250E+005,0.2822744602399814E+005,0.2988306932698028E+005,0.2941094217642744E+005,0.3842793961635099E+005,0.2970010630910177E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2966121521610929E+005,0.2972015839013863E+005,0.2654281409571432E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1887778903260019E+001,0.1924501253000369E+001,0.1898589946728246E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2951986425373649E+005,0.2918630749500129E+005,0.4153647335486717E+005,0.2543645897462250E+005,0.2822744602399814E+005,0.2971680068324532E+005,0.2943200039023305E+005,0.3605819268570396E+005,0.2957564617061750E+005
