001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-nPart-Spec-005,007-CollRate001+001,008-CollRate001+002,009-CollRate001+003,010-CollRate001+004,011-CollRate002+002,012-CollRate002+003,013-CollRate002+004,014-CollRate003+003,015-CollRate003+004,016-CollRate004+004,017-TotalCollRate
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.5274700000000000E+005,0.5274700000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1924000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4320000000000000E+016,0.0000000000000000E+000,0.1451000000000000E+016,0.0000000000000000E+000,0.7695000000000000E+016
0.2000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.5543400000000000E+005,0.5543400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1896000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4349000000000000E+016,0.0000000000000000E+000,0.1410000000000000E+016,0.0000000000000000E+000,0.7655000000000000E+016
0.3000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.5812300000000000E+005,0.5812300000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1906500000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4262000000000000E+016,0.0000000000000000E+000,0.1432500000000000E+016,0.0000000000000000E+000,0.7601000000000000E+016
0.4000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.6077400000000000E+005,0.6077400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1857000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4231500000000000E+016,0.0000000000000000E+000,0.1430500000000000E+016,0.0000000000000000E+000,0.7519000000000000E+016
0.5000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.6320500000000000E+005,0.6320500000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1903500000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4358000000000000E+016,0.0000000000000000E+000,0.1348500000000000E+016,0.0000000000000000E+000,0.7610000000000000E+016
0.5999999999999999E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.6571700000000000E+005,0.6571700000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1765000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4262500000000000E+016,0.0000000000000000E+000,0.1425500000000000E+016,0.0000000000000000E+000,0.7453000000000000E+016
0.6999999999999999E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.6824000000000000E+005,0.6824000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1803500000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4378000000000000E+016,0.0000000000000000E+000,0.1439500000000000E+016,0.0000000000000000E+000,0.7621000000000000E+016
0.8000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7071000000000000E+005,0.7071000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1848500000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4299500000000000E+016,0.0000000000000000E+000,0.1446500000000000E+016,0.0000000000000000E+000,0.7594500000000000E+016
0.9000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7309400000000000E+005,0.7309400000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1877500000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4341000000000000E+016,0.0000000000000000E+000,0.1419000000000000E+016,0.0000000000000000E+000,0.7637500000000000E+016
0.9999999999999999E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7532900000000000E+005,0.7532900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1793000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4325000000000001E+016,0.0000000000000000E+000,0.1366000000000000E+016,0.0000000000000000E+000,0.7484000000000002E+016
