001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-nPart-Spec-005,007-CollRate001+001,008-CollRate001+002,009-CollRate001+003,010-CollRate001+004,011-CollRate002+002,012-CollRate002+003,013-CollRate002+004,014-CollRate003+003,015-CollRate003+004,016-CollRate004+004,017-TotalCollRate
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9989900000000000E+005,0.9989900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9989900000000000E+005,0.9989900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1895000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4304000000000000E+016,0.0000000000000000E+000,0.1389000000000000E+016,0.0000000000000000E+000,0.7588000000000000E+016
0.2000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9989900000000000E+005,0.9989900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1878000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4338000000000000E+016,0.0000000000000000E+000,0.1362000000000000E+016,0.0000000000000000E+000,0.7578000000000000E+016
0.3000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9989900000000000E+005,0.9989900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1893000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4346000000000000E+016,0.0000000000000000E+000,0.1418000000000000E+016,0.0000000000000000E+000,0.7657000000000000E+016
0.4000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9989900000000000E+005,0.9989900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1897000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4319000000000000E+016,0.0000000000000000E+000,0.1394000000000000E+016,0.0000000000000000E+000,0.7610000000000000E+016
0.5000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9989900000000000E+005,0.9989900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1832000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4357000000000000E+016,0.0000000000000000E+000,0.1400000000000000E+016,0.0000000000000000E+000,0.7589000000000000E+016
0.5999999999999999E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9989900000000000E+005,0.9989900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1861000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4273000000000000E+016,0.0000000000000000E+000,0.1418000000000000E+016,0.0000000000000000E+000,0.7552000000000000E+016
0.6999999999999999E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9989900000000000E+005,0.9989900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1869000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4292000000000000E+016,0.0000000000000000E+000,0.1384000000000000E+016,0.0000000000000000E+000,0.7545000000000000E+016
0.8000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9989900000000000E+005,0.9989900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1782000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4210000000000000E+016,0.0000000000000000E+000,0.1389000000000000E+016,0.0000000000000000E+000,0.7381000000000000E+016
0.9000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9989900000000000E+005,0.9989900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1842000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4307000000000000E+016,0.0000000000000000E+000,0.1380000000000000E+016,0.0000000000000000E+000,0.7529000000000000E+016
0.9999999999999999E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9989900000000000E+005,0.9989900000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1838000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4387000000000001E+016,0.0000000000000000E+000,0.1393000000000000E+016,0.0000000000000000E+000,0.7618000000000002E+016
