001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-nPart-Spec-005,007-CollRate001+001,008-CollRate001+002,009-CollRate001+003,010-CollRate001+004,011-CollRate002+002,012-CollRate002+003,013-CollRate002+004,014-CollRate003+003,015-CollRate003+004,016-CollRate004+004,017-TotalCollRate
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1850000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4338000000000000E+016,0.0000000000000000E+000,0.1442000000000000E+016,0.0000000000000000E+000,0.7630000000000000E+016
0.2000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1896000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4290000000000000E+016,0.0000000000000000E+000,0.1360000000000000E+016,0.0000000000000000E+000,0.7546000000000000E+016
0.3000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1870000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4210000000000000E+016,0.0000000000000000E+000,0.1410000000000000E+016,0.0000000000000000E+000,0.7490000000000000E+016
0.4000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1820000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4352000000000000E+016,0.0000000000000000E+000,0.1414000000000000E+016,0.0000000000000000E+000,0.7586000000000000E+016
0.5000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1896000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4290000000000000E+016,0.0000000000000000E+000,0.1420000000000000E+016,0.0000000000000000E+000,0.7606000000000000E+016
0.5999999999999999E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1786000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4384000000000000E+016,0.0000000000000000E+000,0.1448000000000000E+016,0.0000000000000000E+000,0.7618000000000000E+016
0.6999999999999999E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1814000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4196000000000000E+016,0.0000000000000000E+000,0.1432000000000000E+016,0.0000000000000000E+000,0.7442000000000000E+016
0.8000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1824000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4454000000000000E+016,0.0000000000000000E+000,0.1476000000000000E+016,0.0000000000000000E+000,0.7754000000000000E+016
0.9000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1828000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4360000000000000E+016,0.0000000000000000E+000,0.1458000000000000E+016,0.0000000000000000E+000,0.7646000000000000E+016
0.9999999999999999E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4995000000000000E+005,0.4995000000000000E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1802000000000000E+016,0.0000000000000000E+000,0.0000000000000000E+000,0.4248000000000001E+016,0.0000000000000000E+000,0.1356000000000000E+016,0.0000000000000000E+000,0.7406000000000002E+016
