001-TIME,002-nPart-Spec-001,003-TempTra-001,004-TempVib001,005-XiVibMean001,006-TempRot001,007-TempTotal001
2.00000000000000E-009,1.99790000000000E+004,9.93510210839830E+003,4.98146417375589E+003,1.31544623072330E+001,7.58070472369397E+003,6.16440708754289E+003
4.00000000000000E-009,1.99790000000000E+004,9.84913281786544E+003,4.98779346664367E+003,1.31598313627967E+001,7.63031225771584E+003,6.16272940426332E+003
6.00000000000000E-009,1.99790000000000E+004,9.79062256211503E+003,4.99205477274634E+003,1.31634395827610E+001,7.66390614794910E+003,6.16153467727637E+003
8.00000000000000E-009,1.99790000000000E+004,9.69799702368777E+003,4.99769473670575E+003,1.31682070363254E+001,7.72370474809115E+003,6.15998064340958E+003
1.00000000000000E-008,1.99790000000000E+004,9.62721002162560E+003,5.00352269946381E+003,1.31731236985227E+001,7.76079470158568E+003,6.15841421954288E+003
1.20000000000000E-008,1.99790000000000E+004,9.57801095774855E+003,5.01072932007860E+003,1.31791898426393E+001,7.76848720023592E+003,6.15650861178917E+003
1.40000000000000E-008,1.99790000000000E+004,9.48861223620733E+003,5.01737194429747E+003,1.31847679705142E+001,7.81935873156072E+003,6.15471597009204E+003
1.60000000000000E-008,1.99790000000000E+004,9.42018031174284E+003,5.02413990104876E+003,1.31904382948501E+001,7.84824694846559E+003,6.15285004521183E+003
1.80000000000000E-008,1.99790000000000E+004,9.36565913675395E+003,5.03178518552707E+003,1.31968278718689E+001,7.85867084464507E+003,6.15083875908725E+003
2.00000000000000E-008,1.99790000000000E+004,9.29248809870216E+003,5.03736248322026E+003,1.32014785891526E+001,7.89958699840169E+003,6.14936280615645E+003
2.20000000000000E-008,1.99790000000000E+004,9.24112973124831E+003,5.04331577851075E+003,1.32064330664001E+001,7.91628654075586E+003,6.14775584146325E+003
2.40000000000000E-008,1.99790000000000E+004,9.16306518168601E+003,5.05071039792420E+003,1.32125730429376E+001,7.95157568614381E+003,6.14580891330386E+003
2.60000000000000E-008,1.99790000000000E+004,9.10482161576698E+003,5.05603703055253E+003,1.32169863221974E+001,7.97876360029515E+003,6.14437279320606E+003
2.80000000000000E-008,1.99790000000000E+004,9.04205296760070E+003,5.06167699451194E+003,1.32216504837910E+001,8.00899047626729E+003,6.14290924259896E+003
3.00000000000000E-008,1.99790000000000E+004,9.00158486877120E+003,5.06819428619837E+003,1.32270290407926E+001,8.01149286109709E+003,6.14116647699525E+003
3.20000000000000E-008,1.99790000000000E+004,8.95847682254985E+003,5.07370891762534E+003,1.32315708252974E+001,8.02261623007401E+003,6.13971781717671E+003
3.40000000000000E-008,1.99790000000000E+004,8.89351815574971E+003,5.07828355505909E+003,1.32353319892133E+001,8.06086405048544E+003,6.13849116155047E+003
3.60000000000000E-008,1.99790000000000E+004,8.84452930360579E+003,5.08348485515499E+003,1.32396012902919E+001,8.07990701611520E+003,6.13716572527064E+003
3.80000000000000E-008,1.99790000000000E+004,8.79643054525930E+003,5.08962614924412E+003,1.32446324635863E+001,8.09214213764302E+003,6.13552615233991E+003
