001-TIME,002-TempTra-001,003-TempVib001,004-XiVibMean001,005-TempRot001,006-TempElec001,007-XiElecMean001,008-TempTotal001,009-Pmean,010-Pmax,011-MeanFreePath
0.00000000000000E+000,1.19989459269791E+004,1.49224026057082E+004,1.79479063831722E+000,9.02846984091153E+003,7.99538000223593E+003,6.07050073459475E-001,1.15768449112992E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000
2.00000000000000E-007,1.10620424966161E+004,1.40942438607584E+004,1.78320098412490E+000,1.10400915477564E+004,8.41970400148507E+003,6.28381327931031E-001,1.15616289857855E+004,3.50295156594974E-001,6.05575496880284E-001,3.33888939756425E-005
4.00000000000000E-007,1.12214297367351E+004,1.35969318598786E+004,1.77559124820753E+000,1.11005418605492E+004,8.80019566952623E+003,6.45663446795183E-001,1.15465557152132E+004,3.52371490739197E-001,6.52345461975280E-001,3.33784415518489E-005
5.99999999999999E-007,1.13191676825505E+004,1.30997738255577E+004,1.76743147007350E+000,1.12661466415723E+004,9.15655059130747E+003,6.60420916251511E-001,1.15362990424938E+004,3.51845611546445E-001,6.55097874341715E-001,3.33713232239882E-005
7.99999999999998E-007,1.14002797881253E+004,1.26535479135592E+004,1.75958625529683E+000,1.14346545226965E+004,9.45777718463110E+003,6.71911417502580E-001,1.15306428995324E+004,3.54198673646520E-001,6.08769197819326E-001,3.33673956943485E-005
9.99999999999998E-007,1.13801960841996E+004,1.24060892180104E+004,1.75500358614321E+000,1.15714303126550E+004,9.73197062214363E+003,6.81647902974265E-001,1.15226533658753E+004,3.52763617836066E-001,6.47526153049008E-001,3.33618454022084E-005
1.20000000000000E-006,1.14597239577930E+004,1.21945325811577E+004,1.75094525639444E+000,1.15720703519370E+004,9.91029290351181E+003,6.87633732270350E-001,1.15196630138486E+004,3.53428225078326E-001,6.39393524178442E-001,3.33597672662352E-005
1.40000000000001E-006,1.15143421960608E+004,1.21192635067520E+004,1.74946880437878E+000,1.14667653792402E+004,1.01045454374115E+004,6.93860571566418E-001,1.15123182286302E+004,3.54806509728534E-001,6.22475265888892E-001,3.33546612895410E-005
1.60000000000001E-006,1.15421066457483E+004,1.19469713475320E+004,1.74602252305702E+000,1.15535083677439E+004,1.01895067842464E+004,6.96491493343828E-001,1.15135722063277E+004,3.54173190706720E-001,6.14517346957743E-001,3.33555332099185E-005
1.80000000000002E-006,1.15031477156403E+004,1.18766396928797E+004,1.74458836553097E+000,1.15711585529757E+004,1.04094408161667E+004,7.03051403462513E-001,1.15056557937308E+004,3.53951282281732E-001,6.45104718014630E-001,3.33500275299441E-005
2.00000000000002E-006,1.15436342193899E+004,1.17855208515193E+004,1.74270612076026E+000,1.15121902978973E+004,1.05864114397443E+004,7.08078041580060E-001,1.15008012835731E+004,3.53918724238798E-001,6.46159818337577E-001,3.33466499073762E-005
2.20000000000001E-006,1.15443977399036E+004,1.17599421116987E+004,1.74217275380026E+000,1.14892769370729E+004,1.06806412971430E+004,7.10666728462121E-001,1.14976277752372E+004,3.54310105963646E-001,6.18637946374859E-001,3.33444412897225E-005
2.40000000000000E-006,1.15264339955997E+004,1.17142184297887E+004,1.74121380773915E+000,1.14919271035404E+004,1.08201516905252E+004,7.14391246342048E-001,1.14933578295699E+004,3.53053188187655E-001,6.28817487950188E-001,3.33414688703111E-005
2.60000000000000E-006,1.15015129694199E+004,1.16469079132382E+004,1.73978910734463E+000,1.15302490374946E+004,1.09524210600295E+004,7.17806982547282E-001,1.14902877260648E+004,3.54611876529472E-001,6.22018808953562E-001,3.33393311733100E-005
2.79999999999999E-006,1.14936081788626E+004,1.16158891011923E+004,1.73912727894516E+000,1.15296127447198E+004,1.10395064405352E+004,7.19996410128193E-001,1.14879398988128E+004,3.53517886072671E-001,6.33765105009052E-001,3.33376961005468E-005
2.99999999999998E-006,1.14961918775913E+004,1.14814089335017E+004,1.73621868308926E+000,1.16270838343482E+004,1.11044825614669E+004,7.21599977034699E-001,1.14899514545070E+004,3.53273104205770E-001,6.51399070691700E-001,3.33390970028082E-005
3.19999999999998E-006,1.14947839462852E+004,1.15578459735352E+004,1.73787978401859E+000,1.15390463232692E+004,1.11330604690386E+004,7.22297267454223E-001,1.14863186106117E+004,3.52620893623727E-001,6.43946219479876E-001,3.33365668555254E-005
3.39999999999997E-006,1.15348734260212E+004,1.15755950845536E+004,1.73826251931340E+000,1.14552234673610E+004,1.11452253891536E+004,7.22592618865092E-001,1.14852716346567E+004,3.54714892437842E-001,6.54500529157322E-001,3.33358375609114E-005
3.59999999999997E-006,1.14588535675422E+004,1.16154094207756E+004,1.73911701793932E+000,1.15100914566993E+004,1.11847131060348E+004,7.23545339256125E-001,1.14824901284989E+004,3.52565855534715E-001,6.20357961047059E-001,3.33338997948782E-005
3.79999999999996E-006,1.14660905638821E+004,1.15733564767493E+004,1.73821430826296E+000,1.15542363619436E+004,1.11580661381639E+004,7.22903431992467E-001,1.14848640011933E+004,3.53421093821022E-001,6.22613175950687E-001,3.33355536010026E-005
3.99999999999997E-006,1.14396806840396E+004,1.15245854551015E+004,1.73715955110718E+000,1.16161940305800E+004,1.12107807919955E+004,7.24169281760960E-001,1.14845463593298E+004,3.52757921266571E-001,6.37704245356829E-001,3.33353323244705E-005
4.19999999999999E-006,1.14498926434249E+004,1.15252250918572E+004,1.73717343922432E+000,1.15648417369740E+004,1.12822255609249E+004,7.25859234143595E-001,1.14819253338867E+004,3.54037527612684E-001,6.04324450877202E-001,3.33335062810942E-005
4.40000000000000E-006,1.14362688641992E+004,1.15578459735351E+004,1.73787978401859E+000,1.15291295399624E+004,1.13301128655045E+004,7.26975670238512E-001,1.14791142917764E+004,3.53347580034793E-001,6.36726494593885E-001,3.33315475028082E-005
4.60000000000002E-006,1.14898976507351E+004,1.15773539868827E+004,1.73830038691590E+000,1.14517074421532E+004,1.12849288765060E+004,7.25922604674396E-001,1.14800980371989E+004,3.52778215066936E-001,6.53801352474305E-001,3.33322330335281E-005
4.80000000000003E-006,1.14006646609161E+004,1.15714376657433E+004,1.73817297030696E+000,1.15562407971109E+004,1.13559874574951E+004,7.27573534441274E-001,1.14777472865143E+004,3.52422639774287E-001,6.38035268305511E-001,3.33305948203262E-005
5.00000000000005E-006,1.14829227269937E+004,1.15477720015858E+004,1.73766205539366E+000,1.14325494222931E+004,1.14041644030299E+004,7.28676788047437E-001,1.14768354264956E+004,3.52715733320417E-001,6.66773257456942E-001,3.33299592861160E-005
5.20000000000006E-006,1.15397590500250E+004,1.14770911680712E+004,1.73612422407439E+000,1.13995536468336E+004,1.14405626163898E+004,7.29501819209125E-001,1.14779324851215E+004,3.55218418595250E-001,6.05809549848937E-001,3.33307238925228E-005
5.40000000000008E-006,1.14937884956755E+004,1.14946819349676E+004,1.73650863225748E+000,1.14590254831245E+004,1.14244392698882E+004,7.29137250542961E-001,1.14779104771172E+004,3.53906639442327E-001,6.49888010646296E-001,3.33307085543615E-005
5.60000000000009E-006,1.14631607567901E+004,1.14163204120801E+004,1.73478755678303E+000,1.15874830208812E+004,1.14149776653543E+004,7.28922649120477E-001,1.14808818004431E+004,3.52345286485169E-001,6.50562707365760E-001,3.33327791731437E-005
5.80000000000011E-006,1.15111957438952E+004,1.13609834191408E+004,1.73355860055752E+000,1.15659699516542E+004,1.14239565349630E+004,7.29126313377930E-001,1.14824578489909E+004,3.53730215526555E-001,6.35601725338407E-001,3.33338773049195E-005
6.00000000000000E-006,1.15442302119966E+004,1.13014842452330E+004,1.73222446876191E+000,1.15797946775515E+004,1.14153638532945E+004,7.28931417981426E-001,1.14848163200314E+004,3.54410919700254E-001,6.53336080195601E-001,3.33355203855196E-005
