001-TIME,002-TempTra-001,003-TempTra-002,004-TempTra-003,005-TempVib001,006-TempVib002,007-XiVibMean001,008-XiVibMean002,009-TempRot001,010-TempRot002,011-TempElec001,012-TempElec002,013-XiElecMean001,014-XiElecMean002,015-TempTotal001,016-TempTotal002,017-TempTotal003
0.0000000000000000E+000,0.9999766740805757E+003,0.4993903398888023E+006,0.2501945346527089E+006,0.9951009763669606E+003,0.0000000000000000E+000,0.2330399549999174E+000,0.0000000000000000E+000,0.9971749009052354E+003,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9986887460723030E+003,0.4993903398888023E+006,0.2501938906870932E+006
0.1000000000000000E-008,0.1184088891627051E+004,0.3151240110047800E+006,0.1581536571196695E+006,0.5578303978581884E+004,0.0000000000000000E+000,0.1452991928642101E+001,0.0000000000000000E+000,0.1814744306892424E+006,0.0000000000000000E+000,0.9171807649304712E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.5805157713696160E+005,0.3151240110047800E+006,0.1865874723998114E+006
0.1999999999999997E-008,0.1446085194210573E+004,0.2604938469309336E+006,0.1309696419198132E+006,0.8582887187980337E+004,0.0000000000000000E+000,0.1630627036628578E+001,0.0000000000000000E+000,0.2299664357775524E+006,0.0000000000000000E+000,0.1218324425486511E+006,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7212992261467487E+005,0.2604938469309336E+006,0.1663116490757201E+006
0.2999999999999994E-008,0.1668706689407022E+004,0.2422081028241164E+006,0.1219381037732560E+006,0.1127548847540821E+005,0.0000000000000000E+000,0.1714127063013407E+001,0.0000000000000000E+000,0.2405636329182421E+006,0.0000000000000000E+000,0.1356652832612019E+006,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7528320526335694E+005,0.2422081028241164E+006,0.1587454451730000E+006
0.3999999999999996E-008,0.1921538339974288E+004,0.2347652986023241E+006,0.1183431271170826E+006,0.1387706418543848E+005,0.0000000000000000E+000,0.1765429775522815E+001,0.0000000000000000E+000,0.2416066541725362E+006,0.0000000000000000E+000,0.1428203050184143E+006,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7589715993100074E+005,0.2347652986023241E+006,0.1553310304772330E+006
0.5000000000000013E-008,0.2208976059617683E+004,0.2317187258547691E+006,0.1169635637749264E+006,0.1640085421606453E+005,0.0000000000000000E+000,0.1800231602296146E+001,0.0000000000000000E+000,0.2395438629349858E+006,0.0000000000000000E+000,0.1465065456493463E+006,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7576800618662186E+005,0.2317187258547691E+006,0.1537431708817907E+006
0.6000000000000031E-008,0.2449049664081374E+004,0.2301413840160221E+006,0.1162949319318906E+006,0.1902941887779149E+005,0.0000000000000000E+000,0.1826978147781749E+001,0.0000000000000000E+000,0.2369409132764623E+006,0.0000000000000000E+000,0.1484976592388112E+006,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7558180161562969E+005,0.2301413840160221E+006,0.1528613994176312E+006
0.7000000000000048E-008,0.2710256656865632E+004,0.2288367669403709E+006,0.1157732288497504E+006,0.2148997035500536E+005,0.0000000000000000E+000,0.1846252191091506E+001,0.0000000000000000E+000,0.2349913810746880E+006,0.0000000000000000E+000,0.1495577743239870E+006,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7563107851156172E+005,0.2288367669403709E+006,0.1522337310218798E+006
0.8000000000000042E-008,0.2976733454753001E+004,0.2277255613893793E+006,0.1153508661970726E+006,0.2397625007037763E+005,0.0000000000000000E+000,0.1861809674557669E+001,0.0000000000000000E+000,0.2331563062685714E+006,0.0000000000000000E+000,0.1501769298580641E+006,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7576456531134521E+005,0.2277255613893793E+006,0.1517448732037415E+006
0.9000000000000018E-008,0.3249651590020202E+004,0.2264986322437880E+006,0.1148738625686479E+006,0.2644608170999455E+005,0.0000000000000000E+000,0.1874433038893196E+001,0.0000000000000000E+000,0.2317960233499265E+006,0.0000000000000000E+000,0.1505008539118678E+006,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7606625998361416E+005,0.2264986322437880E+006,0.1512822578798254E+006
0.1000000000000000E-007,0.3524502785640776E+004,0.2250444435257297E+006,0.1142841959709520E+006,0.2889062023289751E+005,0.0000000000000000E+000,0.1884845340760396E+001,0.0000000000000000E+000,0.2309553667779308E+006,0.0000000000000000E+000,0.1506699890821523E+006,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.7653601014547134E+005,0.2250444435257297E+006,0.1507900410091221E+006
