001-TIME,002-TempTra-001,003-TempVib001,004-XiVibMean001,005-TempRot001,006-TempTotal001
0.00000000000000E+000,5.00346062882222E+003,9.98933053733982E+002,2.35308580936232E-001,9.99183924237958E+003,6.72913875962021E+003
5.00000000000000E-006,5.04486520234558E+003,9.99388328060994E+002,2.35578272619868E-001,9.92954864745108E+003,6.72879388742505E+003
1.00000000000000E-005,5.08390952895591E+003,9.99720341895240E+002,2.35774969957202E-001,9.87084564574000E+003,6.72854145070556E+003
1.50000000000000E-005,5.12223027103783E+003,1.00030195755787E+003,2.36119584564686E-001,9.81312302871813E+003,6.72809839123191E+003
2.00000000000000E-005,5.16064863354538E+003,1.00081348780580E+003,2.36422718583343E-001,9.75528044325379E+003,6.72770777418377E+003
2.50000000000000E-005,5.19839483176617E+003,1.00141450366987E+003,2.36778936506128E-001,9.69841237044039E+003,6.72725038129339E+003
3.00000000000000E-005,5.23637291413793E+003,1.00192919388730E+003,2.37084036334638E-001,9.64123125242782E+003,6.72685838536479E+003
3.50000000000000E-005,5.27268146736264E+003,1.00247609217725E+003,2.37408275289740E-001,9.58654165718024E+003,6.72644216085340E+003
4.00000000000000E-005,5.30882807042668E+003,1.00301843092485E+003,2.37729858258414E-001,9.53209559949617E+003,6.72602898451137E+003
4.50000000000000E-005,5.34229445704772E+003,1.00367838264525E+003,2.38121243514439E-001,9.48162451125053E+003,6.72552770362601E+003
5.00000000000000E-005,5.37704383191692E+003,1.00423594215424E+003,2.38451958426451E-001,9.42926768880502E+003,6.72510298463670E+003
5.50000000000000E-005,5.41101198301807E+003,1.00478080838325E+003,2.38775191347101E-001,9.37808586850522E+003,6.72468718910410E+003
6.00000000000000E-005,5.44365214495978E+003,1.00551602733775E+003,2.39211420960238E-001,9.32882089247667E+003,6.72412817634942E+003
6.50000000000000E-005,5.47550003447011E+003,1.00608816629652E+003,2.39550947471544E-001,9.28080336344210E+003,6.72368997972457E+003
7.00000000000000E-005,5.50826571022042E+003,1.00663141544300E+003,2.39873376120183E-001,9.23142845179213E+003,6.72327661025686E+003
7.50000000000000E-005,5.53893369909862E+003,1.00737255349557E+003,2.40313327787082E-001,9.18511797588047E+003,6.72271291735632E+003
8.00000000000000E-005,5.56860261991480E+003,1.00808451541471E+003,2.40736037840309E-001,9.14031837112528E+003,6.72217158423455E+003
8.50000000000000E-005,5.59802039914080E+003,1.00869066400036E+003,2.41095983374740E-001,9.09593629903833E+003,6.72170957654798E+003
9.00000000000000E-005,5.62693216636136E+003,1.00953425755242E+003,2.41597019756985E-001,9.05221288240157E+003,6.72106661368023E+003
9.50000000000000E-005,5.65602894928736E+003,1.01030823886916E+003,2.42056802874871E-001,9.00824532022136E+003,6.72047839145946E+003
1.00000000000000E-004,5.68387084066697E+003,1.01117783494340E+003,2.42573489326399E-001,8.96611075759147E+003,6.71981404641446E+003
1.05000000000000E-004,5.71119531699045E+003,1.01213060190906E+003,2.43139717534233E-001,8.92472699749095E+003,6.71909027653699E+003
1.10000000000000E-004,5.73808708971983E+003,1.01317418794827E+003,2.43760066606407E-001,8.88394531708680E+003,6.71829428947736E+003
1.15000000000000E-004,5.76396785003580E+003,1.01398379350652E+003,2.44241433058016E-001,8.84478218516323E+003,6.71767789964520E+003
1.20000000000000E-004,5.78940842158368E+003,1.01484837424291E+003,2.44755585820272E-001,8.80625305351488E+003,6.71701866820694E+003
1.25000000000000E-004,5.81580699506942E+003,1.01573175920395E+003,2.45281026362481E-001,8.76628474493138E+003,6.71634751816308E+003
1.30000000000000E-004,5.83970418206508E+003,1.01667375904750E+003,2.45841446956854E-001,8.73003771503528E+003,6.71562968124203E+003
1.35000000000000E-004,5.86331340984713E+003,1.01749886831168E+003,2.46332423175651E-001,8.69427293755765E+003,6.71500130469085E+003
1.40000000000000E-004,5.88653694377812E+003,1.01860134783575E+003,2.46988586245440E-001,8.65896817515707E+003,6.71416175381980E+003
1.45000000000000E-004,5.90900525076163E+003,1.01957886849998E+003,2.47570509043355E-001,8.62484640077541E+003,6.71341645674094E+003
1.50000000000000E-004,5.93198184040057E+003,1.02044785940577E+003,2.48087925898479E-001,8.59000977411695E+003,6.71275450407624E+003
1.55000000000000E-004,5.95386539041753E+003,1.02159678957858E+003,2.48772170688232E-001,8.55668811531343E+003,6.71187777010556E+003
1.60000000000000E-004,5.97492828995531E+003,1.02276740200589E+003,2.49469496403163E-001,8.52459138786242E+003,6.71098611744388E+003
1.65000000000000E-004,5.99694919856380E+003,1.02388069771722E+003,2.50132833682573E-001,8.49108044187703E+003,6.71013777664893E+003
1.70000000000000E-004,6.01840815951634E+003,1.02470851902464E+003,2.50626172435763E-001,8.45853257681178E+003,6.70950611397560E+003
1.75000000000000E-004,6.03861567398818E+003,1.02583032288563E+003,2.51294838631230E-001,8.42774283110774E+003,6.70865370012536E+003
1.80000000000000E-004,6.05782580534096E+003,1.02696984759807E+003,2.51974217200071E-001,8.39843729025591E+003,6.70778653189060E+003
1.85000000000000E-004,6.07701653668462E+003,1.02813092314716E+003,2.52666596629348E-001,8.36915304254607E+003,6.70690389125280E+003
1.90000000000000E-004,6.09655346981511E+003,1.02930561466471E+003,2.53367249282858E-001,8.33933641263919E+003,6.70600852658680E+003
1.95000000000000E-004,6.11565486475307E+003,1.03056804724983E+003,2.54120404716460E-001,8.31013766014959E+003,6.70504776635672E+003
2.00000000000000E-004,6.13423274191815E+003,1.03173065047430E+003,2.54814154784833E-001,8.28175067731921E+003,6.70415701038272E+003
2.05000000000000E-004,6.15149328823712E+003,1.03286788713010E+003,2.55492906251814E-001,8.25537685862758E+003,6.70329589034661E+003
2.10000000000000E-004,6.16964317928165E+003,1.03401485191593E+003,2.56177599642066E-001,8.22765117937102E+003,6.70242256307018E+003
2.15000000000000E-004,6.18742654308509E+003,1.03504351049036E+003,2.56791782628894E-001,8.20052773014506E+003,6.70163993828281E+003
2.20000000000000E-004,6.20405048811978E+003,1.03616354452209E+003,2.57460643397729E-001,8.17510117083131E+003,6.70078722949649E+003
2.25000000000000E-004,6.22014182546085E+003,1.03737063747080E+003,2.58181631349844E-001,8.15043285198890E+003,6.69986769072738E+003
2.30000000000000E-004,6.23627837140256E+003,1.03897290556766E+003,2.59138869706851E-001,8.12551669250339E+003,6.69864546961146E+003
2.35000000000000E-004,6.25176094297076E+003,1.04044444040910E+003,2.60018215095396E-001,8.10165553567926E+003,6.69752973582297E+003
2.40000000000000E-004,6.26739474243688E+003,1.04170159406364E+003,2.60769608166728E-001,8.07765039251934E+003,6.69657326832387E+003
2.45000000000000E-004,6.28291411719319E+003,1.04317111770918E+003,2.61648110340379E-001,8.05371866234139E+003,6.69545410281982E+003
2.50000000000000E-004,6.29832641036026E+003,1.04439269211367E+003,2.62378526355055E-001,8.03005892893806E+003,6.69452475302092E+003
2.55000000000000E-004,6.31167639377768E+003,1.04566939735937E+003,2.63142040420223E-001,8.00946738978778E+003,6.69355363567614E+003
2.60000000000000E-004,6.32453460470538E+003,1.04743913278728E+003,2.64200623156190E-001,7.98939571767494E+003,6.69220872132049E+003
2.65000000000000E-004,6.33870249211811E+003,1.04885853242139E+003,2.65049828144562E-001,7.96751062782529E+003,6.69112917364091E+003
2.70000000000000E-004,6.35300959684195E+003,1.05053298810970E+003,2.66051826764242E-001,7.94529721356811E+003,6.68985429637739E+003
2.75000000000000E-004,6.36638072186473E+003,1.05196884856213E+003,2.66911214084425E-001,7.92460069290682E+003,6.68876394569727E+003
2.80000000000000E-004,6.37931438409279E+003,1.05347354939854E+003,2.67811961164404E-001,7.90452362610201E+003,6.68761973310728E+003
2.85000000000000E-004,6.39252286240184E+003,1.05515592896151E+003,2.68819254886632E-001,7.88395308716476E+003,6.68634076970357E+003
2.90000000000000E-004,6.40464084389132E+003,1.05653732697361E+003,2.69646481657275E-001,7.86515518226830E+003,6.68529181071160E+003
2.95000000000000E-004,6.41688106762838E+003,1.05787476895803E+003,2.70447502257561E-001,7.84619260451613E+003,6.68427642734194E+003
3.00000000000000E-004,6.42849281203459E+003,1.05930336930185E+003,2.71303241250176E-001,7.82812819559141E+003,6.68319116782404E+003
3.05000000000000E-004,6.44063115209711E+003,1.06076277956118E+003,2.72177560756461E-001,7.80925619177520E+003,6.68208178873801E+003
3.10000000000000E-004,6.45294028460091E+003,1.06214089179955E+003,2.73003287109153E-001,7.79016818307753E+003,6.68103607310777E+003
3.15000000000001E-004,6.46336448048721E+003,1.06351638451408E+003,2.73827547959683E-001,7.77390194673392E+003,6.67999040513663E+003
3.20000000000001E-004,6.47426482563953E+003,1.06501936268636E+003,2.74728318196313E-001,7.75686609654862E+003,6.67884970053201E+003
3.25000000000001E-004,6.48470745726930E+003,1.06651553987806E+003,2.75625125592098E-001,7.74052243110605E+003,6.67771588673882E+003
