001-TIME,002-TempTra-001,003-TempTra-002,004-TempTra-003,005-TempVib001,006-TempVib002,007-XiVibMean001,008-XiVibMean002,009-TempRot001,010-TempRot002,011-TempTotal001,012-TempTotal002,013-TempTotal003
0.00000000000000E+000,2.00392413697658E+004,1.99833367692341E+004,2.00112890694999E+004,4.99678301587816E+003,2.50223616240493E+004,1.39718081229945E+000,1.91054409356998E+000,3.49652224780112E+004,1.50064153501599E+004,2.14203072320342E+004,1.99360809149906E+004,2.06781940735124E+004
5.00000000000000E-007,2.00431220932575E+004,1.99937570065481E+004,2.00184395499028E+004,5.00804675497045E+003,2.50186544119448E+004,1.39836804300163E+000,1.91053104187644E+000,3.49167840028699E+004,1.50262995008478E+004,2.14064001797038E+004,1.99453247610206E+004,2.06758624703622E+004
1.00000000000000E-006,2.00564353823425E+004,1.99962220162931E+004,2.00263286993178E+004,5.02149374036783E+003,2.50083060551391E+004,1.39977938486760E+000,1.91049458906399E+000,3.48642887214150E+004,1.50525356030438E+004,2.13955604989497E+004,1.99511002979659E+004,2.06733303984578E+004
1.50000000000000E-006,2.00585853693570E+004,2.00131478072120E+004,2.00358665882845E+004,5.03916631252686E+003,2.50011872919811E+004,1.40162435211764E+000,1.91046949547550E+000,3.48130593251873E+004,1.50652388291829E+004,2.13797132490568E+004,1.99601382861629E+004,2.06699257676098E+004
2.00000000000000E-006,2.00935539512963E+004,1.99920915952201E+004,2.00428227732582E+004,5.05288885962535E+003,2.49948645543116E+004,1.40304926982583E+000,1.91044719607262E+000,3.47628480155008E+004,1.50872187568557E+004,2.13797839343540E+004,1.99555943762575E+004,2.06676891553057E+004
2.50000000000000E-006,2.01201298988231E+004,1.99847422962002E+004,2.00524360975117E+004,5.06359720759855E+003,2.49905432575143E+004,1.40415657041970E+000,1.91043194907913E+000,3.47086888616171E+004,1.51067792079078E+004,2.13748444785042E+004,1.99568592216285E+004,2.06658518500663E+004
3.00000000000000E-006,2.01173156639075E+004,2.00004864765497E+004,2.00589010702286E+004,5.08029042441407E+003,2.49838111299252E+004,1.40587469934497E+000,1.91040818551618E+000,3.46496430444105E+004,1.51371309663347E+004,2.13543803576956E+004,1.99706001361205E+004,2.06624902469081E+004
3.50000000000000E-006,2.01352944372763E+004,1.99882942725230E+004,2.00617943548996E+004,5.09444478900126E+003,2.49794443431246E+004,1.40732389925727E+000,1.91039276456661E+000,3.46042320247723E+004,1.51646726035358E+004,2.13480516073547E+004,1.99720598325927E+004,2.06600557199737E+004
4.00000000000000E-006,2.01459734460981E+004,1.99962164969742E+004,2.00710949715361E+004,5.10854346881390E+003,2.49686752055487E+004,1.40876049737891E+000,1.91035471154671E+000,3.45546630891554E+004,1.51833608141020E+004,2.13370371401052E+004,1.99779031904754E+004,2.06574701652903E+004
4.50000000000000E-006,2.01466943709451E+004,2.00014495745937E+004,2.00740719727694E+004,5.12381823356761E+003,2.49631143706470E+004,1.41030921719027E+000,1.91033504954308E+000,3.45125767540574E+004,1.52072718309197E+004,2.13236834716800E+004,1.99855439314410E+004,2.06546137015605E+004
5.00000000000000E-006,2.01712579585424E+004,1.99826834302732E+004,2.00769706944078E+004,5.13930079766793E+003,2.49575990214572E+004,1.41187087654033E+000,1.91031553984859E+000,3.44670717971371E+004,1.52348117133349E+004,2.13204459703142E+004,1.99838288380844E+004,2.06521374041993E+004
5.50000000000000E-006,2.01845078582349E+004,1.99795741818412E+004,2.00820410200380E+004,5.15326740527866E+003,2.49471823985977E+004,1.41327265814842E+000,1.91027866949328E+000,3.44287511177279E+004,1.52550620937931E+004,2.13142345601806E+004,1.99854338353675E+004,2.06498341977740E+004
6.00000000000000E-006,2.01954217635365E+004,1.99805551457359E+004,2.00879884546362E+004,5.16709061686024E+003,2.49414054916243E+004,1.41465358438969E+000,1.91025820866427E+000,3.43824519067334E+004,1.52759676722490E+004,2.13044727307884E+004,1.99902986525893E+004,2.06473856916888E+004
6.50000000000000E-006,2.02003183151347E+004,1.99895551304178E+004,2.00949367227763E+004,5.18050680820107E+003,2.49372888756828E+004,1.41598774262683E+000,1.91024362261173E+000,3.43338039783245E+004,1.52948183454525E+004,2.12912029328679E+004,1.99985133186848E+004,2.06448581257764E+004
7.00000000000000E-006,2.01993543337051E+004,2.00129055235230E+004,2.01061299286140E+004,5.19353380210608E+003,2.49303861501558E+004,1.41727747897252E+000,1.91021915413460E+000,3.42745164876520E+004,1.53148177565845E+004,2.12719139725096E+004,2.00125133723138E+004,2.06422136724117E+004
7.50000000000000E-006,2.02156195552711E+004,2.00145039955343E+004,2.01150617754027E+004,5.20886085899163E+003,2.49157050562515E+004,1.41878776762681E+000,1.91016706886479E+000,3.42270967652442E+004,1.53354519577669E+004,2.12643454196607E+004,2.00150841245663E+004,2.06397147721135E+004
8.00000000000000E-006,2.02227891445401E+004,2.00150282584059E+004,2.01189087014730E+004,5.22520388683831E+003,2.49102010644316E+004,1.42038969593168E+000,1.91014752634575E+000,3.41841440686998E+004,1.53566737092372E+004,2.12539250409512E+004,2.00199186211657E+004,2.06369218310584E+004
8.50000000000000E-006,2.02263934338184E+004,2.00194703723013E+004,2.01229319030598E+004,5.24031361899214E+003,2.49052542934847E+004,1.42186301846572E+000,1.91012995504505E+000,3.41398243973561E+004,1.53791668696246E+004,2.12414741398151E+004,2.00269774983197E+004,2.06342258190674E+004
9.00000000000000E-006,2.02149534304171E+004,2.00350910095314E+004,2.01250222199742E+004,5.25491096483307E+003,2.49019905611019E+004,1.42327938818745E+000,1.91011835826086E+000,3.41010788254731E+004,1.54007327543262E+004,2.12237731175000E+004,2.00390906039556E+004,2.06314318607278E+004
9.50000000000000E-006,2.02319698121806E+004,2.00321367566146E+004,2.01320532843976E+004,5.26853965374523E+003,2.48919264348578E+004,1.42459561174065E+000,1.91008257928234E+000,3.40594413138103E+004,1.54180870220882E+004,2.12185075564990E+004,2.00400238019155E+004,2.06292656792073E+004
1.00000000000000E-005,2.02519785407329E+004,2.00280391657720E+004,2.01400088532525E+004,5.28390415206733E+003,2.48853875927434E+004,1.42607239441669E+000,1.91005931777651E+000,3.40088082125500E+004,1.54366444922762E+004,2.12118341542087E+004,2.00417921990329E+004,2.06268131766208E+004
1.05000000000000E-005,2.02633622312104E+004,2.00299837815698E+004,2.01466730063901E+004,5.29805435111362E+003,2.48754826638779E+004,1.42742587048343E+000,1.91002405870875E+000,3.39692556079445E+004,1.54524692669296E+004,2.12046284935646E+004,2.00444541237169E+004,2.06245413086407E+004
1.10000000000000E-005,2.02734783245238E+004,2.00303367364870E+004,2.01519075305054E+004,5.31218443292644E+003,2.48690689067840E+004,1.42877115899110E+000,1.91000121259231E+000,3.39275441270486E+004,1.54712158744352E+004,2.11961844288233E+004,2.00482444885649E+004,2.06222144586941E+004
