"E[V/m]","W[1/s]"
0.1000000000000000E+002,0.0000000000000000E+000
0.2000000000000000E+002,0.0000000000000000E+000
0.3000000000000000E+002,0.0000000000000000E+000
0.4000000000000000E+002,0.0000000000000000E+000
0.5000000000000000E+002,0.0000000000000000E+000
0.5999999999999999E+002,0.0000000000000000E+000
0.7000000000000000E+002,0.0000000000000000E+000
0.8000000000000000E+002,0.0000000000000000E+000
0.9000000000000000E+002,0.0000000000000000E+000
0.1000000000000000E+003,0.0000000000000000E+000
0.2000000000000000E+003,0.0000000000000000E+000
0.3000000000000000E+003,0.0000000000000000E+000
0.4000000000000000E+003,0.0000000000000000E+000
0.5000000000000000E+003,0.0000000000000000E+000
0.6000000000000000E+003,0.0000000000000000E+000
0.7000000000000000E+003,0.0000000000000000E+000
0.8000000000000000E+003,0.0000000000000000E+000
0.9000000000000000E+003,0.0000000000000000E+000
0.1000000000000000E+004,0.0000000000000000E+000
0.2000000000000000E+004,0.0000000000000000E+000
0.3000000000000000E+004,0.0000000000000000E+000
0.4000000000000000E+004,0.0000000000000000E+000
0.5000000000000000E+004,0.0000000000000000E+000
0.6000000000000000E+004,0.0000000000000000E+000
0.7000000000000000E+004,0.0000000000000000E+000
0.8000000000000000E+004,0.0000000000000000E+000
0.9000000000000000E+004,0.0000000000000000E+000
0.1000000000000000E+005,0.0000000000000000E+000
0.2000000000000000E+005,0.0000000000000000E+000
0.3000000000000000E+005,0.0000000000000000E+000
0.4000000000000000E+005,0.0000000000000000E+000
0.5000000000000000E+005,0.0000000000000000E+000
0.6000000000000000E+005,0.0000000000000000E+000
0.7000000000000000E+005,0.0000000000000000E+000
0.8000000000000000E+005,0.0000000000000000E+000
0.9000000000000000E+005,0.0000000000000000E+000
0.1000000000000000E+006,0.0000000000000000E+000
0.2000000000000000E+006,0.0000000000000000E+000
0.3000000000000000E+006,0.0000000000000000E+000
0.4000000000000000E+006,0.0000000000000000E+000
0.5000000000000000E+006,0.0000000000000000E+000
0.6000000000000000E+006,0.0000000000000000E+000
0.7000000000000000E+006,0.0000000000000000E+000
0.8000000000000000E+006,0.0000000000000000E+000
0.9000000000000000E+006,0.0000000000000000E+000
0.1000000000000000E+007,0.0000000000000000E+000
0.2000000000000000E+007,0.0000000000000000E+000
0.3000000000000000E+007,0.0000000000000000E+000
0.4000000000000000E+007,0.0000000000000000E+000
0.5000000000000000E+007,0.0000000000000000E+000
0.6000000000000000E+007,0.0000000000000000E+000
0.7000000000000000E+007,0.0000000000000000E+000
0.8000000000000000E+007,0.0000000000000000E+000
0.9000000000000000E+007,0.0000000000000000E+000
0.1000000000000000E+008,0.0000000000000000E+000
0.2000000000000000E+008,0.0000000000000000E+000
0.3000000000000000E+008,0.0000000000000000E+000
0.4000000000000000E+008,0.0000000000000000E+000
0.5000000000000000E+008,0.0000000000000000E+000
0.6000000000000000E+008,0.0000000000000000E+000
0.7000000000000000E+008,0.0000000000000000E+000
0.8000000000000000E+008,0.0000000000000000E+000
0.9000000000000000E+008,0.0000000000000000E+000
0.1000000000000000E+009,0.0000000000000000E+000
0.2000000000000000E+009,0.0000000000000000E+000
0.3000000000000000E+009,0.0000000000000000E+000
0.4000000000000000E+009,0.1847083704542322E-262
0.5000000000000000E+009,0.1937933659974458E-206
0.6000000000000000E+009,0.4282223148765912E-169
0.7000000000000000E+009,0.2014283869533695E-142
0.8000000000000000E+009,0.2027255096382941E-122
0.9000000000000000E+009,0.7301750267117041E-107
0.1000000000000000E+010,0.2030851631609081E-094
0.2000000000000000E+010,0.1940226440646455E-038
0.3000000000000000E+010,0.8566729350468814E-020
0.4000000000000000E+010,0.1769881164073818E-010
0.5000000000000000E+010,0.6802176170076164E-005
0.6000000000000000E+010,0.3571734952522455E-001
0.7000000000000000E+010,0.1614793540083584E+002
0.8000000000000000E+010,0.1577591396008179E+004
0.9000000000000000E+010,0.5552286099279865E+005
0.1000000000000000E+011,0.9565111652978107E+006
0.2000000000000000E+011,0.3347462383727560E+012
0.3000000000000000E+011,0.2278393919100342E+014
0.4000000000000000E+011,0.1848132539550897E+015
0.5000000000000000E+011,0.6424243973209904E+015
0.6000000000000000E+011,0.1464345206475595E+016
0.7000000000000000E+011,0.2625184851126976E+016
0.8000000000000000E+011,0.4052718091104025E+016
0.9000000000000000E+011,0.5665256474566357E+016
0.1000000000000000E+012,0.7389830581169208E+016
0.2000000000000000E+012,0.2339081140621549E+017
0.3000000000000000E+012,0.3317060882155205E+017
0.4000000000000000E+012,0.3883785781653179E+017
0.5000000000000000E+012,0.4226517719034993E+017
0.6000000000000000E+012,0.4441842424182643E+017
0.7000000000000000E+012,0.4580442454206159E+017
0.8000000000000000E+012,0.4670515685142602E+017
0.9000000000000000E+012,0.4728654713538124E+017
0.1000000000000000E+013,0.4765101753400238E+017
0.2000000000000000E+013,0.4721951247125002E+017
0.3000000000000000E+013,0.4546834629242958E+017
0.4000000000000000E+013,0.4386829306155354E+017
0.5000000000000000E+013,0.4250519511555622E+017
0.6000000000000000E+013,0.4134265552018570E+017
0.7000000000000000E+013,0.4033902887285810E+017
0.8000000000000000E+013,0.3946116768075274E+017
0.9000000000000000E+013,0.3868411439926681E+017
0.1000000000000000E+014,0.3798911724013875E+017
0.2000000000000000E+014,0.3351755827853745E+017
0.3000000000000000E+014,0.3104902620183740E+017
0.4000000000000000E+014,0.2938214760990579E+017
0.5000000000000000E+014,0.2814046045165741E+017
0.6000000000000000E+014,0.2715971098222402E+017
0.7000000000000000E+014,0.2635423976461944E+017
0.8000000000000000E+014,0.2567400935538548E+017
0.9000000000000000E+014,0.2508738633330865E+017
0.1000000000000000E+015,0.2457316843110723E+017
0.2000000000000000E+015,0.2143042154458481E+017
0.3000000000000000E+015,0.1977539284086487E+017
0.4000000000000000E+015,0.1867755695744320E+017
0.5000000000000000E+015,0.1786748273496795E+017
0.6000000000000000E+015,0.1723142027039452E+017
0.7000000000000000E+015,0.1671114668685751E+017
0.8000000000000000E+015,0.1627306370742983E+017
0.9000000000000000E+015,0.1589611320319404E+017
0.1000000000000000E+016,0.1556627168932076E+017
0.2000000000000000E+016,0.1355969125891866E+017
0.3000000000000000E+016,0.1250766055400473E+017
0.4000000000000000E+016,0.1181100833634360E+017
0.5000000000000000E+016,0.1129743474649947E+017
0.6000000000000000E+016,0.1089441516137812E+017
0.7000000000000000E+016,0.1056489245394314E+017
0.8000000000000000E+016,0.1028750693203373E+017
0.9000000000000000E+016,0.1004888215186000E+017
0.1000000000000000E+017,0.9840115687872502E+016
0.2000000000000000E+017,0.8570673740646859E+016
0.3000000000000000E+017,0.7905410683648631E+016
0.4000000000000000E+017,0.7464950288112347E+016
0.5000000000000000E+017,0.7140271766837687E+016
0.6000000000000000E+017,0.6885499627077784E+016
0.7000000000000000E+017,0.6677197415892533E+016
0.8000000000000000E+017,0.6501857931357706E+016
0.9000000000000000E+017,0.6351023020601534E+016
