"E[V/m]","W[1/s]"
0.1000000000000000E+002,0.0000000000000000E+000
0.2000000000000000E+002,0.0000000000000000E+000
0.3000000000000000E+002,0.0000000000000000E+000
0.4000000000000000E+002,0.0000000000000000E+000
0.5000000000000000E+002,0.0000000000000000E+000
0.5999999999999999E+002,0.0000000000000000E+000
0.7000000000000000E+002,0.0000000000000000E+000
0.8000000000000000E+002,0.0000000000000000E+000
0.9000000000000000E+002,0.0000000000000000E+000
0.1000000000000000E+003,0.0000000000000000E+000
0.2000000000000000E+003,0.0000000000000000E+000
0.3000000000000000E+003,0.0000000000000000E+000
0.4000000000000000E+003,0.0000000000000000E+000
0.5000000000000000E+003,0.0000000000000000E+000
0.6000000000000000E+003,0.0000000000000000E+000
0.7000000000000000E+003,0.0000000000000000E+000
0.8000000000000000E+003,0.0000000000000000E+000
0.9000000000000000E+003,0.0000000000000000E+000
0.1000000000000000E+004,0.0000000000000000E+000
0.2000000000000000E+004,0.0000000000000000E+000
0.3000000000000000E+004,0.0000000000000000E+000
0.4000000000000000E+004,0.0000000000000000E+000
0.5000000000000000E+004,0.0000000000000000E+000
0.6000000000000000E+004,0.0000000000000000E+000
0.7000000000000000E+004,0.0000000000000000E+000
0.8000000000000000E+004,0.0000000000000000E+000
0.9000000000000000E+004,0.0000000000000000E+000
0.1000000000000000E+005,0.0000000000000000E+000
0.2000000000000000E+005,0.0000000000000000E+000
0.3000000000000000E+005,0.0000000000000000E+000
0.4000000000000000E+005,0.0000000000000000E+000
0.5000000000000000E+005,0.0000000000000000E+000
0.6000000000000000E+005,0.0000000000000000E+000
0.7000000000000000E+005,0.0000000000000000E+000
0.8000000000000000E+005,0.0000000000000000E+000
0.9000000000000000E+005,0.0000000000000000E+000
0.1000000000000000E+006,0.0000000000000000E+000
0.2000000000000000E+006,0.0000000000000000E+000
0.3000000000000000E+006,0.0000000000000000E+000
0.4000000000000000E+006,0.0000000000000000E+000
0.5000000000000000E+006,0.0000000000000000E+000
0.6000000000000000E+006,0.0000000000000000E+000
0.7000000000000000E+006,0.0000000000000000E+000
0.8000000000000000E+006,0.0000000000000000E+000
0.9000000000000000E+006,0.0000000000000000E+000
0.1000000000000000E+007,0.0000000000000000E+000
0.2000000000000000E+007,0.0000000000000000E+000
0.3000000000000000E+007,0.0000000000000000E+000
0.4000000000000000E+007,0.0000000000000000E+000
0.5000000000000000E+007,0.0000000000000000E+000
0.6000000000000000E+007,0.0000000000000000E+000
0.7000000000000000E+007,0.0000000000000000E+000
0.8000000000000000E+007,0.0000000000000000E+000
0.9000000000000000E+007,0.0000000000000000E+000
0.1000000000000000E+008,0.0000000000000000E+000
0.2000000000000000E+008,0.0000000000000000E+000
0.3000000000000000E+008,0.0000000000000000E+000
0.4000000000000000E+008,0.0000000000000000E+000
0.5000000000000000E+008,0.0000000000000000E+000
0.6000000000000000E+008,0.0000000000000000E+000
0.7000000000000000E+008,0.0000000000000000E+000
0.8000000000000000E+008,0.0000000000000000E+000
0.9000000000000000E+008,0.0000000000000000E+000
0.1000000000000000E+009,0.0000000000000000E+000
0.2000000000000000E+009,0.0000000000000000E+000
0.3000000000000000E+009,0.0000000000000000E+000
0.4000000000000000E+009,0.0000000000000000E+000
0.5000000000000000E+009,0.0000000000000000E+000
0.6000000000000000E+009,0.0000000000000000E+000
0.7000000000000000E+009,0.0000000000000000E+000
0.8000000000000000E+009,0.0000000000000000E+000
0.9000000000000000E+009,0.0000000000000000E+000
0.1000000000000000E+010,0.0000000000000000E+000
0.2000000000000000E+010,0.0000000000000000E+000
0.3000000000000000E+010,0.0000000000000000E+000
0.4000000000000000E+010,0.0000000000000000E+000
0.5000000000000000E+010,0.0000000000000000E+000
0.6000000000000000E+010,0.0000000000000000E+000
0.7000000000000000E+010,0.0000000000000000E+000
0.8000000000000000E+010,0.0000000000000000E+000
0.9000000000000000E+010,0.0000000000000000E+000
0.1000000000000000E+011,0.0000000000000000E+000
0.2000000000000000E+011,0.0000000000000000E+000
0.3000000000000000E+011,0.0000000000000000E+000
0.4000000000000000E+011,0.0000000000000000E+000
0.5000000000000000E+011,0.0000000000000000E+000
0.6000000000000000E+011,0.0000000000000000E+000
0.7000000000000000E+011,0.0000000000000000E+000
0.8000000000000000E+011,0.0000000000000000E+000
0.9000000000000000E+011,0.0000000000000000E+000
0.1000000000000000E+012,0.5609127277235672E-303
0.2000000000000000E+012,0.4080447163942505E-142
0.3000000000000000E+012,0.1706643578443449E-088
0.4000000000000000E+012,0.1103688052241448E-061
0.5000000000000000E+012,0.1346666645938486E-045
0.6000000000000000E+012,0.7137241703964173E-035
0.7000000000000000E+012,0.3263769855209685E-027
0.8000000000000000E+012,0.1814923860223803E-021
0.9000000000000000E+012,0.5337003218796754E-017
0.1000000000000000E+013,0.2004688366064444E-013
0.2000000000000000E+013,0.2445586514515132E+003
0.3000000000000000E+013,0.5629454159106369E+008
0.4000000000000000E+013,0.2700809105669847E+011
0.5000000000000000E+013,0.1096736019001418E+013
0.6000000000000000E+013,0.1295692796637565E+014
0.7000000000000000E+013,0.7559586662960791E+014
0.8000000000000000E+013,0.2837867380016718E+015
0.9000000000000000E+013,0.7939963376058160E+015
0.1000000000000000E+014,0.1808330400351886E+016
0.2000000000000000E+014,0.7341898893578747E+017
0.3000000000000000E+014,0.2523227875636824E+018
0.4000000000000000E+014,0.4677528962583939E+018
0.5000000000000000E+014,0.6773983717929192E+018
0.6000000000000000E+014,0.8670757687689290E+018
0.7000000000000000E+014,0.1034269561933908E+019
0.8000000000000000E+014,0.1180492700334766E+019
0.9000000000000000E+014,0.1308363572462750E+019
0.1000000000000000E+015,0.1420557168603130E+019
0.2000000000000000E+015,0.2056879158365410E+019
0.3000000000000000E+015,0.2326822924517111E+019
0.4000000000000000E+015,0.2474722951783618E+019
0.5000000000000000E+015,0.2567888686610315E+019
0.6000000000000000E+015,0.2631906105061131E+019
0.7000000000000000E+015,0.2678583285420312E+019
0.8000000000000000E+015,0.2714115143726005E+019
0.9000000000000000E+015,0.2742062059909533E+019
0.1000000000000000E+016,0.2764614940194675E+019
0.2000000000000000E+016,0.2868181675279461E+019
0.3000000000000000E+016,0.2903366498476814E+019
0.4000000000000000E+016,0.2921026100721402E+019
0.5000000000000000E+016,0.2931617056342634E+019
0.6000000000000000E+016,0.2938661525467028E+019
0.7000000000000000E+016,0.2943676879952108E+019
0.8000000000000000E+016,0.2947423933911335E+019
0.9000000000000000E+016,0.2950325987207236E+019
0.1000000000000000E+017,0.2952637188731148E+019
0.2000000000000000E+017,0.2962813303381624E+019
0.3000000000000000E+017,0.2966016449636917E+019
0.4000000000000000E+017,0.2967523481069691E+019
0.5000000000000000E+017,0.2968371038716820E+019
0.6000000000000000E+017,0.2968898332968148E+019
0.7000000000000000E+017,0.2969248026018610E+019
0.8000000000000000E+017,0.2969490094171322E+019
0.9000000000000000E+017,0.2969662661419596E+019
