"E[V/m]","W[1/s]"
0.1000000000000000E+002,0.0000000000000000E+000
0.2000000000000000E+002,0.0000000000000000E+000
0.3000000000000000E+002,0.0000000000000000E+000
0.4000000000000000E+002,0.0000000000000000E+000
0.5000000000000000E+002,0.0000000000000000E+000
0.6000000000000000E+002,0.0000000000000000E+000
0.7000000000000000E+002,0.0000000000000000E+000
0.8000000000000000E+002,0.0000000000000000E+000
0.9000000000000000E+002,0.0000000000000000E+000
0.1000000000000000E+003,0.0000000000000000E+000
0.2000000000000000E+003,0.0000000000000000E+000
0.3000000000000000E+003,0.0000000000000000E+000
0.4000000000000000E+003,0.0000000000000000E+000
0.5000000000000000E+003,0.0000000000000000E+000
0.6000000000000000E+003,0.0000000000000000E+000
0.7000000000000000E+003,0.0000000000000000E+000
0.8000000000000000E+003,0.0000000000000000E+000
0.9000000000000000E+003,0.0000000000000000E+000
0.1000000000000000E+004,0.0000000000000000E+000
0.2000000000000000E+004,0.0000000000000000E+000
0.3000000000000000E+004,0.0000000000000000E+000
0.4000000000000000E+004,0.0000000000000000E+000
0.5000000000000000E+004,0.0000000000000000E+000
0.6000000000000000E+004,0.0000000000000000E+000
0.7000000000000000E+004,0.0000000000000000E+000
0.8000000000000000E+004,0.0000000000000000E+000
0.9000000000000000E+004,0.0000000000000000E+000
0.1000000000000000E+005,0.0000000000000000E+000
0.2000000000000000E+005,0.0000000000000000E+000
0.3000000000000000E+005,0.0000000000000000E+000
0.4000000000000000E+005,0.0000000000000000E+000
0.5000000000000000E+005,0.0000000000000000E+000
0.6000000000000000E+005,0.0000000000000000E+000
0.7000000000000000E+005,0.0000000000000000E+000
0.8000000000000000E+005,0.0000000000000000E+000
0.9000000000000000E+005,0.0000000000000000E+000
0.1000000000000000E+006,0.0000000000000000E+000
0.2000000000000000E+006,0.0000000000000000E+000
0.3000000000000000E+006,0.0000000000000000E+000
0.4000000000000000E+006,0.0000000000000000E+000
0.5000000000000000E+006,0.0000000000000000E+000
0.6000000000000000E+006,0.0000000000000000E+000
0.7000000000000000E+006,0.0000000000000000E+000
0.8000000000000000E+006,0.0000000000000000E+000
0.9000000000000000E+006,0.0000000000000000E+000
0.1000000000000000E+007,0.0000000000000000E+000
0.2000000000000000E+007,0.0000000000000000E+000
0.3000000000000000E+007,0.0000000000000000E+000
0.4000000000000000E+007,0.0000000000000000E+000
0.5000000000000000E+007,0.0000000000000000E+000
0.6000000000000000E+007,0.0000000000000000E+000
0.7000000000000000E+007,0.0000000000000000E+000
0.8000000000000000E+007,0.0000000000000000E+000
0.9000000000000000E+007,0.0000000000000000E+000
0.1000000000000000E+008,0.0000000000000000E+000
0.2000000000000000E+008,0.0000000000000000E+000
0.3000000000000000E+008,0.0000000000000000E+000
0.4000000000000000E+008,0.0000000000000000E+000
0.5000000000000000E+008,0.0000000000000000E+000
0.6000000000000000E+008,0.0000000000000000E+000
0.7000000000000000E+008,0.0000000000000000E+000
0.8000000000000000E+008,0.0000000000000000E+000
0.9000000000000000E+008,0.0000000000000000E+000
0.1000000000000000E+009,0.0000000000000000E+000
0.2000000000000000E+009,0.0000000000000000E+000
0.3000000000000000E+009,0.0000000000000000E+000
0.4000000000000000E+009,0.0000000000000000E+000
0.5000000000000000E+009,0.0000000000000000E+000
0.6000000000000000E+009,0.0000000000000000E+000
0.7000000000000000E+009,0.0000000000000000E+000
0.8000000000000000E+009,0.0000000000000000E+000
0.9000000000000000E+009,0.0000000000000000E+000
0.1000000000000000E+010,0.0000000000000000E+000
0.2000000000000000E+010,0.1391221410682053E-154
0.3000000000000000E+010,0.7180635162249110E-096
0.4000000000000000E+010,0.1437501825516341E-066
0.5000000000000000E+010,0.5079192284496315E-049
0.6000000000000000E+010,0.2414806861622747E-037
0.7000000000000000E+010,0.5107276839736328E-029
0.8000000000000000E+010,0.8721308287684353E-023
0.9000000000000000E+010,0.6011629313505752E-018
0.1000000000000000E+011,0.4390561899277323E-014
0.2000000000000000E+011,0.7704598058568506E+003
0.3000000000000000E+011,0.3326824517537782E+009
0.4000000000000000E+011,0.1926336199050320E+012
0.5000000000000000E+011,0.8122174665500241E+013
0.6000000000000000E+011,0.9359717290272602E+014
0.7000000000000000E+011,0.5176922088256029E+015
0.8000000000000000E+011,0.1817984988704654E+016
0.9000000000000000E+011,0.4730172250278083E+016
0.1000000000000000E+012,0.9997830126081002E+016
0.2000000000000000E+012,0.2093580310784215E+018
0.3000000000000000E+012,0.4450623549627981E+018
0.4000000000000000E+012,0.5718060141599699E+018
0.5000000000000000E+012,0.6164024505965752E+018
0.6000000000000000E+012,0.6164601804078276E+018
0.7000000000000000E+012,0.5949275994902733E+018
0.8000000000000000E+012,0.5640211935848895E+018
0.9000000000000000E+012,0.5299924674011140E+018
0.1000000000000000E+013,0.4959622061954287E+018
0.2000000000000000E+013,0.2655264897194217E+018
0.3000000000000000E+013,0.1662892686885783E+018
0.4000000000000000E+013,0.1159590495811091E+018
0.5000000000000000E+013,0.8663389188688770E+017
0.6000000000000000E+013,0.6785369835668351E+017
0.7000000000000000E+013,0.5499302767000034E+017
0.8000000000000000E+013,0.4573726607485274E+017
0.9000000000000000E+013,0.3881621960606802E+017
0.1000000000000000E+014,0.3348167150660519E+017
0.2000000000000000E+014,0.1242321330141068E+017
0.3000000000000000E+014,0.6885140777326490E+016
0.4000000000000000E+014,0.4516629897051991E+016
0.5000000000000000E+014,0.3252927893898916E+016
0.6000000000000000E+014,0.2486249096103012E+016
0.7000000000000000E+014,0.1980141596360390E+016
0.8000000000000000E+014,0.1625443746705862E+016
0.9000000000000000E+014,0.1365500473659181E+016
0.1000000000000000E+015,0.1168280831034821E+016
0.2000000000000000E+015,0.4178792587712135E+015
0.3000000000000000E+015,0.2287820512712929E+015
0.4000000000000000E+015,0.1491659696834546E+015
0.5000000000000000E+015,0.1070378464535779E+015
0.6000000000000000E+015,0.8161049549140667E+014
0.7000000000000000E+015,0.6488426264157323E+014
0.8000000000000000E+015,0.5319200775792711E+014
0.9000000000000000E+015,0.4463997903567916E+014
0.1000000000000000E+016,0.3816150798167884E+014
0.2000000000000000E+016,0.1359993297492687E+014
0.3000000000000000E+016,0.7436646315114870E+013
0.4000000000000000E+016,0.4845733724051631E+013
0.5000000000000000E+016,0.3475905176678840E+013
0.6000000000000000E+016,0.2649539614574335E+013
0.7000000000000000E+016,0.2106143466657564E+013
0.8000000000000000E+016,0.1726386742145848E+013
0.9000000000000000E+016,0.1448676648230438E+013
0.1000000000000000E+017,0.1238333496245180E+013
0.2000000000000000E+017,0.4411533974683925E+012
0.3000000000000000E+017,0.2411997813410624E+012
0.4000000000000000E+017,0.1571566597707141E+012
0.5000000000000000E+017,0.1127262970356617E+012
0.6000000000000000E+017,0.8592452153432721E+011
0.7000000000000000E+017,0.6830100183454620E+011
0.8000000000000000E+017,0.5598498008035414E+011
0.9000000000000000E+017,0.4697864348908545E+011
