"E[V/m]","W[1/s]"
0.1000000000000000E+002,0.0000000000000000E+000
0.2000000000000000E+002,0.0000000000000000E+000
0.3000000000000000E+002,0.0000000000000000E+000
0.4000000000000000E+002,0.0000000000000000E+000
0.5000000000000000E+002,0.0000000000000000E+000
0.6000000000000000E+002,0.0000000000000000E+000
0.7000000000000000E+002,0.0000000000000000E+000
0.8000000000000000E+002,0.0000000000000000E+000
0.9000000000000000E+002,0.0000000000000000E+000
0.1000000000000000E+003,0.0000000000000000E+000
0.2000000000000000E+003,0.0000000000000000E+000
0.3000000000000000E+003,0.0000000000000000E+000
0.4000000000000000E+003,0.0000000000000000E+000
0.5000000000000000E+003,0.0000000000000000E+000
0.6000000000000000E+003,0.0000000000000000E+000
0.7000000000000000E+003,0.0000000000000000E+000
0.8000000000000000E+003,0.0000000000000000E+000
0.9000000000000000E+003,0.0000000000000000E+000
0.1000000000000000E+004,0.0000000000000000E+000
0.2000000000000000E+004,0.0000000000000000E+000
0.3000000000000000E+004,0.0000000000000000E+000
0.4000000000000000E+004,0.0000000000000000E+000
0.5000000000000000E+004,0.0000000000000000E+000
0.6000000000000000E+004,0.0000000000000000E+000
0.7000000000000000E+004,0.0000000000000000E+000
0.8000000000000000E+004,0.0000000000000000E+000
0.9000000000000000E+004,0.0000000000000000E+000
0.1000000000000000E+005,0.0000000000000000E+000
0.2000000000000000E+005,0.0000000000000000E+000
0.3000000000000000E+005,0.0000000000000000E+000
0.4000000000000000E+005,0.0000000000000000E+000
0.5000000000000000E+005,0.0000000000000000E+000
0.6000000000000000E+005,0.0000000000000000E+000
0.7000000000000000E+005,0.0000000000000000E+000
0.8000000000000000E+005,0.0000000000000000E+000
0.9000000000000000E+005,0.0000000000000000E+000
0.1000000000000000E+006,0.0000000000000000E+000
0.2000000000000000E+006,0.0000000000000000E+000
0.3000000000000000E+006,0.0000000000000000E+000
0.4000000000000000E+006,0.0000000000000000E+000
0.5000000000000000E+006,0.0000000000000000E+000
0.6000000000000000E+006,0.0000000000000000E+000
0.7000000000000000E+006,0.0000000000000000E+000
0.8000000000000000E+006,0.0000000000000000E+000
0.9000000000000000E+006,0.0000000000000000E+000
0.1000000000000000E+007,0.0000000000000000E+000
0.2000000000000000E+007,0.0000000000000000E+000
0.3000000000000000E+007,0.0000000000000000E+000
0.4000000000000000E+007,0.0000000000000000E+000
0.5000000000000000E+007,0.0000000000000000E+000
0.6000000000000000E+007,0.0000000000000000E+000
0.7000000000000000E+007,0.0000000000000000E+000
0.8000000000000000E+007,0.0000000000000000E+000
0.9000000000000000E+007,0.0000000000000000E+000
0.1000000000000000E+008,0.0000000000000000E+000
0.2000000000000000E+008,0.0000000000000000E+000
0.3000000000000000E+008,0.0000000000000000E+000
0.4000000000000000E+008,0.0000000000000000E+000
0.5000000000000000E+008,0.0000000000000000E+000
0.6000000000000000E+008,0.0000000000000000E+000
0.7000000000000000E+008,0.0000000000000000E+000
0.8000000000000000E+008,0.0000000000000000E+000
0.9000000000000000E+008,0.0000000000000000E+000
0.1000000000000000E+009,0.0000000000000000E+000
0.2000000000000000E+009,0.0000000000000000E+000
0.3000000000000000E+009,0.0000000000000000E+000
0.4000000000000000E+009,0.0000000000000000E+000
0.5000000000000000E+009,0.0000000000000000E+000
0.6000000000000000E+009,0.0000000000000000E+000
0.7000000000000000E+009,0.0000000000000000E+000
0.8000000000000000E+009,0.0000000000000000E+000
0.9000000000000000E+009,0.0000000000000000E+000
0.1000000000000000E+010,0.0000000000000000E+000
0.2000000000000000E+010,0.0000000000000000E+000
0.3000000000000000E+010,0.0000000000000000E+000
0.4000000000000000E+010,0.0000000000000000E+000
0.5000000000000000E+010,0.0000000000000000E+000
0.6000000000000000E+010,0.0000000000000000E+000
0.7000000000000000E+010,0.0000000000000000E+000
0.8000000000000000E+010,0.0000000000000000E+000
0.9000000000000000E+010,0.0000000000000000E+000
0.1000000000000000E+011,0.0000000000000000E+000
0.2000000000000000E+011,0.0000000000000000E+000
0.3000000000000000E+011,0.0000000000000000E+000
0.4000000000000000E+011,0.0000000000000000E+000
0.5000000000000000E+011,0.0000000000000000E+000
0.6000000000000000E+011,0.0000000000000000E+000
0.7000000000000000E+011,0.0000000000000000E+000
0.8000000000000000E+011,0.4128321937671573E-265
0.9000000000000000E+011,0.1940163270712834E-233
0.1000000000000000E+012,0.4204673556002262E-208
0.2000000000000000E+012,0.3987284134340614E-094
0.3000000000000000E+012,0.3676686156015211E-056
0.4000000000000000E+012,0.3423221559228740E-037
0.5000000000000000E+012,0.8088054575859942E-026
0.6000000000000000E+012,0.3053646016013278E-018
0.7000000000000000E+012,0.7819283122103477E-013
0.8000000000000000E+012,0.8842993261758023E-009
0.9000000000000000E+012,0.1250461937323079E-005
0.1000000000000000E+013,0.4127524414561634E-003
0.2000000000000000E+013,0.8220492039797938E+008
0.3000000000000000E+013,0.4505727701135965E+012
0.4000000000000000E+013,0.3234351885220187E+014
0.5000000000000000E+013,0.4124987703801011E+015
0.6000000000000000E+013,0.2224409941645186E+016
0.7000000000000000E+013,0.7347625948330311E+016
0.8000000000000000E+013,0.1788617058766299E+017
0.9000000000000000E+013,0.3554914806758063E+017
0.1000000000000000E+014,0.6133676802415229E+017
0.2000000000000000E+014,0.6594097688141606E+018
0.3000000000000000E+014,0.1365938924231628E+019
0.4000000000000000E+014,0.1906154042038179E+019
0.5000000000000000E+014,0.2285683101803098E+019
0.6000000000000000E+014,0.2548531123682484E+019
0.7000000000000000E+014,0.2730741245410121E+019
0.8000000000000000E+014,0.2857226547391959E+019
0.9000000000000000E+014,0.2944696703276277E+019
0.1000000000000000E+015,0.3004412171549527E+019
0.2000000000000000E+015,0.3036803097904273E+019
0.3000000000000000E+015,0.2860443774589520E+019
0.4000000000000000E+015,0.2691724253833852E+019
0.5000000000000000E+015,0.2548067063591581E+019
0.6000000000000000E+015,0.2426794231130350E+019
0.7000000000000000E+015,0.2323428979041156E+019
0.8000000000000000E+015,0.2234204427810632E+019
0.9000000000000000E+015,0.2156240545333884E+019
0.1000000000000000E+016,0.2087367301112087E+019
0.2000000000000000E+016,0.1665628948393611E+019
0.3000000000000000E+016,0.1450003764644359E+019
0.4000000000000000E+016,0.1311756804818468E+019
0.5000000000000000E+016,0.1212734795904039E+019
0.6000000000000000E+016,0.1136953638442180E+019
0.7000000000000000E+016,0.1076340761986117E+019
0.8000000000000000E+016,0.1026304497411172E+019
0.9000000000000000E+016,0.9840074185702726E+018
0.1000000000000000E+017,0.9475852958498802E+018
0.2000000000000000E+017,0.7384650120525587E+018
0.3000000000000000E+017,0.6378201009306249E+018
0.4000000000000000E+017,0.5747395747810363E+018
0.5000000000000000E+017,0.5300988202917777E+018
0.6000000000000000E+017,0.4961914044979594E+018
0.7000000000000000E+017,0.4692100730450897E+018
0.8000000000000000E+017,0.4470201141895076E+018
0.9000000000000000E+017,0.4283156960368380E+018
