001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-NumDens-Spec-001,007-NumDens-Spec-002,008-NumDens-Spec-003,009-NumDens-Spec-004,010-Ekin-001,011-Ekin-002,012-Ekin-003,013-Ekin-004
0.0000000000000000E+000,0.0000000000000000E+000,0.1997900000000000E+005,0.1990000000000000E+003,0.2017800000000000E+005,0.9999999999999999E+023,0.9999765359127067E+021,0.9960224768338187E+021,0.1019959990127465E+024,0.0000000000000000E+000,0.6206396139471492E-014,0.6181855060207500E-013,0.6802494674154648E-013
0.1000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.1999000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1001027614908360E+022,0.1020020552298167E+024,0.0000000000000000E+000,0.6209009847406040E-014,0.5640336443372744E-013,0.6261237428113349E-013
0.2000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006032752982902E+022,0.1020070603678912E+024,0.0000000000000000E+000,0.6208378528039186E-014,0.5644981840353808E-013,0.6265819693157733E-013
0.3000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1011037891057444E+022,0.1020120655059658E+024,0.0000000000000000E+000,0.6208809499189635E-014,0.5981106907442618E-013,0.6601987857361580E-013
0.4000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.1999000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1001027614908360E+022,0.1020020552298167E+024,0.0000000000000000E+000,0.6208993918370399E-014,0.5451115702226545E-013,0.6072015094063589E-013
0.5000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006032752982902E+022,0.1020070603678912E+024,0.0000000000000000E+000,0.6208299889784465E-014,0.5821507827319161E-013,0.6442337816297609E-013
0.6000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006032752982902E+022,0.1020070603678912E+024,0.0000000000000000E+000,0.6208810797326304E-014,0.5732526308679667E-013,0.6353407388412312E-013
0.7000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.1999000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1001027614908360E+022,0.1020020552298167E+024,0.0000000000000000E+000,0.6207817057194507E-014,0.5802653872459893E-013,0.6423435578179347E-013
0.8000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006032752982902E+022,0.1020070603678912E+024,0.0000000000000000E+000,0.6208411822023151E-014,0.5801963985970625E-013,0.6422805168172945E-013
0.9000000000000001E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.1999000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1001027614908360E+022,0.1020020552298167E+024,0.0000000000000000E+000,0.6208537097388722E-014,0.5818595870997629E-013,0.6439449580736488E-013
