001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-NumDens-Spec-001,007-NumDens-Spec-002,008-NumDens-Spec-003,009-NumDens-Spec-004,010-Ekin-001,011-Ekin-002,012-Ekin-003,013-Ekin-004
0.0000000000000000E+000,0.0000000000000000E+000,0.1997900000000000E+005,0.1997900000000000E+005,0.3995800000000000E+005,0.9999999999999999E+023,0.9999765359127067E+021,0.9999765359127067E+021,0.1019999530718254E+024,0.0000000000000000E+000,0.6206396139471492E-014,0.6206396092858578E-013,0.6827035706805716E-013
0.1000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1002228848046223E+022,0.1020032564629546E+024,0.0000000000000000E+000,0.6209102526029199E-014,0.5762685563357075E-013,0.6383595815960012E-013
0.2000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1007040987996604E+022,0.1020080686029050E+024,0.0000000000000000E+000,0.6208608155006383E-014,0.5784713945239729E-013,0.6405574760740368E-013
0.3000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1002538176390307E+022,0.1020035657912987E+024,0.0000000000000000E+000,0.6208073669234972E-014,0.5757385540147201E-013,0.6378192907070682E-013
0.4000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1005037767613933E+022,0.1020060653825223E+024,0.0000000000000000E+000,0.6208747935295279E-014,0.5750465442392994E-013,0.6371340235922523E-013
0.5000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1004042728211253E+022,0.1020050703431196E+024,0.0000000000000000E+000,0.6208818834236934E-014,0.5768044704730122E-013,0.6388926588153820E-013
0.6000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1002533679000659E+022,0.1020035612939090E+024,0.0000000000000000E+000,0.6209365256441367E-014,0.5765507647594184E-013,0.6386444173238332E-013
0.7000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1004536482784895E+022,0.1020055640976932E+024,0.0000000000000000E+000,0.6208676495503068E-014,0.5768860205733916E-013,0.6389727855284209E-013
0.8000000000000000E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1004543492598061E+022,0.1020055711075064E+024,0.0000000000000000E+000,0.6208091698005417E-014,0.5757116876295602E-013,0.6377926046096159E-013
0.9000000000000001E-008,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1002534430147283E+022,0.1020035620450556E+024,0.0000000000000000E+000,0.6208506361420009E-014,0.5755918763994805E-013,0.6376769400136810E-013
0.1000000000000000E-007,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1005037752628978E+022,0.1020060653675373E+024,0.0000000000000000E+000,0.6208849611280198E-014,0.5751516432086799E-013,0.6372401393214817E-013
0.1100000000000000E-007,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1007057841424109E+022,0.1020080854563325E+024,0.0000000000000000E+000,0.6208389246141158E-014,0.5768448297193456E-013,0.6389287221807572E-013
0.1200000000000000E-007,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1003041730591235E+022,0.1020040693454996E+024,0.0000000000000000E+000,0.6208231217478724E-014,0.5792238408077844E-013,0.6413061529825713E-013
0.1300000000000000E-007,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1005039781830703E+022,0.1020060673967390E+024,0.0000000000000000E+000,0.6208424767917052E-014,0.5761813540958884E-013,0.6382656017750591E-013
0.1400000000000000E-007,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1004545254144746E+022,0.1020055728690531E+024,0.0000000000000000E+000,0.6207953203946301E-014,0.5760765782784425E-013,0.6381561103179062E-013
0.1500000000000001E-007,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1004543523297910E+022,0.1020055711382063E+024,0.0000000000000000E+000,0.6208473762286938E-014,0.5786404872245555E-013,0.6407252248474243E-013
0.1600000000000000E-007,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006050332524837E+022,0.1020070779474332E+024,0.0000000000000000E+000,0.6208891569811507E-014,0.5765501207407161E-013,0.6386390364388312E-013
0.1700000000000000E-007,0.0000000000000000E+000,0.2000000000000000E+004,0.2000000000000000E+004,0.4000000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006057866570957E+022,0.1020070854814793E+024,0.0000000000000000E+000,0.6208538415437406E-014,0.5777407259145794E-013,0.6398261100689541E-013
