001-TIME,002-E-El,003-E-Mag,004-E-phi,005-E-psi,006-E-pot
0.00000000000000E+000,4.26036468403345E+010,4.64440261997833E+011,0.00000000000000E+000,0.00000000000000E+000,5.07043908838168E+011
1.19074701759673E-011,4.77166570412740E+010,4.27350179691865E+011,0.00000000000000E+000,0.00000000000000E+000,4.75066836733139E+011
2.38149403519345E-011,5.84177860358117E+010,3.92540022059194E+011,0.00000000000000E+000,0.00000000000000E+000,4.50957808095006E+011
3.57224105279018E-011,7.30526580935173E+010,3.60578791405521E+011,0.00000000000000E+000,0.00000000000000E+000,4.33631449499039E+011
4.76298807038690E-011,9.02302126266793E+010,3.31747538696083E+011,0.00000000000000E+000,0.00000000000000E+000,4.21977751322762E+011
5.95373508798363E-011,1.08798294806603E+011,3.06115522526851E+011,0.00000000000000E+000,0.00000000000000E+000,4.14913817333454E+011
7.14448210558035E-011,1.27825636531601E+011,2.83612699856739E+011,0.00000000000000E+000,0.00000000000000E+000,4.11438336388340E+011
8.33522912317708E-011,1.46583860084248E+011,2.64087787601029E+011,0.00000000000000E+000,0.00000000000000E+000,4.10671647685276E+011
9.52597614077380E-011,1.64527167000076E+011,2.47349730728091E+011,0.00000000000000E+000,0.00000000000000E+000,4.11876897728167E+011
1.07167231583705E-010,1.81269565513423E+011,2.33194394814497E+011,0.00000000000000E+000,0.00000000000000E+000,4.14463960327920E+011
1.19074701759673E-010,1.96560538731287E+011,2.21419750016947E+011,0.00000000000000E+000,0.00000000000000E+000,4.17980288748234E+011
1.30982171935640E-010,2.10260416387998E+011,2.11832950170638E+011,0.00000000000000E+000,0.00000000000000E+000,4.22093366558636E+011
1.42889642111607E-010,2.22316681690917E+011,2.04252248514869E+011,0.00000000000000E+000,0.00000000000000E+000,4.26568930205786E+011
1.54797112287574E-010,2.32742213580302E+011,1.98506029724965E+011,0.00000000000000E+000,0.00000000000000E+000,4.31248243305267E+011
1.66704582463542E-010,2.41596155994175E+011,1.94430582023595E+011,0.00000000000000E+000,0.00000000000000E+000,4.36026738017770E+011
1.78612052639509E-010,2.48967793741851E+011,1.91867673420885E+011,0.00000000000000E+000,0.00000000000000E+000,4.40835467162736E+011
1.90519522815476E-010,2.54963540559646E+011,1.90662558866765E+011,0.00000000000000E+000,0.00000000000000E+000,4.45626099426411E+011
2.02426992991443E-010,2.59696927752683E+011,1.90662724787785E+011,0.00000000000000E+000,0.00000000000000E+000,4.50359652540468E+011
2.14334463167411E-010,2.63281326110468E+011,1.91717455813711E+011,0.00000000000000E+000,0.00000000000000E+000,4.54998781924180E+011
2.26241933343378E-010,2.65825035691339E+011,1.93678164507068E+011,0.00000000000000E+000,0.00000000000000E+000,4.59503200198406E+011
2.38149403519345E-010,2.67428329495286E+011,1.96399339602092E+011,0.00000000000000E+000,0.00000000000000E+000,4.63827669097378E+011
2.50056873695312E-010,2.68182028306540E+011,1.99739926126566E+011,0.00000000000000E+000,0.00000000000000E+000,4.67921954433106E+011
2.61964343871280E-010,2.68167205410280E+011,2.03564939723033E+011,0.00000000000000E+000,0.00000000000000E+000,4.71732145133314E+011
2.73871814047247E-010,2.67455662573051E+011,2.07747128167806E+011,0.00000000000000E+000,0.00000000000000E+000,4.75202790740857E+011
2.85779284223214E-010,2.66110874779548E+011,2.12168518210046E+011,0.00000000000000E+000,0.00000000000000E+000,4.78279392989595E+011
2.97686754399181E-010,2.64189163979985E+011,2.16721719602634E+011,0.00000000000000E+000,0.00000000000000E+000,4.80910883582619E+011
3.09594224575148E-010,2.61740925803181E+011,2.21310895886996E+011,0.00000000000000E+000,0.00000000000000E+000,4.83051821690177E+011
3.21501694751116E-010,2.58811793128672E+011,2.25852349393013E+011,0.00000000000000E+000,0.00000000000000E+000,4.84664142521685E+011
3.33409164927083E-010,2.55443672925322E+011,2.30274703162878E+011,0.00000000000000E+000,0.00000000000000E+000,4.85718376088200E+011
3.45316635103050E-010,2.51675635289311E+011,2.34518693072726E+011,0.00000000000000E+000,0.00000000000000E+000,4.86194328362037E+011
3.57224105279017E-010,2.47544664727630E+011,2.38536608049441E+011,0.00000000000000E+000,0.00000000000000E+000,4.86081272777071E+011
3.69131575454985E-010,2.43086303147543E+011,2.42291434392218E+011,0.00000000000000E+000,0.00000000000000E+000,4.85377737539761E+011
3.81039045630952E-010,2.38335222491531E+011,2.45755771811890E+011,0.00000000000000E+000,0.00000000000000E+000,4.84090994303422E+011
3.92946515806919E-010,2.33325764141100E+011,2.48910594336501E+011,0.00000000000000E+000,0.00000000000000E+000,4.82236358477601E+011
4.04853985982886E-010,2.28092474367214E+011,2.51743929440740E+011,0.00000000000000E+000,0.00000000000000E+000,4.79836403807955E+011
4.16761456158854E-010,2.22670652822848E+011,2.54249524556947E+011,0.00000000000000E+000,0.00000000000000E+000,4.76920177379794E+011
4.28668926334821E-010,2.17096916965912E+011,2.56425562506673E+011,0.00000000000000E+000,0.00000000000000E+000,4.73522479472584E+011
4.40576396510788E-010,2.11409771720704E+011,2.58273477340976E+011,0.00000000000000E+000,0.00000000000000E+000,4.69683249061680E+011
4.52483866686755E-010,2.05650162507076E+011,2.59796910526445E+011,0.00000000000000E+000,0.00000000000000E+000,4.65447073033521E+011
4.64391336862722E-010,1.99861982250496E+011,2.61000835208100E+011,0.00000000000000E+000,0.00000000000000E+000,4.60862817458596E+011
4.76298807038690E-010,1.94092499735985E+011,2.61890864161779E+011,0.00000000000000E+000,0.00000000000000E+000,4.55983363897764E+011
4.88206277214657E-010,1.88392677666946E+011,2.62472745646268E+011,0.00000000000000E+000,0.00000000000000E+000,4.50865423313214E+011
5.00113747390624E-010,1.82817353502507E+011,2.62752041189167E+011,0.00000000000000E+000,0.00000000000000E+000,4.45569394691674E+011
5.12021217566592E-010,1.77425263673252E+011,2.62733970776521E+011,0.00000000000000E+000,0.00000000000000E+000,4.40159234449773E+011
5.23928687742559E-010,1.72278901014118E+011,2.62423404224483E+011,0.00000000000000E+000,0.00000000000000E+000,4.34702305238601E+011
5.35836157918526E-010,1.67444205065981E+011,2.61824972824390E+011,0.00000000000000E+000,0.00000000000000E+000,4.29269177890371E+011
5.47743628094493E-010,1.62990094245411E+011,2.60943272680078E+011,0.00000000000000E+000,0.00000000000000E+000,4.23933366925489E+011
5.59651098270461E-010,1.58987856928385E+011,2.59783130393604E+011,0.00000000000000E+000,0.00000000000000E+000,4.18770987321989E+011
5.71558568446428E-010,1.55510424662697E+011,2.58349902699837E+011,0.00000000000000E+000,0.00000000000000E+000,4.13860327362534E+011
5.83466038622395E-010,1.52631554718709E+011,2.56649784021801E+011,0.00000000000000E+000,0.00000000000000E+000,4.09281338740510E+011
5.95373508798363E-010,1.50424950973875E+011,2.54690099385552E+011,0.00000000000000E+000,0.00000000000000E+000,4.05115050359427E+011
6.07280978974330E-010,1.48963351886052E+011,2.52479564339921E+011,0.00000000000000E+000,0.00000000000000E+000,4.01442916225973E+011
6.19188449150297E-010,1.48317612384842E+011,2.50028498119484E+011,0.00000000000000E+000,0.00000000000000E+000,3.98346110504326E+011
6.31095919326264E-010,1.48555803333290E+011,2.47348980941611E+011,0.00000000000000E+000,0.00000000000000E+000,3.95904784274901E+011
6.43003389502232E-010,1.49742348249360E+011,2.44454950759013E+011,0.00000000000000E+000,0.00000000000000E+000,3.94197299008374E+011
6.54910859678199E-010,1.51937212671767E+011,2.41362238774256E+011,0.00000000000000E+000,0.00000000000000E+000,3.93299451446022E+011
6.66818329854166E-010,1.55195157292065E+011,2.38088546403334E+011,0.00000000000000E+000,0.00000000000000E+000,3.93283703695399E+011
6.78725800030134E-010,1.59565062054481E+011,2.34653369057392E+011,0.00000000000000E+000,0.00000000000000E+000,3.94218431111873E+011
