001-TIME,002-Massflow-Spec-001-SF-001,003-Pressure-Spec-001-SF-001,004-Massflow-Spec-001-SF-002,005-Pressure-Spec-001-SF-002
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.5000000000000000E-005,0.1238634647200000E-009,0.1022107419665726E+000,-.5760387031999999E-010,0.2659658190989775E-001
0.2500000000000000E-004,0.8154791981999999E-010,0.1485694457889714E+000,-.2526977274000000E-010,0.2554576750993039E-001
0.5000000000000000E-004,0.9027351668800001E-010,0.2059223172736264E+000,-.2465260739200000E-010,0.2659243496865225E-001
0.7500000000000001E-004,0.9274217808000000E-010,0.2391018614215462E+000,-.3664415932799999E-010,0.2817246802138728E-001
0.1000000000000000E-003,0.9414813547200003E-010,0.2682901292295743E+000,-.4703846715200000E-010,0.3055147185916629E-001
0.1250000000000000E-003,0.9558597398400002E-010,0.2969233603368469E+000,-.5675476982400000E-010,0.3067495281134267E-001
0.1500000000000001E-003,0.9605143833599974E-010,0.3148978467454081E+000,-.6397052998399983E-010,0.3153308689824240E-001
0.1750000000000001E-003,0.9682508684799975E-010,0.3347955465415757E+000,-.7059542671999981E-010,0.3317854947790659E-001
0.2000000000000000E-003,0.9756791694400048E-010,0.3464359473808300E+000,-.7552531057600037E-010,0.3493926234233284E-001
0.2250000000000001E-003,0.9805144726399973E-010,0.3544709359371873E+000,-.7942755966399978E-010,0.3338697774663259E-001
0.2500000000000001E-003,0.9820979015999985E-010,0.3607570368595672E+000,-.8268474742399988E-010,0.3597638579827611E-001
0.2750000000000002E-003,0.9912265289599975E-010,0.3722448932304960E+000,-.8619910955199978E-010,0.3735841034394218E-001
0.3000000000000000E-003,0.9808014027200058E-010,0.3720624804500371E+000,-.8880698516800054E-010,0.3710684391761469E-001
0.3250000000000001E-003,0.9929906175999973E-010,0.3808708035536267E+000,-.8985799942399976E-010,0.3780910250061199E-001
0.3500000000000002E-003,0.9903657387199972E-010,0.3782351866828010E+000,-.9213431139199976E-010,0.3688669221352169E-001
0.3750000000000002E-003,0.9874007945599974E-010,0.3889092256999101E+000,-.9315025641599977E-010,0.3872574593967792E-001
0.4000000000000000E-003,0.9958386643200082E-010,0.3946814732615164E+000,-.9409287486400076E-010,0.3813017202978084E-001
0.4250000000000001E-003,0.9954348367999975E-010,0.3982182441760105E+000,-.9536918236799975E-010,0.3827943916420880E-001
0.4500000000000002E-003,0.9942552353599974E-010,0.4023928156194747E+000,-.9609182108799975E-010,0.3853826155498003E-001
0.4750000000000002E-003,0.1003213830079998E-009,0.4047214876707720E+000,-.9675919919999975E-010,0.3952178281804537E-001
0.5000000000000000E-003,0.9939470512000082E-010,0.3961707001449023E+000,-.9716408942400079E-010,0.3831505023387705E-001
0.5250000000000001E-003,0.9952116689599975E-010,0.4009300584370808E+000,-.9802913047999974E-010,0.4018271861692146E-001
0.5500000000000001E-003,0.1002257396479997E-009,0.4008659341488303E+000,-.9821935449599974E-010,0.3834150145318009E-001
0.5750000000000002E-003,0.9968482331199974E-010,0.4064001719382361E+000,-.9841489203199975E-010,0.4064359197316280E-001
0.6000000000000001E-003,0.9998981936000061E-010,0.4024912396710951E+000,-.9893030347200059E-010,0.3991885772021837E-001
0.6250000000000001E-003,0.9960405780799975E-010,0.4016570034471765E+000,-.9899300300799975E-010,0.3952884465608705E-001
0.6500000000000002E-003,0.1002448683199997E-009,0.4062623150895852E+000,-.9922254707199974E-010,0.3962485929942828E-001
0.6750000000000003E-003,0.9997387879999972E-010,0.4107409067010916E+000,-.9938514078399973E-010,0.3989827108574230E-001
0.7000000000000000E-003,0.9958705454400102E-010,0.4052565368860408E+000,-.9882722118400103E-010,0.4099931658909885E-001
