001-TIME,002-Massflow-Spec-001-SF-001,003-Pressure-Spec-001-SF-001,004-Massflow-Spec-001-SF-002,005-Pressure-Spec-001-SF-002
0,0,0,0,0
0.000001,0.00000000574,3.68,8E-11,2.53
0.000002,0.0000000069,4.15,8.77E-11,2.51
0.000003,0.00000000673,4.74,1.45E-10,2.49
0.000004,0.00000000616,5.08,7.25E-11,2.51
0.000005,0.00000000524,5.25,7.52E-11,2.53
0.000006,0.00000000455,5.28,3.99E-11,2.54
0.000007,0.00000000392,5.27,7.47E-11,2.54
0.000008,0.00000000343,5.24,8.42E-11,2.53
0.000009,0.00000000296,5.22,7.68E-11,2.52
0.00001,0.00000000259,5.19,0,2.52
0.000011,0.00000000237,5.16,-3.85E-11,2.53
0.000012,0.0000000021,5.13,-1.51E-11,2.52
0.000013,0.00000000199,5.09,3.91E-11,2.51
0.000014,0.00000000192,5.05,3.06E-11,2.53
0.000015,0.00000000178,5.06,5.21E-11,2.53
0.000016,0.00000000169,5.06,3.24E-11,2.52
0.000017,0.0000000017,5.04,4.73E-11,2.52
0.000018,0.00000000166,5.03,-1.33E-11,2.53
0.000019,0.00000000164,5.05,1.94E-11,2.53
0.00002,0.00000000154,5.05,5.84E-12,2.53
